,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98
SW1353,-1.1056058,3.4979959,2.440795,0.26652244,0.769618,1.3314406,1.0783334,-2.2369912,0.58355016,0.25279233,0.22089691,1.8234003,-0.5163867,-1.3906633,1.651907,-2.2356415,0.83761376,1.4431667,-0.8325261,-0.35118088,1.4331771,1.5998,1.9787253,-1.3867048,-0.92732656,-2.2635858,-1.2527882,-1.772982,-0.43347615,-0.18315724,-3.7437022,1.868001,-0.34057057,0.2123626,-0.38791972,-2.0856228,1.5841808,0.118794315,-1.2174306,-0.6073904,-0.30120113,-0.0514339,1.3396797,0.79527557,0.009651627,-0.12649035,-1.123532,-2.4867346,-1.0735248,0.020868318,0.46574166,-0.54886574,1.2698268,-0.5585356,-2.0930574,0.60714877,0.93721783,0.79815525,1.4094663,0.10558263,1.7051115,-0.2889189,-1.3648471,0.7513172,-0.66403824,2.3208995,1.9061316,-0.7942442,-3.7524292,-2.046943,-0.5185614,0.24934599,-0.31402975,-0.752931,1.3210963,0.18118557,1.1130432,-0.79879904,-0.33745152,-1.300911,-0.46949828,-0.34591985,1.3444091,0.26440555,0.8490415,-1.552115,-0.007400006,3.42593,0.98432297,-1.1170336,-0.3607447,0.38842204,1.0387886,0.16626714,-0.71475405,-1.0340854,-1.3932327,-1.7604339,2.0666595
SU-DHL-10,0.49395832,-1.589481,-0.14916113,-0.1362546,0.37236115,1.3511604,0.7225952,-0.050023668,1.942843,1.3021672,1.3217711,0.3387181,2.5916002,-0.20143078,3.977481,1.0910223,-1.0818757,-1.5069182,-2.0981884,-0.3461743,4.72191,-1.5256916,0.43231112,0.90529263,0.4592196,-1.9961537,0.79044855,1.9553585,1.2231761,0.20479931,-0.2993293,-0.7780933,2.1721294,-1.9943112,0.12655738,0.7222187,0.87835026,0.71965134,-0.22261989,-1.3800204,-2.0922792,2.8963437,0.90465397,1.5593381,-1.8050889,-0.25865728,0.06964994,1.3457377,-0.80963,-0.6689696,0.6878455,0.34798813,3.2716768,0.3464314,-1.6480225,-2.6452382,-0.42317134,-0.7732899,1.3268398,1.9142098,-0.38785505,-1.8329083,1.7462071,2.6429338,2.3658428,2.9537885,2.6239161,0.8840689,1.4708239,1.2003472,-0.67716473,-0.8999606,-1.5655096,4.4950786,0.6394397,0.32693678,-1.7812417,1.9707178,1.708866,3.0189962,-1.1258309,0.7468853,-0.31135026,0.5321379,0.9246328,2.4046762,0.5356757,-0.72777206,-1.0740893,0.4763009,3.5146592,2.067667,-1.5616529,-1.1005937,0.13889669,-2.4912257,0.09123257,0.47851333,-0.50265944
JHUEM-2,-1.2951789,-0.45656365,0.4706263,2.0270932,3.0157714,-1.860824,-0.5921745,0.51842016,1.6178925,0.46538746,-0.8841256,0.4044769,1.0890002,-0.5485483,0.012369732,1.320597,0.28581697,-1.7897987,2.301165,1.1050247,0.94933295,1.5830514,0.64345753,1.9182149,-1.9578748,-1.2580101,2.2251408,-0.29859185,-1.0626894,1.0809178,-1.4323125,2.2188997,-0.02885878,-0.26732293,-0.6030114,0.31037498,2.8202899,2.596091,1.5677541,-4.1805696,3.0619752,-0.2866925,0.9711227,-1.6260738,1.4371575,2.025044,0.45328066,-2.128828,2.466625,0.50697714,0.78472227,-0.27456725,-1.3864555,-2.660981,0.96689826,-0.9418361,-0.9069851,-0.33927557,1.9537684,0.08310941,-1.0990877,0.9028781,-0.074251585,-3.184309,-1.8262293,-0.37032327,1.2480794,0.9438262,-0.43817937,0.6629514,-0.7431853,-1.331335,1.1258254,-1.6664883,-1.070135,-1.1482873,2.5549827,-3.9559917,-1.3286426,0.86914384,-0.20252661,-1.783248,0.76474524,-1.3512214,-1.1072716,1.0610251,-1.3760293,-1.2189199,1.7648572,-0.25574398,-0.7787351,3.083814,-0.92336535,-1.1754261,0.09721523,0.2692497,-0.27913558,-0.6918239,4.045217
HCC2108,2.0164373,-1.4288585,-1.871611,-0.06454163,0.30032802,-0.66957486,1.4858255,0.31313935,-0.23372152,0.18713857,-2.2417545,-3.4958458,0.5635506,-0.20248431,1.5806834,2.4555602,-0.00081223587,0.009636772,-1.9908456,0.6609931,1.0901613,0.18029295,-0.13310029,-0.5284507,1.3049362,1.5950239,2.5775883,-0.048927017,-1.0260968,0.9436957,-0.92688316,-0.5890671,-2.4190955,1.7620151,-0.2812695,-4.1892185,0.3511641,0.17982143,0.014253864,1.5948076,-1.1017965,-2.935817,-0.25795335,-3.8182502,-0.69896424,0.4175545,-1.0510876,-1.6585011,2.7662945,-0.4318118,-0.080756485,-4.1927986,0.66401774,-1.1110997,-0.12611204,-2.5304687,1.6045744,-1.5511289,0.41770458,-0.16877307,-1.0078351,-0.7984588,-1.3246306,-2.7850287,0.6302557,-0.64924055,0.19489059,2.5698957,1.0252723,-1.4864132,1.1382525,0.00031083822,2.0751565,1.5589054,-0.9442739,0.7627748,-1.6005458,-0.9959075,-0.645472,-1.7471298,1.3883502,-1.2105037,-1.76664,1.1312798,1.5900732,1.0713319,2.6936314,-2.1039944,-1.3632861,-2.0426488,-2.2453687,0.510493,0.13209635,1.0323229,-2.4392412,-1.7340902,0.2977792,1.8161588,0.14705338
Hs 606.T,-0.40245795,3.7562444,0.4066972,0.40051278,-0.57931215,1.2062031,1.5937525,0.9108878,-0.7272223,-0.43905857,-0.8053856,0.5624657,0.17110431,-1.8487219,1.6487746,-1.4180422,1.1813318,0.6081044,0.9501449,1.1969203,-1.2183527,-0.33972627,-0.26932257,-2.5642715,-0.12848926,-1.1270936,1.0791574,-1.6444865,2.099369,-1.9134346,-3.4238684,1.8815805,0.5128252,0.44074705,0.72572947,-2.725627,0.5136298,1.7061206,-0.5320339,0.22821023,-0.60265374,-1.3837628,1.9379632,-0.82274115,-1.1856092,-0.17797387,0.5251214,-1.2781588,-0.43507195,1.2893611,1.3349284,-0.0719049,-0.86421126,1.0110557,1.2267182,0.33764333,1.9906266,0.399058,-2.27308,-0.8969303,0.31837028,-0.8292264,0.4683757,-0.47529638,-1.9586767,-2.1408885,0.976921,1.3427418,-1.1395636,-0.015552737,-1.0356432,1.3832226,-1.0552617,-1.5191343,0.0935362,-0.4204867,2.253761,2.184148,-0.4967805,-2.6643639,-1.2381775,0.60810983,2.5805702,2.0712962,0.9382247,-0.50693625,0.25040466,0.592659,-0.8070091,-0.09525607,-1.2403703,0.5284723,2.0560179,1.11788,-0.62994516,-1.2784697,1.2381549,0.25441074,0.4863635
HCC366,1.1446636,-1.5333099,-1.5883472,1.137162,-0.4683218,-0.3459224,-1.0350021,2.7373488,-0.18318622,-2.9310052,-1.9569616,-1.7098682,0.5151128,3.0451756,-0.98337847,1.5654145,1.2671801,-2.0668654,1.8070446,1.8148954,-2.630061,-1.8654569,-1.1432856,1.6618775,2.4568596,1.2162248,-0.1856299,1.1827735,0.6528489,1.4459707,-0.010921363,0.8156392,1.2762531,0.40360233,-1.684097,-2.1627698,-1.043213,-0.5587174,0.501816,1.7605819,0.7813732,-2.1277032,-0.8667966,0.05673095,-0.44344807,0.73463136,0.44361293,-0.615419,0.8609191,-0.772159,-1.3741281,-1.3281022,-0.052318305,-0.8937737,0.92737514,-0.84612787,-2.536841,-0.043732878,0.357789,0.29648474,-0.93919426,1.6781482,-1.7042772,-1.1507301,1.6955109,-1.8514177,-2.936291,-0.4541969,-1.2262939,-0.72113615,3.6164975,0.4733711,2.3036306,-0.115360625,-1.2231079,1.893467,0.5114294,0.40042084,-0.8349788,-0.49196032,4.6827874,-0.4561246,-1.2911601,-0.48203138,0.5384353,-1.406955,-0.394845,-0.24147998,-0.69566137,-3.3002858,0.058197003,-0.16140155,-0.29066125,0.16905047,-2.703047,-0.27680966,-0.96563035,3.174548,-3.162295
Hs 255.T,0.29363045,4.593892,0.1519627,2.3604975,-2.3530145,0.62055975,2.2847714,1.3507755,-1.5744423,-2.1242867,-1.8445551,0.85986733,0.7220884,-0.20453319,0.9238323,-0.60187733,1.7355433,0.4484333,1.673922,0.9407497,-0.8575709,-0.26065052,0.23458558,0.6596239,1.5245482,-0.094234996,-1.1126206,-2.0073829,2.7443886,-2.6844077,-2.6491098,1.2656326,-0.69181603,1.3935238,1.2285334,-2.2526805,-0.026992619,2.243783,2.092941,-0.80802065,0.033055928,-0.31437767,1.3302035,0.52540815,-2.1492927,0.43080994,1.3034077,0.59707856,-1.0009164,0.4813825,1.7496358,0.69031715,-2.6500409,1.832664,1.4108189,1.4232008,0.10383825,2.4937298,-0.9647768,-1.5513585,-0.19785267,-0.9109297,-0.6939946,-1.2572753,-3.169831,-3.2793849,-0.7924788,0.7121899,-2.058373,-0.27054253,-1.0544251,1.6693703,-2.7926245,-1.1529074,-0.710649,-1.8003811,1.9267018,3.97233,1.1453099,-2.384468,-0.586201,-0.056364723,2.7105017,1.8301094,0.5302679,-2.6684203,-0.7964274,0.3874162,-0.96770924,-1.3642809,0.10808438,0.50593877,1.8251364,0.18403798,-1.2298709,-0.67538,-0.67846084,1.7861327,0.2238809
Ri-1,-0.17175274,-2.1715386,0.44482192,-1.681227,2.5685737,0.5769561,-0.23960103,1.4363226,1.2416277,2.1984825,-1.289796,-0.31158873,1.7836866,0.69044423,2.1770709,1.999475,-2.2604344,0.19063756,-0.891158,1.0901029,1.9259729,-2.5516913,0.5459769,-0.6830943,-0.44528317,-2.2801135,0.23889518,2.4393961,0.03687077,1.287023,0.33401668,1.0014951,-0.28294647,-0.26627553,1.6632638,2.9409733,-0.415723,0.15510756,-0.9993032,0.38275445,-0.023096845,2.960421,1.7727621,1.6290042,1.343737,0.22038482,-1.4265963,0.27394044,-1.4107444,-1.1665819,-3.3104873,0.30974695,2.6554937,1.1852171,0.19323781,-0.9572064,-0.098283485,-1.1452821,1.7079978,1.0506799,-0.19478814,-0.3218073,1.2791139,1.305284,-1.2649763,2.216452,-0.04487276,-1.3367155,0.05041219,2.569264,-2.3324323,-1.6667879,-1.2687743,1.9919999,1.006722,2.2977357,1.0342463,0.32675883,1.7095686,3.8382158,1.010477,0.88629204,-2.6543162,1.7297746,-0.70099926,3.6192439,0.43849474,2.6471543,-2.303709,0.5052855,2.1376445,0.84554935,-1.8311684,-0.9341029,-0.073670134,0.5181447,0.6409661,-1.4400513,-2.1611156
NCI-H1648,0.66235614,-0.44343433,-0.6508444,-2.734417,-4.2290707,-1.1333883,-2.3515024,2.1556325,0.32383102,-0.018344508,-0.6075749,1.0062273,-0.9632441,-0.18371575,-1.8420696,0.4205188,-1.4076506,-0.82300675,0.37254256,-0.9042699,0.006649792,-2.666754,0.78092086,-0.9591434,-1.059909,3.8337862,-0.3803542,0.62872857,0.3689962,-2.0542748,0.9034647,-0.6248462,-0.13145792,-1.8872551,-0.4666699,0.8658274,-0.6139028,-2.7222254,-0.17195636,1.9542322,0.45061907,1.370948,-1.2543186,-0.3392245,-2.2263713,-0.7872169,-0.9521228,-1.5546141,1.2590135,-0.7107163,0.48855743,1.0671716,0.08430212,-0.73576593,-0.7746889,0.5761592,-0.11803181,-1.511936,-0.55964106,-0.51415735,-0.6182941,0.7220303,-0.12788214,1.6264676,-0.0038672755,1.4586656,0.58943266,1.0943489,-1.082343,-0.6827577,3.661704,0.21638624,-0.3367802,-0.031332538,1.2474864,-0.39381686,-2.3797271,-1.9020693,1.5597605,-0.27967405,-1.1030973,1.0593065,-2.254489,-1.1240349,0.52932364,-0.24303009,-1.2026187,1.2113823,0.39295936,1.2272226,-0.22053778,-3.9131148,0.7503231,1.0926504,-0.09702188,-1.604146,-1.0625681,-1.5034649,0.6070613
NCI-H727,2.6935902,-1.3764845,0.38323906,1.0695689,0.5709317,-0.529141,-0.26058325,1.3623916,-0.09066032,-2.1706748,2.118083,-0.13354507,-1.8634412,-0.6444184,2.2994292,-1.9184575,1.1900742,-1.216075,-2.3874116,0.36399287,-0.08264403,-0.76952404,-0.2925554,-2.4879405,-0.26982749,-0.18291523,-2.9336429,0.10627799,-0.6973653,-1.8028134,-1.044901,0.31828833,2.93412,0.61388916,4.316733,-1.3933203,0.3255437,-1.1197201,-0.7625154,-2.903455,-1.8994806,1.5751257,0.6557045,0.6397471,-2.646898,3.5576124,0.44135106,1.9255672,-0.26964307,-1.2366016,0.7340965,0.41814232,1.5424975,-0.080326065,-0.06404601,-1.608506,2.43855,-1.4637096,1.6252294,-1.198849,0.7720941,-2.9195702,0.4056456,1.1313375,1.1430833,1.6765113,-0.9165104,-0.6901923,3.0269969,-4.8426356,1.2428951,-1.7565573,2.8032901,-2.7089188,1.627807,0.47735596,-1.5679414,1.0049454,1.5102446,-0.2675824,-2.107023,1.2758274,0.44130385,-0.26282805,0.30258608,0.18977454,4.395653,-0.21537523,0.39003053,0.98315257,-0.6128179,-0.4002154,-0.73130816,-2.5050693,0.6434221,0.28955138,1.3522741,1.8596661,-2.1899736
