,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98
YKG-1,-0.7169606,1.6946497,-0.79735804,-1.4843918,1.0062733,-1.0923194,0.00011046603,-0.12923345,-1.8428291,1.1659259,-0.7457311,-2.8270118,-0.5423365,-2.5569184,-0.6010081,0.06313503,1.4750986,0.21224602,-1.5194504,2.8002646,1.466289,-0.25273857,-1.8986088,0.87230325,-0.49816588,-0.10286303,-1.639101,-0.9615729,-2.5618567,-0.75885075,-3.6575873,-0.4729798,0.24489453,2.447725,0.3106717,-0.2839286,2.8441463,0.05384569,-1.3639073,-1.760788,1.4501678,-0.091806605,-0.9787515,-2.2185273,-0.10686089,1.1111925,1.2488632,-2.4476163,1.0223771,0.4265757,1.4643661,-0.07568912,2.363098,0.62123495,1.6164416,-0.9360981,3.0288334,-3.1127877,1.3813131,-0.8411492,-1.1300544,0.4245829,1.1360558,-0.48520073,-0.7219253,2.1156743,2.1283054,-0.16181682,-2.2131069,0.32802328,0.07138645,-1.1464763,1.4892825,-2.1300046,-0.7536654,-1.1197178,-1.9736608,-0.33079904,0.13470638,-1.4661797,-2.0298169,0.6638534,1.1037148,1.0695858,-0.7228971,-0.19699146,-0.8026838,-1.248017,1.9883147,3.0077095,-2.9856932,4.2101846,0.72966534,-0.7446411,0.1320951,-0.9289664,2.4002757,0.7694025,1.9059938
SU.86.86,-0.44542935,-1.7911216,0.72923553,-2.8170302,-3.8740888,2.9355257,-0.103728324,4.3689055,-1.1754719,-0.939614,1.3659303,-2.651334,-0.413067,0.71367484,1.043056,0.4566897,-0.6266098,-0.3867849,-0.56166923,-1.4386607,0.31985915,-2.3660853,-1.252427,-0.9605136,-2.650814,1.1044704,-1.4721502,1.0332725,-0.42467272,-2.673939,3.0691566,-2.3912702,1.7278023,-1.0455618,4.5892262,-1.685991,0.87385994,-2.2125897,-1.328011,1.4674594,-0.25716066,0.16653234,2.2362144,-0.020413257,-3.6667314,1.7155552,-0.66275865,1.6841441,0.79123175,0.21624376,1.3692685,0.29987347,0.6518037,-0.32623985,-1.0180895,0.19001433,-0.8493331,1.2766653,-1.4401308,-1.3785523,0.35902467,1.04595,-0.11036005,-1.7356225,1.587539,1.7268835,0.41913438,-0.6476853,-0.8963448,-2.491209,3.9635615,2.3024132,-0.46919024,-0.5340488,1.3871896,-0.06796697,0.68073535,-0.7048405,0.85598207,1.437804,2.4415967,-1.4625399,0.6502197,1.2577888,0.9528633,-3.0635066,-1.7877762,-0.02508039,-0.95048386,3.9231555,-1.9602152,-2.7740445,-0.058550693,-1.9521137,1.2492799,-1.7681346,-0.96902156,-0.4525364,1.9050294
Jurkat E6.1,1.7882545,-3.0769734,-0.007760048,-1.6441537,4.919604,-0.84681183,-1.9170979,1.7061248,0.72439265,2.0019867,-0.5349232,3.02548,-0.17389975,-0.12795782,0.300876,0.81358707,-3.8188314,-1.9185189,-2.0552363,-0.41409665,2.5315428,0.7129803,-0.9551454,-1.3981928,-0.53668374,-2.370158,-0.580696,1.0575414,-3.1307638,-3.483349,0.034406215,-0.66078997,-1.1176811,1.4134537,-0.07385434,1.9499441,-0.70802265,1.8683662,-2.1278744,-0.43729037,-1.5048609,2.7586482,1.4240633,-1.4815644,-0.6123857,-0.6842451,-0.14473239,0.06500259,-0.1639229,0.62810886,-0.73280835,0.35125118,3.1982071,-1.3313129,-0.7911374,0.68618286,-1.1295044,-1.6834108,1.1913815,1.5931647,2.2592778,-2.546108,-0.7766945,-0.6057865,0.36659917,-0.16924931,-1.8878665,-0.88396835,0.46119308,0.056739654,-0.3139954,0.6406559,-0.6875121,1.4179043,-0.16975138,-1.3032519,0.64864534,0.37040108,-1.175684,3.7603536,-0.33764225,-0.73826075,-2.3399093,2.6547902,0.95984566,2.2663777,0.89599144,3.4614143,-0.5559339,0.44251472,0.17869359,2.2464273,-0.19559559,0.41415393,3.0125015,-0.62710565,2.5976334,-3.413458,-1.5504162
NCI-H1755,0.40701523,0.054897137,-1.2316476,-1.1379883,-1.207947,0.37476087,0.6446826,1.3357767,1.1795346,0.31901166,-1.4321123,0.3613118,-2.2038019,0.9517204,0.5563948,-1.1611252,2.0574162,-2.6115615,-1.5017619,-1.1667099,-2.1128805,0.29133806,2.5106614,0.31633675,0.40229878,-1.6000464,0.075114444,0.06719677,-1.6962231,-2.029427,-2.3173103,2.0427291,0.49942073,-0.39399529,-1.5550662,-3.0518162,-1.1333495,-0.8012694,-0.89889663,1.2500646,-3.0133755,-0.939699,2.2296014,0.17093854,-2.3951457,0.94019395,0.8376827,0.5286927,-1.6700624,1.0720143,-0.56015736,0.1233611,-2.1519732,2.2560155,-0.8603197,0.51708734,1.5655341,1.405002,-0.3500629,0.8484187,0.15112123,0.32740784,-1.2817328,0.38949975,-0.5390031,0.7648972,-1.5791601,0.24208635,1.4615233,-3.0652997,0.98769194,0.33787626,1.7589504,-0.7821117,1.2469815,0.90560645,-1.1577572,1.6809828,-1.2126694,-0.12071153,0.09004231,-0.53680885,-0.26937327,0.799929,1.1613646,-0.14356788,1.7305793,-2.055571,1.2230179,1.1035182,-1.5227969,1.808209,2.3098736,1.8850614,-1.3368447,1.6277487,1.2697166,-0.15599553,0.33078918
KMRC-20,-4.647994,1.8497107,1.7629219,0.003413763,-0.37324288,1.9834223,0.08636787,-0.44079882,-0.937904,-0.21357794,0.009296086,-1.7269318,-0.22260459,-0.65386105,0.2934327,-2.691578,1.3682784,2.205718,-2.134715,1.1657851,-0.06801627,-2.8294375,0.33013055,-0.3514705,-1.3537316,1.357099,-0.823841,1.4553248,-0.4788623,-2.3742366,-0.07719606,2.452717,1.6201862,2.3970037,1.3837276,1.9361326,0.7481141,2.0772183,1.753124,0.37134966,0.20026904,-1.844984,0.9878976,2.6499982,-0.40286753,-1.6983502,-0.29151592,-2.131589,-0.76741207,-2.7656212,-0.02658284,-0.50512934,-1.3176726,0.493723,-0.38611975,0.08126146,-0.02587489,2.9005146,0.12270319,2.0757825,0.6448797,1.6643276,-0.98801863,2.8014894,-1.7137896,-1.8451103,-1.571883,1.3236601,-0.049238,-1.2824527,-0.24083517,-0.01964631,0.9414395,0.5725663,-0.7354254,-1.6224829,0.093599394,1.270025,1.1759334,-0.3321079,-1.0993917,0.059291746,0.74272096,0.701056,0.28220946,-1.2212574,0.5938799,1.4659214,1.5575186,0.83618134,-0.9902838,0.111532,1.5989997,-1.0708048,0.1151345,3.4353552,1.0692044,-3.2842557,0.79283524
LN-18,1.3352643,0.3516484,0.394222,0.4507865,0.051744215,0.30184495,0.34110332,-1.106126,-0.3382586,0.30657893,-0.11895256,0.10709626,-1.7238717,-1.6653662,0.47769353,-2.4276686,1.0797967,1.3050478,-1.0200965,0.3113099,1.095718,3.0870068,0.38764772,-0.04502336,-3.0134869,-0.2609863,0.84567356,-0.6589819,1.2833104,0.7140006,-1.2499609,-1.3103,1.0397495,0.280849,-2.5811362,-1.0213643,1.8418127,0.14501683,-0.52752167,0.27494812,0.46205768,-1.327877,0.7209686,0.51053494,0.31368095,0.46965888,0.72932416,0.9630543,0.95526403,1.6516186,-0.47195187,-1.0516484,-0.39196247,-1.4433713,-0.12423082,-0.53377914,0.63238204,-1.4167044,-0.7222138,0.08953172,-0.35642946,0.04437142,3.3611977,-1.3404164,-1.3147306,1.6020586,1.6643026,1.1310518,-0.028107867,-0.77234423,0.43184945,-0.5407034,0.3668067,-0.94831866,0.69473577,0.06626621,0.5467151,-1.7315793,0.07339931,-2.3934429,-1.5132093,-1.8777381,0.8552599,1.1623791,2.6641273,-0.44148597,0.0132545065,-1.6436406,1.7866585,0.3099661,-0.6597949,1.7860037,2.403318,0.5572437,0.5692935,0.6197387,-0.45806772,-1.0829242,0.822126
COV318,-1.2129043,0.21411648,0.8221997,-1.2175559,-0.5874804,2.6357963,1.7147353,-1.6557145,-1.1864166,-1.2736349,0.37686217,-1.8828175,0.42461482,1.4867249,3.0379632,3.8047538,-1.1815673,0.08815035,0.25002834,1.6051434,-2.6961946,0.46971166,0.22360355,2.1531382,-1.7328732,1.4885792,1.8285505,0.44315448,-1.2946758,-0.14821184,-0.36023077,-1.2161613,-0.8275435,-3.2778862,1.5237646,0.6577935,-0.6414588,0.8911681,-0.6882685,-2.2478664,4.107679,2.8255856,0.17802092,1.8328096,0.32751358,-2.1402655,0.37891516,1.836832,-0.68913853,0.1409668,0.28154093,1.8291373,0.40418804,2.0504653,1.3128716,0.619747,-2.5894458,5.2192254,-0.3874503,2.9291618,0.3466657,-0.4566612,0.9336785,0.9419636,0.9895525,1.0933708,0.22568327,-2.163166,-1.932258,-0.28712362,0.74139297,-1.5165375,-2.3308673,-1.3151841,0.05650966,-3.417172,0.9506306,0.37720186,-1.4553641,1.6252311,-1.1467874,-0.7295072,2.849245,-1.0622745,-1.7560655,-1.9070958,-1.0803771,-0.7986743,1.7271104,1.2709584,-0.33303636,1.4436014,1.4849552,1.3895526,-0.7371025,0.18690333,0.32445103,1.4738171,-1.4550729
SNU-478,-0.10883815,-2.2919712,-0.047204465,-1.4256221,-1.1846918,-0.6217278,-1.1365429,2.1051908,0.7075035,-2.1456504,-0.8001637,2.2657228,-0.48490554,3.2049654,-1.6262842,1.4713206,0.5105755,-0.37815246,1.2821951,-1.3181008,0.1250531,-1.1402613,0.36221218,-2.5363777,1.3825275,2.8935764,-0.99232185,1.034806,1.930784,0.24732661,-0.81057173,1.2584736,-0.5685408,0.23453113,-0.13916986,0.9375644,-0.21456419,-3.397376,-2.1874776,2.0121288,1.328962,-0.2749272,-0.7182378,0.8095629,-1.052656,2.1423821,-0.09232821,0.099953465,0.0125324465,-0.94239473,-3.2639186,0.46416777,1.0310558,1.2231616,0.37634617,-1.5578841,-0.25753734,0.37537056,-0.6823587,-1.0072162,-1.8236707,2.4677348,0.39334208,-2.2506397,-0.43184915,2.5983882,-2.6791873,-1.6371416,0.06052955,1.2380179,0.0018015634,-2.3079228,0.9099955,-1.890397,0.34562325,2.5814993,-0.19849409,-0.061406154,1.3554705,-1.7576222,0.89136034,0.5889426,-1.7913318,-1.4469451,-0.46622357,0.7840768,1.0985802,1.7406209,-0.15304692,-0.90947413,1.5239547,-3.8181481,1.1274806,1.8184029,-1.7870181,1.3197261,0.7208791,0.8083652,-0.28137192
OE19,1.9949414,-0.41551542,-1.9034542,-2.0895576,-0.3922778,0.30916104,-3.6181493,-1.1003344,-2.3177097,0.81559896,0.42263192,-0.506118,0.32029414,1.4103842,-0.18815121,0.21965502,-0.21672907,-0.048704993,-2.5103917,-1.0356158,-2.1951926,0.20969142,0.66070384,-0.25321504,-0.34344327,3.6474402,0.36127362,-1.6266782,-0.113193415,-1.0213026,0.28042245,-0.056270525,-0.3079731,-0.024718026,2.4338355,0.82592237,-0.6349808,-3.3223655,-0.93256503,-0.5186596,0.5491799,3.2422235,-3.0707088,0.24155654,1.6553313,0.56018513,-1.6247559,2.6069224,0.8494954,-0.3488686,2.5021033,-0.55447817,-0.44982257,0.03869766,0.9043415,0.018080093,2.0541093,-1.1249744,0.1988228,-1.819754,-2.4134157,-0.2031696,1.6120126,-2.3176923,-0.44953945,1.2261788,0.98959315,-1.9497209,1.591107,0.06819496,-1.1668196,-1.7962817,-1.8133032,-0.2530147,-1.0182092,0.03876235,-0.3805917,-0.8099295,1.9587663,0.3175325,-2.1448898,3.1318648,-0.9986779,-2.6775336,-4.043754,-2.546859,2.1284251,1.1559359,0.7282352,1.3155864,0.31394732,-1.9960533,-1.9710073,1.5773437,1.3833326,0.49421564,-2.2343888,-0.22916327,1.1679034
CHP-212,0.21795459,2.2349913,-0.955022,0.50938296,-0.637251,0.19639644,0.12560679,-1.8647872,0.8030022,-0.87094986,-0.903579,2.4446385,-1.2857658,-1.906389,0.38074625,0.24398147,-0.3683845,0.48088697,0.06157195,1.0721006,2.8394232,1.4446807,-2.2590778,1.9752196,0.19198637,-0.1072247,0.42838266,-2.3171492,-0.38541168,-1.0703621,-0.29828027,-0.37212345,-3.620985,0.42222333,-2.3269207,-0.44524673,2.1890633,-0.25459686,1.2231977,-0.40430516,-0.7685921,1.4328917,0.23492226,-2.3608959,2.112809,-0.09161608,1.192925,0.7712079,-2.9368966,-0.5705184,2.4663823,3.8852406,-0.50277394,2.2916408,-0.8267134,2.9167576,2.119617,0.039089724,0.5131645,-1.7356862,-0.72914004,-2.1949353,1.9928367,-0.79394925,-2.3726695,-0.7163603,-0.7221235,0.21399242,-0.58106565,-2.030857,-0.80377406,1.386066,1.4087126,-0.5930708,0.8897451,-1.2768726,0.4227571,-0.2180648,-0.37447575,1.4123198,-1.9481404,1.5648569,1.0032659,2.1931648,1.060729,2.237748,0.35732988,-3.0756087,1.389511,4.456464,-3.0652525,1.8020767,3.3780208,0.6379387,1.2925059,-0.88963324,0.72932094,-0.5457339,3.2001915
FU-OV-1,-3.0213006,-0.06950233,0.12544435,-0.0762789,1.964835,-0.524108,3.5410988,-2.2804701,-0.99513006,-2.5602696,-1.4931015,-1.5866556,0.63653886,1.1918977,-2.5704422,-0.17133255,0.4883949,-1.4425701,-0.28126433,1.9273427,1.191364,0.56247234,1.0710928,2.302542,-2.0758386,2.9229324,1.6216792,-0.6609185,-0.54080623,1.6721867,0.13981573,-0.14550602,0.20449832,-0.11804451,0.053277772,2.287749,0.96750915,0.32136458,-0.25804535,0.31776828,4.133369,-1.0545933,0.45176154,-1.193804,2.7235694,0.023366563,2.7860005,1.3318735,-0.6184325,-0.16350931,-2.346208,-0.5906944,0.056354593,0.459442,1.0894532,0.43835735,-2.2511473,3.8153903,-1.4540831,2.3627987,1.027764,-0.11473527,2.22122,0.17891335,0.23538318,1.8688985,-5.9541197,-0.20462474,-1.1345189,0.8777538,0.38076794,-0.13122326,0.6659633,1.0238199,-0.65090567,-1.7904357,0.43061456,0.40873578,-0.26544625,2.2124536,-2.341325,-3.8213665,-1.1695086,-0.91039103,0.5674248,1.6409701,-0.73364663,-1.7615705,0.14010403,0.028123371,-1.6508391,1.4451658,2.4319022,1.396939,1.8321671,3.8221483,-0.048419945,0.9292841,-0.95311403
HuCC-T1,-0.9085046,-0.26501405,1.1264265,0.7483931,-2.837101,0.6165061,0.1462331,0.73087996,0.068132766,-2.421511,-0.60142154,0.6301139,1.5145718,0.98135144,-0.90010417,-0.62917966,-0.53934747,0.7125126,0.054226115,-3.3702826,-0.8629989,-2.3983202,-0.06962484,-0.0042135175,0.43094486,-0.20683797,-1.4143981,0.8381405,1.2974443,1.1359462,1.1555533,-0.70653826,1.283169,-1.3735414,-1.4573057,-1.9501101,-3.7548964,-1.6678596,-1.5503203,2.7014437,-0.8028286,-2.6008031,0.06450333,0.09564258,0.20895106,-0.7274262,-0.52467644,0.6148427,0.18335645,0.79706883,-1.3239121,1.1475022,-0.05181631,-1.72383,0.7631787,1.3431201,-1.9380714,0.65937907,-0.9976334,0.70506954,-1.0492309,1.814449,1.406434,-1.6486355,0.25213042,1.1771753,-1.6550968,0.8000748,-0.008693177,0.16177867,3.5590584,0.8810201,0.029509516,0.9171978,1.6597514,0.18009186,-1.1953176,-0.6276947,-0.15601352,0.050367124,-0.12072806,-1.4640782,-1.415496,-0.21213058,1.621484,0.5549506,-1.1902692,2.49153,0.04757833,0.5495075,0.36370608,-4.3908434,0.47269744,0.12352224,-1.1372348,-1.6906682,1.1015781,0.9009636,-0.22245704
KYSE-150,0.9276429,-1.5035285,0.45104745,-0.45288455,-0.44896507,-0.58522046,-1.3058025,-1.2712504,1.8856051,-0.62113684,0.26863375,1.6853172,-0.39075485,2.0267313,-1.4812131,-2.3420024,1.6946858,-0.35965118,-1.1413722,-1.0716674,1.7094562,0.41049632,-1.3916707,-2.6909006,0.31804782,1.9595383,1.3173697,0.8105719,-1.237612,0.98770386,2.2719426,0.16427594,-1.3998921,-1.2021071,-3.0859373,0.12233371,-1.022277,-0.5113407,2.0853906,0.8206857,-0.8915452,-0.95042396,-0.47975513,0.50512,0.33371216,-1.181478,-0.7623031,-0.9533063,0.8177439,3.5938594,-0.17579457,1.860585,-1.1191657,-2.5282307,-1.4887034,2.605545,-0.976332,0.041164093,-1.0684059,0.27296796,1.1238035,2.235569,-1.415494,-0.5407016,1.3509046,-0.6551852,-1.6968344,-0.21768329,0.42257237,-1.4180857,1.5270327,-1.5183333,0.3978136,-0.5448965,-0.3272583,1.0128293,-0.41341656,-1.7877231,0.07416408,0.41777894,0.7300564,0.7576249,-0.33257735,-1.9215752,0.41046372,0.7678336,0.3128264,1.824385,1.2388418,0.23347275,1.7086333,-1.6971385,0.41168737,-2.5397837,0.7398223,-0.56944776,-1.116254,-0.8863356,-2.6093812
U-178MG,0.8090706,4.2682366,0.14988372,-0.7985173,0.6677116,-0.33069196,-0.18754141,-0.6394117,-1.7215616,-1.0462241,-1.390664,-0.66602576,0.09519101,-1.2259971,-0.71386313,-1.962641,0.8900154,0.6065359,1.2620935,1.3996652,-1.1458722,2.0956688,-0.92204565,-1.6409191,0.14794959,-1.519811,1.0893639,-1.4508442,1.8749888,-1.0468897,-2.4759362,0.37547332,2.0239522,2.1704123,-1.8122358,-1.7088603,2.6896706,-0.53309655,-1.8785329,2.2404754,-0.2901719,-0.07855962,0.6995222,0.032801222,-0.39415056,-1.1547065,-0.077082776,-2.031048,-0.062356427,-1.0344051,-0.39442196,-0.39571452,0.14932582,0.14892055,-0.23132253,-0.026407883,1.6794581,-1.6726778,-1.1112771,-1.4961714,0.16148964,1.7682595,1.4271522,-0.72775894,-1.8452495,0.034270108,3.5669415,0.06991214,-2.7960374,0.6094167,0.24069507,1.2629094,-0.49460056,-0.75567096,-0.65768534,1.3330089,1.7842555,1.42495,0.66103756,-3.698658,1.9901963,1.2068715,0.3348851,1.4883927,1.1049552,-1.8815457,0.46360475,0.56566834,0.70894605,-1.0513126,-0.067989126,0.99162894,0.23849612,0.24697167,1.010216,-0.2215413,-1.4720203,-0.660365,-0.06080252
MDA-MB-134-VI,-1.1545789,0.09912635,1.0501561,-0.3959423,-2.4809477,-0.75623333,-0.017966416,-0.93136287,3.4192119,1.2152815,1.532071,0.45075053,2.2757201,-1.368756,0.83542174,-3.1168785,2.8502383,2.5815773,1.4987885,0.84811985,-0.78960574,0.93147767,0.14718522,-0.51524633,-1.1860623,-1.3302025,-3.3970306,1.3233674,4.730565,-2.1059384,-1.9362161,0.6856959,-1.2589415,0.7645529,-1.342423,2.024537,-2.3041258,2.0147922,2.065286,-1.6507392,0.12324433,-1.4538817,-1.3073531,0.11470685,-2.643509,-0.2929519,1.0210037,3.6894026,-1.0336906,-2.6695437,1.0492926,0.032052748,-2.9181373,-3.5307221,-0.05478221,2.2180364,0.9525392,1.6454017,-1.2969676,-1.9956661,-0.23162346,1.0701616,-0.6292112,2.517557,3.1189606,-6.626114,-1.460386,-2.66288,2.3426266,-1.1898766,3.9697275,1.7766113,1.0784448,-0.38936165,-2.7214491,2.5260708,-0.33164352,-0.52196085,-2.4782758,3.0425131,0.31823355,0.7731668,0.13563675,3.622237,-0.65227926,-0.29346195,-3.582561,-0.18333142,-0.12028345,-1.1270227,-2.1102335,-0.18768524,-3.9286237,-3.1265638,0.16665377,1.8253213,0.9306652,-1.6120373,-1.9440308
OAW42,-1.4968761,0.26603657,1.0004877,2.4419713,0.9894412,0.3256545,1.4509369,0.39913377,-1.7011824,-1.1146909,1.3678768,-1.0757372,2.0157022,-1.886786,-2.0571527,1.7260103,-0.06359608,-0.30902007,-1.8559729,0.4685564,-0.5690256,-0.5264503,-1.5008305,0.33197045,-1.1358871,3.5261264,1.4062529,-2.2619667,0.13180074,1.1643332,1.8403889,0.76650375,-0.6836981,0.15413928,1.6287128,1.4864287,-0.82552874,2.4424744,1.4653655,1.0649948,1.905605,1.4427279,-0.8471362,2.005675,3.0505536,-0.016442312,-0.18450482,1.0469352,-1.4938306,-1.8444725,-1.3790894,0.7263401,1.1848037,1.49791,0.8765972,-1.0839742,-2.0553617,3.5002227,0.54878324,1.067534,0.053422853,-0.29121685,0.8261742,2.917383,-0.37832025,-0.43335828,-3.0072467,1.0842888,2.576506,-0.0015650424,-1.1570493,-2.5077026,3.4619176,0.28291,0.02226463,-0.4585049,2.2894254,-0.7521058,-0.74095887,-1.01753,-1.3507365,-1.730026,-0.91754943,-1.5130368,-0.45767397,-1.1391572,-0.12508138,-1.442268,-1.0453459,-1.3091773,-0.78951955,1.3129764,0.25051236,0.5469651,1.8301222,2.4089067,-1.1938652,-0.7419125,0.19349419
SNU-410,0.34977135,0.72357136,-1.0801755,1.1689544,-2.853741,1.0729709,0.5271084,0.6132861,1.0372566,-2.2336795,-2.227716,-1.8029674,1.1587982,-1.2282149,0.43178037,-1.7881408,1.3009338,0.823041,-1.6115903,-0.934468,-2.2979865,-0.025659941,2.1070952,1.5170062,1.2785469,-0.2578666,-1.554593,-0.58905625,-0.13714185,-0.35132134,1.2612149,-0.9259817,1.2049769,-2.5573435,-3.3920674,-3.3915417,-2.6887162,0.5342309,4.0393386,2.2849236,-1.7776628,-0.23313382,-0.76254207,0.58125925,0.60360414,-0.23575273,-1.5889742,1.7901996,1.5311084,0.8072062,-0.28220674,1.7401998,-0.97398436,0.9913482,-0.9769007,-0.040060222,1.1449841,1.8910805,0.56776816,-0.7439368,-0.79881287,1.6706196,-0.8059473,-0.2235435,-2.7185948,1.0653845,0.0042611286,-0.19966824,0.093567505,-1.003788,1.5490565,1.0523682,0.95443743,1.2008867,0.21217093,0.40772924,-0.9437619,0.08084367,-1.5867417,-0.7983773,1.5693464,-0.26913288,-0.8660013,-0.29685163,3.119949,-1.9403384,-0.766416,-4.7316065,2.9320378,1.2590134,0.8430332,1.1196662,2.8688726,-0.0029417984,1.1017605,0.3163845,0.82214516,1.4800965,1.14511
KYSE-520,1.8835822,1.082206,-0.22012869,2.0921216,-0.74724364,0.32238743,-0.5578451,-0.4771012,-0.30151576,-1.0680865,-0.38508767,2.3148403,-0.91139257,0.5097373,-1.81243,-0.40049678,2.4825087,0.49662098,1.4762671,0.8134739,-1.7557738,-0.113432385,3.7549047,-1.4275098,-0.781009,2.0030103,0.9139533,-1.1102061,-0.7864285,1.5282555,0.49550548,1.4652914,-0.0011961423,0.4671163,-1.759788,0.8702906,-1.5602587,-0.8273723,0.99819356,0.817393,2.146549,-1.7904451,0.34501284,-0.5378962,1.0963341,-1.3415724,0.97446173,0.4011031,1.5612082,2.770702,1.1799641,0.72456455,-1.4370716,-0.25225925,-0.8821744,1.4017127,-1.3983663,1.2364635,-1.293075,-1.3858187,-0.7124523,0.38740999,-0.34980756,-0.9423758,-1.4582256,-1.8529911,0.20363472,-1.4873229,-0.28306076,-0.10912306,0.49803394,-0.65475637,0.28999805,-1.7089431,1.2612647,0.58457065,-1.1395636,-0.7945301,-0.84505385,-0.9875984,-0.35269067,-0.25554913,-0.6939624,-0.748719,1.2305353,0.43609843,-0.9404812,-3.0593822,-0.6504394,-1.1105299,0.91257507,0.116010614,2.6216245,1.8642244,-0.62284356,-0.3841521,-2.3127334,0.65048575,-0.11272775
MEC-1,-0.22076409,-3.87885,1.860923,-1.8100479,0.5606256,0.34300363,1.5148255,1.6990606,3.078895,1.3884652,0.2764095,-1.5961996,-0.14569144,-1.024226,3.5984833,0.9033142,-1.9279598,-0.86682963,-0.115417205,-1.0221907,4.7826276,-0.39623547,-1.0507411,1.685654,-1.0970608,-2.2000046,-1.7323966,2.172591,1.8774537,0.50789577,-0.88236815,-1.4507104,0.07597296,0.09394306,2.0639114,1.3464774,-0.5397893,0.8967466,0.078477144,-1.8057606,-0.3106345,3.2035098,1.1228709,2.6333914,-1.4950862,-0.19980493,-2.3419037,0.9515395,-1.7685369,-0.037380263,-0.067712225,-0.66668016,2.9217255,0.6706509,-1.6559621,1.0650926,-2.1882448,-1.4426509,1.7837381,1.3713585,-0.9542583,0.8527465,-1.5489326,2.0768337,1.256928,-0.053786367,1.0029652,0.35090545,-0.37077752,1.4992907,-2.22037,-0.49536437,1.2173842,2.5447361,-0.81835353,-0.9833369,-1.005911,-0.42854047,2.4973764,0.65643376,1.4202348,0.1115849,1.2851351,2.0113952,-0.49920863,2.1950898,-2.9761922,1.1153364,-0.30649534,1.3363643,3.1798973,1.7032003,-1.0600471,0.46071813,-0.029248133,-2.714049,1.5565346,-0.38802725,0.89107203
SUP-M2,2.286058,-0.94785875,1.2740208,-0.030071722,0.028900549,-0.50955534,2.9651153,2.6270993,0.019509895,2.6746988,3.9896944,0.5697083,-2.3076463,0.10293417,1.8540877,1.8816313,-3.667803,-0.13604435,-2.8947148,1.3371694,1.2941806,0.0065645017,-2.6133382,-0.3647102,2.153234,0.5607486,0.31026992,-0.24694094,-0.008922573,0.055559,0.531488,-2.9765105,-0.8634746,-0.049895607,3.110459,0.5485253,1.5783215,-0.99562895,-1.0847397,1.2896156,-2.2366254,1.3382019,-2.3772025,0.12012531,-0.52537435,1.3937279,-2.949364,-0.11068591,-1.8858804,-1.1603829,-0.08253279,0.0626945,2.035126,2.1357796,-2.4354777,0.3073654,-1.9390363,0.8013104,-1.5567867,2.520462,0.19032696,-2.130204,-4.824459,0.69482976,0.93566066,-0.0025135279,1.2559355,-0.08898631,1.164349,1.0506328,-1.7634286,1.2465031,-1.7709147,-2.3264823,-1.3619479,-2.8324585,-0.06065318,2.542288,-0.71801126,-0.40433568,1.780381,-1.1820327,1.458813,1.8125714,0.033011764,0.18852106,-2.3841352,-0.12683159,-0.27924478,0.035201333,-0.18533762,1.4722321,1.7552581,-1.4847904,-0.4148808,0.12918055,0.4214622,-0.0634661,-0.17561567
TT2609-C02,-1.8587227,-0.42961514,-3.0052066,2.8497357,2.3294535,-0.80597323,0.926923,-1.497527,2.1967325,2.5987,-0.65692943,-2.434629,-0.91953063,-2.890446,-2.8072088,-1.4399745,0.5948255,-0.5053197,0.24440214,-1.1118696,-0.011550114,0.39468879,-0.6904835,1.3524493,1.8985015,-0.266988,0.3253798,-0.38266313,-3.8932188,-0.32283983,0.9424994,1.7869983,-1.3683212,-0.36911187,-2.538309,-0.59487087,-1.694147,-0.009591938,1.2919786,0.82124007,-1.6919444,-1.1687701,1.7147146,-3.9087796,0.47287428,0.6625195,-0.80687374,-1.9387307,-1.5290418,1.8216956,-1.3005329,0.6905924,-1.600067,1.305608,-1.9422005,-0.8254815,-1.0461634,0.30383667,4.680289,-2.3852615,2.8340247,0.4833968,0.6553871,-2.4979365,-1.5959069,1.7078363,-1.8913949,1.8797885,0.43959147,0.2729237,-1.0302157,0.8298619,0.4781064,2.0156689,1.5830073,0.14154834,-2.870363,-1.573375,-0.7162049,-0.63453615,-0.008293701,-1.5084258,-0.61282796,1.1853713,1.9499525,2.7218769,-0.72532356,-1.9433541,0.8898753,1.2565145,-1.8340516,2.2699592,3.232865,-1.4687119,0.26134303,-0.1277235,1.3527988,1.4350865,1.7266568
