target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,CTCFL,1.9340532e-05,IntegratedGradients
Erlotinib,0,,cnv,SALL4,1.8846524e-05,IntegratedGradients
Erlotinib,0,,cnv,GMEB2,4.112536e-05,IntegratedGradients
Erlotinib,0,,cnv,TSHZ2,1.4819874e-05,IntegratedGradients
Erlotinib,0,,cnv,NFATC2,2.3978146e-05,IntegratedGradients
Erlotinib,0,,cnv,FNDC11,3.295764e-05,IntegratedGradients
Erlotinib,0,,cnv,SRMS,3.7460017e-05,IntegratedGradients
Erlotinib,0,,cnv,KCNQ2,3.3914937e-05,IntegratedGradients
Erlotinib,0,,cnv,NELFCD,2.8164679e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNF831,2.3185785e-05,IntegratedGradients
Erlotinib,0,,cnv,ABHD16B,2.982873e-05,IntegratedGradients
Erlotinib,0,,cnv,TPD52L2,3.270013e-05,IntegratedGradients
Erlotinib,0,,cnv,ARFGEF2,2.5541207e-05,IntegratedGradients
Erlotinib,0,,cnv,HELZ2,3.9763632e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01270,2.4923103e-05,IntegratedGradients
Erlotinib,0,,cnv,TUBB1,1.8259934e-05,IntegratedGradients
Erlotinib,0,,cnv,SLMO2-ATP5E,2.4323712e-05,IntegratedGradients
Erlotinib,0,,cnv,ATP5F1E,2.4625604e-05,IntegratedGradients
Erlotinib,0,,cnv,PRELID3B,2.135779e-05,IntegratedGradients
Erlotinib,0,,cnv,RTEL1,3.5462108e-05,IntegratedGradients
Erlotinib,0,,cnv,RTEL1-TNFRSF6B,3.4723915e-05,IntegratedGradients
Erlotinib,0,,cnv,ARFRP1,3.2782136e-05,IntegratedGradients
Erlotinib,0,,cnv,LIME1,3.3399305e-05,IntegratedGradients
Erlotinib,0,,cnv,TNFRSF6B,3.252302e-05,IntegratedGradients
Erlotinib,0,,cnv,ZGPAT,3.11561e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC2A4RG,3.3036853e-05,IntegratedGradients
Erlotinib,0,,cnv,ZBTB46,3.223375e-05,IntegratedGradients
Erlotinib,0,,cnv,CDH26,2.5138605e-05,IntegratedGradients
Erlotinib,0,,cnv,PPP1R3D,2.4625184e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM217B,2.7699709e-05,IntegratedGradients
Erlotinib,0,,cnv,PPDPF,3.2692515e-05,IntegratedGradients
Erlotinib,0,,cnv,PTK6,3.7354475e-05,IntegratedGradients
Erlotinib,0,,cnv,CTSZ,3.0790023e-05,IntegratedGradients
Erlotinib,0,,cnv,EEF1A2,3.0784962e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR941-3,3.363654e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR941-1,3.0605213e-05,IntegratedGradients
Erlotinib,0,,cnv,DNAJC5,2.7328007e-05,IntegratedGradients
Erlotinib,0,,cnv,SYCP2,2.8716131e-05,IntegratedGradients
Erlotinib,0,,cnv,STMN3,3.4943314e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01260,2.4756897e-05,IntegratedGradients
Erlotinib,0,,cnv,ZMYND8,3.742487e-05,IntegratedGradients
Erlotinib,0,,cnv,CSE1L,1.9791376e-05,IntegratedGradients
Erlotinib,0,,cnv,GDAP1L1,2.3981604e-05,IntegratedGradients
Erlotinib,0,,cnv,FITM2,3.0644907e-05,IntegratedGradients
Erlotinib,0,,cnv,DDX27,1.8052991e-05,IntegratedGradients
Erlotinib,0,,cnv,STAU1,2.4159055e-05,IntegratedGradients
Erlotinib,0,,cnv,SERINC3,2.759255e-05,IntegratedGradients
Erlotinib,0,,cnv,PKIG,2.235222e-05,IntegratedGradients
Erlotinib,0,,cnv,EDN3,2.772805e-05,IntegratedGradients
Erlotinib,0,,cnv,TTPAL,2.21968e-05,IntegratedGradients
Erlotinib,0,,cnv,RNF114,2.1543465e-05,IntegratedGradients
Erlotinib,0,,cnv,NUP205,3.2060547e-05,IntegratedGradients
Erlotinib,0,,cnv,SPATA2,3.0361916e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC13A4,3.4348293e-05,IntegratedGradients
Erlotinib,0,,cnv,STMP1,3.2053886e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM180A,2.8464203e-05,IntegratedGradients
Erlotinib,0,,cnv,HCK,2.5562027e-05,IntegratedGradients
Erlotinib,0,,cnv,CHRNA4,3.4142966e-05,IntegratedGradients
Erlotinib,0,,cnv,PHACTR3,2.9096629e-05,IntegratedGradients
Erlotinib,0,,cnv,ADA,2.6939044e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR3646,2.0605998e-05,IntegratedGradients
Erlotinib,0,,cnv,CCT6P1,3.2474596e-05,IntegratedGradients
Erlotinib,0,,cnv,ZFAS1,2.5479794e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNFX1,2.6494065e-05,IntegratedGradients
Erlotinib,0,,cnv,GPNMB,3.295607e-05,IntegratedGradients
Erlotinib,0,,cnv,CEBPB,2.6362406e-05,IntegratedGradients
Erlotinib,0,,cnv,SNAI1,2.5053478e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM189-UBE2V1,2.2099592e-05,IntegratedGradients
Erlotinib,0,,cnv,UBE2V1,2.4119234e-05,IntegratedGradients
Erlotinib,0,,cnv,VKORC1L1,3.038623e-05,IntegratedGradients
Erlotinib,0,,cnv,TRA2A,2.4120098e-05,IntegratedGradients
Erlotinib,0,,cnv,ZFP64,2.510122e-05,IntegratedGradients
Erlotinib,0,,cnv,R3HDML,3.0752908e-05,IntegratedGradients
Erlotinib,0,,cnv,CNOT4,3.175239e-05,IntegratedGradients
Erlotinib,0,,cnv,IGF2BP3,2.395084e-05,IntegratedGradients
Erlotinib,0,,cnv,MALSU1,2.3660783e-05,IntegratedGradients
Erlotinib,0,,cnv,SBDS,3.0880423e-05,IntegratedGradients
Erlotinib,0,,cnv,TYW1,3.3831388e-05,IntegratedGradients
Erlotinib,0,,cnv,AGBL3,3.5770154e-05,IntegratedGradients
Erlotinib,0,,cnv,CCM2L,2.6939908e-05,IntegratedGradients
Erlotinib,0,,cnv,EYA2,3.216458e-05,IntegratedGradients
Erlotinib,0,,cnv,RPS2P32,2.6629843e-05,IntegratedGradients
Erlotinib,0,,cnv,XKR7,2.6233114e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM248,3.6736335e-05,IntegratedGradients
Erlotinib,0,,cnv,HNF4A,2.6593052e-05,IntegratedGradients
Erlotinib,0,,cnv,GTF2IRD1P1,3.888316e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM189,2.1804264e-05,IntegratedGradients
Erlotinib,0,,cnv,TRERNA1,1.7601058e-05,IntegratedGradients
Erlotinib,0,,cnv,KLHL7,2.2337099e-05,IntegratedGradients
Erlotinib,0,,cnv,STK31,2.5551508e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM221A,2.4306708e-05,IntegratedGradients
Erlotinib,0,,cnv,CALD1,3.6237092e-05,IntegratedGradients
Erlotinib,0,,cnv,CLK2P1,2.523346e-05,IntegratedGradients
Erlotinib,0,,cnv,CCDC126,3.1076706e-05,IntegratedGradients
Erlotinib,0,,cnv,OR2F1,3.7362814e-05,IntegratedGradients
Erlotinib,0,,cnv,TPK1,3.2572338e-05,IntegratedGradients
Erlotinib,0,,cnv,ANKRD9,2.54016e-05,IntegratedGradients
Erlotinib,0,,cnv,SNORD93,2.2311822e-05,IntegratedGradients
Erlotinib,0,,cnv,TOMM7,2.623792e-05,IntegratedGradients
Erlotinib,0,,cnv,CRCP,3.3739478e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM126A,2.316871e-05,IntegratedGradients
Erlotinib,0,,cnv,YTHDF1,3.2393076e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR124-3,3.469752e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC9A8,2.2174363e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR3196,3.308871e-05,IntegratedGradients
Erlotinib,0,,cnv,BIRC7,3.169443e-05,IntegratedGradients
Erlotinib,0,,cnv,NKAIN4,3.4038247e-05,IntegratedGradients
Erlotinib,0,,cnv,COL20A1,3.0352869e-05,IntegratedGradients
Erlotinib,0,,cnv,LOC100506178,2.0369236e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4309,2.6849646e-05,IntegratedGradients
Erlotinib,0,,cnv,OR6B1,3.3975193e-05,IntegratedGradients
Erlotinib,0,,cnv,LOC441242,3.4960987e-05,IntegratedGradients
Erlotinib,0,,cnv,INTS4P2,3.6002846e-05,IntegratedGradients
Erlotinib,0,,cnv,IL6,1.8047038e-05,IntegratedGradients
Erlotinib,0,,cnv,TFAP2C,2.153227e-05,IntegratedGradients
Erlotinib,0,,cnv,FRMD6,3.740489e-05,IntegratedGradients
Erlotinib,0,,cnv,TOMM20L,3.6488538e-05,IntegratedGradients
Erlotinib,0,,cnv,PSMA3-AS1,2.9902158e-05,IntegratedGradients
Erlotinib,0,,cnv,PSMA3,3.5039466e-05,IntegratedGradients
Erlotinib,0,,cnv,TIMM9,3.7851227e-05,IntegratedGradients
Erlotinib,0,,cnv,ARID4A,2.8421544e-05,IntegratedGradients
Erlotinib,0,,cnv,ARFGAP1,3.0060837e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4326,3.716566e-05,IntegratedGradients
Erlotinib,0,,cnv,BGLAP,2.6067215e-05,IntegratedGradients
Erlotinib,0,,cnv,PMF1-BGLAP,2.212041e-05,IntegratedGradients
Erlotinib,0,,cnv,SMG5,2.3401706e-05,IntegratedGradients
Erlotinib,0,,cnv,PAQR6,3.1659183e-05,IntegratedGradients
Erlotinib,0,,cnv,PMF1,2.4367308e-05,IntegratedGradients
Erlotinib,0,,cnv,NTSR1,3.624751e-05,IntegratedGradients
Erlotinib,0,,cnv,SLCO4A1-AS1,3.5838904e-05,IntegratedGradients
Erlotinib,0,,cnv,SLCO4A1,3.6472193e-05,IntegratedGradients
Erlotinib,0,,cnv,NOBOX,3.724411e-05,IntegratedGradients
Erlotinib,0,,cnv,L3HYPDH,3.4700515e-05,IntegratedGradients
Erlotinib,0,,cnv,JKAMP,3.1892305e-05,IntegratedGradients
Erlotinib,0,,cnv,CCDC175,2.8592905e-05,IntegratedGradients
Erlotinib,0,,cnv,HAR1B,3.485309e-05,IntegratedGradients
Erlotinib,0,,cnv,GUSB,3.1190386e-05,IntegratedGradients
Erlotinib,0,,cnv,NPY,2.6717886e-05,IntegratedGradients
Erlotinib,0,,cnv,ASL,2.7362175e-05,IntegratedGradients
Erlotinib,0,,cnv,OR2A12,5.0226856e-05,IntegratedGradients
Erlotinib,0,,cnv,OR2A2,3.3939694e-05,IntegratedGradients
Erlotinib,0,,cnv,GPR135,3.1163203e-05,IntegratedGradients
Erlotinib,0,,cnv,UCKL1-AS1,3.126218e-05,IntegratedGradients
