feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.009396919151463153,True
AATK,,,,0.029263704596350748,False
ABCA3,,,,0.007524325034876845,True
ABCC3,,,,0.02336783320021796,True
ABCC4,,,,0.012404309997076122,True
ABI1,,,,0.02144588262700843,True
ABL1,,,,0.014955145697695533,True
ABL2,,,,0.03137619202747569,False
ACACA,,,,0.016256600503731598,True
ACACB,,,,0.011367837096217331,True
ACSL6,,,,0.040191827540294545,False
ACVR2A,,,,0.022940860043015498,True
ADAM12,,,,0.02012832512324577,True
ADAM17,,,,0.030218753778903384,False
ADAM18,,,,0.035999675945736664,False
ADAM22,,,,0.0401829465925348,False
ADAM28,,,,0.019770647350489712,True
ADAM29,,,,0.025215718620622954,True
ADAM32,,,,0.031008059177819944,False
ADAMTS18,,,,0.010043324857039642,True
ADAMTS19,,,,0.012035289854056675,True
ADAMTS2,,,,0.02108871225911039,True
ADAMTS20,,,,0.018196088401695596,True
ADAMTSL3,,,,0.009157540173350492,True
ADARB2,,,,0.05050381478838515,False
ADCK1,,,,0.03718646041895727,False
AFF1,,,,0.03671794410616498,False
AFF3,,,,0.008088309043393416,True
AFF4,,,,0.0246147848420207,True
AGAP2,,,,0.01799465159892148,True
AIFM3,,,,0.053587311644589575,False
AIM1,,,,0.03234328462562344,False
AKAP12,,,,-0.001099639268080584,True
AKAP4,,,,0.034263898241010796,False
AKAP6,,,,0.007249208090824438,True
AKAP9,,,,0.012910297672590465,True
AKT2,1.0,,False,,
ALK,0.0,0.0042312608436076305,False,0.02748927394502617,True
ALPK1,,,,0.03251676931458175,False
ALPK2,,,,0.014249285232128763,True
ALPK3,,,,0.031200119779881325,False
ALS2,,,,0.030333459871372453,False
AMHR2,,,,0.015451892401498383,True
ANAPC5,,,,0.03738713414532423,False
ANKK1,,,,0.03521520406836406,False
APAF1,,,,0.060294488460817204,False
APC,0.0,0.04584266601488154,True,0.008660071487477172,True
AR,,,,0.027078037445400174,True
ARAF,,,,0.03687230482447089,False
ARFGEF1,,,,0.012486617220403002,True
ARHGAP29,,,,0.04105819190180168,False
ARHGEF10,,,,0.022821064275620535,True
ARHGEF12,,,,0.02650190296815417,True
ARHGEF7,,,,0.043223869089546924,False
ARID1A,,,,0.014229522567609629,True
ARNT,,,,0.029144407713243933,False
ASPH,,,,0.024283342174774437,True
ASTN1,,,,0.025204105772662015,True
ATM,,,,0.007315448752961063,True
ATP10A,,,,0.020335811141581808,True
ATP11A,,,,0.022583179491803426,True
ATP13A5,,,,0.020941136440462103,True
ATP8B1,,,,0.02726438214059588,True
ATR,,,,0.012223605043726854,True
ATRX,,,,0.013417274504618203,True
AXIN1,,,,0.0562590328272624,False
AXIN2,,,,0.02193203654015378,True
AXL,,,,0.03512655576565904,False
