method,var,variable_type,metric,value
DirectPred,Erlotinib,numerical,mse,0.004678720608353615
DirectPred,Erlotinib,numerical,r2,0.0029901523610065804
DirectPred,Erlotinib,numerical,pearson_corr,0.05468228562346841
