method,var,variable_type,metric,value
DirectPred,Erlotinib,numerical,mse,0.004998871590942144
DirectPred,Erlotinib,numerical,r2,0.011842905278324952
DirectPred,Erlotinib,numerical,pearson_corr,0.10882511327044393
