target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.0006593104,IntegratedGradients
Erlotinib,0,,mutation,APC,0.0006177569,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.0006395738,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.00084848213,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.00144386,IntegratedGradients
Erlotinib,0,,mutation,NF2,0.00014746649,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.0017415571,IntegratedGradients
Erlotinib,0,,mutation,CDKN2A,0.00036298588,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0006742845,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.00033070432,IntegratedGradients
Erlotinib,0,,mutation,PIK3CA,0.0016559089,IntegratedGradients
Erlotinib,0,,mutation,STK11,0.0001152348,IntegratedGradients
Erlotinib,0,,mutation,CDH1,0.0011073588,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.00017276005,IntegratedGradients
Erlotinib,0,,mutation,NOTCH1,0.0005534144,IntegratedGradients
Erlotinib,0,,mutation,EGFR,0.0034766707,IntegratedGradients
Erlotinib,0,,mutation,MAP2K4,0.00013790322,IntegratedGradients
Erlotinib,0,,mutation,NRAS,0.0009131999,IntegratedGradients
Erlotinib,0,,mutation,MLH1,0.0009567726,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.00039957277,IntegratedGradients
Erlotinib,0,,rna,CD53,0.00019790466,IntegratedGradients
Erlotinib,0,,rna,MLANA,4.6030487e-05,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.00013206672,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.00037478525,IntegratedGradients
Erlotinib,0,,rna,MZB1,6.45835e-05,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.00047693987,IntegratedGradients
Erlotinib,0,,rna,ESRP1,9.075811e-05,IntegratedGradients
Erlotinib,0,,rna,MYB,0.0005912245,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.00019785826,IntegratedGradients
Erlotinib,0,,rna,SPI1,0.00021617406,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.00015288188,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.00019385382,IntegratedGradients
Erlotinib,0,,rna,CD52,0.00023579005,IntegratedGradients
Erlotinib,0,,rna,SPIB,5.3036187e-05,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.00047952574,IntegratedGradients
Erlotinib,0,,rna,IRF6,0.00052705914,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0002020125,IntegratedGradients
Erlotinib,0,,rna,S100A14,0.00024188311,IntegratedGradients
Erlotinib,0,,rna,CHGA,6.474297e-05,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00024168116,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.0001638264,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.000115116316,IntegratedGradients
Erlotinib,0,,rna,EPN3,0.00036676798,IntegratedGradients
Erlotinib,0,,rna,AXL,0.00063518947,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.00015322618,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.00041074376,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.0006386354,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.00049382146,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.00017742967,IntegratedGradients
