,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28
COR-L23,0.08707678,-0.07737967,-0.48208165,-0.12996852,-0.48951122,-0.11826739,0.20090133,-0.5277598,0.26585078,0.6227555,0.32583004,0.2887267,0.40601498,-0.21512641,-0.45507044,0.42704365,-0.38402,-0.5720998,-0.06637752,-0.4813622,0.41947937,0.073452756,0.575863,-0.19428658,-0.4520093,-0.26822314,-0.045313016,0.44567856,0.62285703
FTC-238,0.07847154,-0.09149884,-0.7211602,-0.014746308,-0.44584,-0.057652652,0.29370993,-0.3867332,0.24229486,0.5524252,0.20119128,0.2770633,0.41088086,-0.19229533,-0.4013022,0.4941825,-0.3751447,-0.63583535,0.0046331733,-0.52637494,0.21266848,0.06902872,0.46064597,-0.46494704,-0.41817245,-0.32992163,0.04663805,0.38335225,0.48826557
NCI-H460,-0.3827133,-0.35653993,-1.1465786,0.59496975,-0.64049566,0.091937706,0.5777131,-0.8770991,-0.4706959,0.9194721,0.65627575,0.4508837,-0.5798942,0.12463838,-0.97284186,-0.061754048,-0.5484442,-0.72034854,0.61523235,0.2993889,0.98976207,0.44584525,0.65734684,-0.4447717,-0.50378066,0.004106015,-0.20485322,0.7997017,0.98732066
SK-MEL-5,0.0911715,-0.07243326,-0.47763997,-0.13645671,-0.48902228,-0.11934322,0.19823638,-0.52319497,0.27280408,0.61611426,0.3181148,0.2836649,0.4148341,-0.2164166,-0.45069277,0.43716028,-0.38405955,-0.57014346,-0.07496897,-0.4896267,0.41043773,0.069696285,0.5755154,-0.19576553,-0.4536432,-0.2695275,-0.043227214,0.44119644,0.613575
SUIT-2,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
TC-32,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HT-29,0.043841496,-0.1296078,-0.5289804,-0.061461084,-0.49467373,-0.10690792,0.22904007,-0.5759588,0.1924326,0.6928791,0.40729344,0.3421726,0.3128958,-0.20150368,-0.5012931,0.32022434,-0.3836025,-0.59275585,0.024337664,-0.39409894,0.5149481,0.11311649,0.57953376,-0.17867073,-0.43475723,-0.25445065,-0.06733654,0.49300417,0.7208643
NCI-H1573,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
SNU-899,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
A-253,-0.2389524,-0.28026235,-0.87605363,0.34652033,-0.6029629,0.008879423,0.4364717,-0.8168051,-0.24505603,0.8676959,0.6125263,0.42198694,-0.28539458,0.008511841,-0.8307706,0.0404225,-0.4945439,-0.66164446,0.40312716,0.083125174,0.89236224,0.3372611,0.66210145,-0.27977338,-0.4876866,-0.06623356,-0.18472363,0.716283,0.94185024
