target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,9.562846e-05,IntegratedGradients
Erlotinib,0,,all,APC,4.3515265e-05,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.00011105323,IntegratedGradients
Erlotinib,0,,all,KRAS,0.00012919275,IntegratedGradients
Erlotinib,0,,all,NF1,0.0001164089,IntegratedGradients
Erlotinib,0,,all,NF2,0.0001736693,IntegratedGradients
Erlotinib,0,,all,TP53,0.00013191163,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.00013200151,IntegratedGradients
Erlotinib,0,,all,PTEN,8.1668455e-05,IntegratedGradients
Erlotinib,0,,all,BRAF,0.00017994414,IntegratedGradients
Erlotinib,0,,all,CDH1,3.7825175e-05,IntegratedGradients
Erlotinib,0,,all,PIK3R1,8.9674504e-05,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.00014569286,IntegratedGradients
Erlotinib,0,,all,MAP2K4,8.533559e-05,IntegratedGradients
Erlotinib,0,,all,CTNNB1,9.348202e-05,IntegratedGradients
Erlotinib,0,,all,STK11,4.024631e-05,IntegratedGradients
Erlotinib,0,,all,NRAS,2.5053945e-05,IntegratedGradients
Erlotinib,0,,all,FBXW7,5.076636e-05,IntegratedGradients
Erlotinib,0,,all,NOTCH1,0.00016952532,IntegratedGradients
Erlotinib,0,,all,MIR296,8.1307306e-05,IntegratedGradients
Erlotinib,0,,all,LUZP6,6.479123e-05,IntegratedGradients
Erlotinib,0,,all,SNORA22,0.000121056735,IntegratedGradients
Erlotinib,0,,all,NUPL2,7.842365e-05,IntegratedGradients
Erlotinib,0,,all,KIAA0586,5.6937464e-05,IntegratedGradients
Erlotinib,0,,all,RNASEH2C,6.678895e-05,IntegratedGradients
Erlotinib,0,,all,SLC24A4,0.00011319948,IntegratedGradients
Erlotinib,0,,all,SNF8,9.8169614e-05,IntegratedGradients
Erlotinib,0,,all,RGN,6.84745e-05,IntegratedGradients
Erlotinib,0,,all,DEFB116,5.748721e-05,IntegratedGradients
Erlotinib,0,,all,HKR1,0.00014758468,IntegratedGradients
Erlotinib,0,,all,RNF19A,8.760578e-05,IntegratedGradients
Erlotinib,0,,all,RBMY1A3P,7.225947e-05,IntegratedGradients
Erlotinib,0,,all,MIR298,7.511996e-05,IntegratedGradients
Erlotinib,0,,all,GNAS-AS1,0.00014255315,IntegratedGradients
Erlotinib,0,,all,NPEPL1,6.4075895e-05,IntegratedGradients
Erlotinib,0,,all,STX16,0.00011621762,IntegratedGradients
Erlotinib,0,,all,LOC100506384,7.939515e-05,IntegratedGradients
Erlotinib,0,,all,APCDD1L-DT,9.162408e-05,IntegratedGradients
Erlotinib,0,,all,RAB22A,6.2479376e-05,IntegratedGradients
Erlotinib,0,,all,APCDD1L,9.035946e-05,IntegratedGradients
Erlotinib,0,,all,VAPB,7.361597e-05,IntegratedGradients
Erlotinib,0,,all,BCAS4,0.00010423106,IntegratedGradients
Erlotinib,0,,all,PARD6B,7.5013406e-05,IntegratedGradients
Erlotinib,0,,all,LINC00494,3.0801908e-05,IntegratedGradients
Erlotinib,0,,all,ZNF217,5.9248352e-05,IntegratedGradients
Erlotinib,0,,all,SUMO1P1,4.664304e-05,IntegratedGradients
Erlotinib,0,,all,DOK5,5.515812e-05,IntegratedGradients
Erlotinib,0,,all,GNAS,0.00011275297,IntegratedGradients
Erlotinib,0,,all,SULF2,5.3774533e-05,IntegratedGradients
Erlotinib,0,,all,BCAS1,4.6013258e-05,IntegratedGradients
Erlotinib,0,,all,PPP4R1L,3.2734304e-05,IntegratedGradients
Erlotinib,0,,all,BMP7,0.00010781204,IntegratedGradients
Erlotinib,0,,all,MIR4756,6.886617e-05,IntegratedGradients
Erlotinib,0,,all,FAM209B,7.601105e-05,IntegratedGradients
Erlotinib,0,,all,FAM209A,0.00012319714,IntegratedGradients
Erlotinib,0,,all,CSTF1,8.3027226e-05,IntegratedGradients
Erlotinib,0,,all,CASS4,6.3861306e-05,IntegratedGradients
Erlotinib,0,,all,AURKA,0.00013654321,IntegratedGradients
Erlotinib,0,,all,FAM210B,4.1007585e-05,IntegratedGradients
Erlotinib,0,,all,ADNP,4.9077e-05,IntegratedGradients
Erlotinib,0,,all,GCNT7,0.0001007993,IntegratedGradients
Erlotinib,0,,all,RIPOR3,8.9625355e-05,IntegratedGradients
Erlotinib,0,,all,MIR645,5.7034988e-05,IntegratedGradients
Erlotinib,0,,all,RTF2,7.250044e-05,IntegratedGradients
Erlotinib,0,,all,PREX1,3.8851013e-05,IntegratedGradients
Erlotinib,0,,all,NCOA3,4.7301997e-05,IntegratedGradients
Erlotinib,0,,all,LOC100131496,6.863849e-05,IntegratedGradients
Erlotinib,0,,all,DPM1,9.5361116e-05,IntegratedGradients
Erlotinib,0,,all,CYP24A1,8.962566e-05,IntegratedGradients
Erlotinib,0,,all,ATP9A,6.805472e-05,IntegratedGradients
Erlotinib,0,,all,MOCS3,8.534424e-05,IntegratedGradients
Erlotinib,0,,all,PFDN4,9.787299e-05,IntegratedGradients
Erlotinib,0,,all,PMEPA1,7.659296e-05,IntegratedGradients
Erlotinib,0,,all,KCNG1,9.7774224e-05,IntegratedGradients
Erlotinib,0,,all,ZBP1,9.125858e-05,IntegratedGradients
