,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
UM-RC-2,-0.3061715,-0.11610168,-0.8948403,-0.08950874,-0.12639982,0.4858505,0.9446346,-0.37677345,0.2657081,0.6285367,-0.27205256,-0.04675462,-0.027598202,0.040623408,-0.21403942,-0.34140953,-0.33047643,-0.7301813,0.23460689,0.27454638,1.3124425,0.42769635,0.494122,0.2174431,-0.7689226,1.2540947,0.8064359,0.10975912,-0.11308107,-0.66200554,-0.08457825,0.6415092,-0.08863019,0.1719448,0.3654649,-1.7647575,0.7248848,-0.039480787,-0.8190725,0.7837494,1.031102,0.38072503,-1.1181743,0.9421617,-1.1158526,-0.7850886,0.5297615,-0.15439771,-0.88160205,-0.638839,0.15240271,0.8801125,0.18690902,0.90367895,-0.7591752,-0.54153985,-0.061518565,0.68610317,-0.68269277,-0.5248362,-0.020310104,-0.3506978,0.9770359,0.26885316,0.32422003,-0.7298045,-0.11231071,-1.0570991,0.33574858,-0.9621995,0.66605556,-1.1356205,-1.4966223,-0.31423548,-0.77119225,1.4958822,-0.66096085,0.7190402,-0.8850941,0.9524839
SK-MEL-5,0.58279186,0.29608876,-0.9897875,0.559057,1.2930645,1.1704817,-0.40749502,0.13399652,-0.034052312,1.1289456,0.5169557,0.8641119,-0.54638296,0.9143573,0.017991377,-0.33595115,1.2573667,-0.47559297,1.0855464,-1.1839721,-1.612267,-0.76953495,-0.037443697,-0.47005427,0.4644884,-1.2876451,0.36651778,0.5729707,0.9215958,-0.5571483,0.5148653,-0.5646291,0.033287376,1.1439474,0.3566702,0.835126,-0.85254025,-0.70345616,1.2360638,-1.1955416,0.4990335,-0.47127715,0.8954617,-1.0350113,1.0205467,0.12124923,0.104992114,-0.90048957,0.61062235,1.1874018,0.029396027,-2.1168485,-0.29202747,-0.9167638,-0.54066217,0.2615803,-0.41347417,0.16462043,1.459231,-1.0528446,0.6417193,-1.2085116,-2.043957,-0.4385523,0.54777515,1.2289249,-0.10260473,0.5086862,-1.1042901,-0.21044254,0.52620804,0.42270517,1.5514357,-0.40832323,0.8358805,-2.2614946,1.3566984,-0.973932,-1.3541698,-2.5265524
COR-L95,0.55305916,-0.9504558,0.5772462,0.05859422,0.09143387,-0.58335656,0.5183474,0.4742131,-0.33782735,0.1596514,-0.15969634,0.6524107,-0.5982177,-0.41111964,0.17635536,-0.6464196,0.5602151,-0.14148529,-0.3725791,-0.14917493,0.6921261,0.090966836,0.50291574,-0.8291775,-0.4678165,0.046911642,-0.657772,0.30404007,-0.38799933,0.6661323,0.014062248,1.1216078,0.38011822,-0.5764911,0.08785928,-0.90651757,0.815702,0.07212878,-0.16387534,0.9149724,-0.7860974,0.53316295,0.447197,0.89680016,-0.70029545,-0.8522453,0.544731,0.10033306,-0.89214045,-0.2869501,0.26287475,0.096493945,-0.20598817,0.2731459,0.33113366,0.059152,0.0076364577,-0.031959772,-0.9922721,0.017873883,-0.668171,1.2038423,1.4694626,0.14943022,-0.3308915,-0.22740942,0.39923632,-0.4210368,-0.75771827,-0.3065128,1.5191476,0.11190779,-0.5865539,1.0406535,0.023406535,1.9211941,-0.4843156,0.1238883,0.17494562,0.9997745
Hs 939.T,-0.025585232,-0.39105442,-0.78624177,-0.20246422,0.4427248,1.2508914,-0.025148228,-0.2392802,0.67831886,1.0891272,1.2249111,0.3003052,-0.028165963,0.14746405,0.18498537,-0.46387658,1.0168114,-0.9946755,0.5564942,-0.06740677,0.12017938,0.33507892,0.5208483,0.68221545,0.17002821,0.13736129,2.0463908,0.8965042,0.48759297,-0.09279878,-0.30337393,0.3982625,-0.4066713,0.9749256,0.83062226,-1.2036685,0.82490474,-0.3017481,-0.043139715,1.1925484,1.1496148,0.90975136,-0.96283877,0.6447063,-0.04149854,-0.3816305,0.78054917,-1.3649976,-0.11266869,-0.38760793,-0.08246266,0.6396037,0.77615255,0.43096796,-0.8781091,0.26028517,0.24048975,1.7613887,0.6280729,-0.90926033,0.7859544,-0.6940463,-0.5566302,-0.60891855,1.3494084,0.15852839,0.41862106,-0.38062605,-1.1261381,-1.7185549,0.55549693,-1.093151,-0.051950693,0.0554196,-0.19192442,0.99401176,0.4274106,0.23842998,-1.726291,-0.5571986
RPMI-7951,0.10963439,0.05421342,-1.7452402,-0.76088554,0.03938926,0.5270945,1.0113229,1.0250334,0.5514761,-0.14414862,-2.8939972,0.52168554,2.2829,-0.6354638,0.46405306,1.285184,0.5713386,-0.3143196,-1.2460907,1.2801309,-0.7370505,-0.16891089,-0.58845073,0.7051472,1.0031252,0.08995888,1.4538903,-0.17108054,2.0359495,0.83114713,-0.038819164,-1.1395947,1.9377378,-1.1925011,0.42453334,0.68924737,-1.1089792,0.42302227,-1.2515335,-0.9894818,-1.5583037,0.79529727,-0.97449213,-1.2934192,2.6768985,0.23497099,0.47395965,0.8669107,-0.75969654,0.3154155,-0.28605345,-0.1639846,-0.63376194,-0.08972475,0.15339829,-0.87428904,-0.0758705,2.0301058,0.15958434,-1.3060521,-0.72020537,-1.4842873,-0.98887825,1.6561211,1.1611784,-0.52758396,-0.2789322,1.4139265,0.51496774,0.24763522,-1.0031072,0.032661706,0.28284496,0.484778,1.429431,0.24164826,-0.6255641,1.0767353,0.16039598,-1.7712986
HGC-27,0.7277562,0.29241365,2.5752401,1.6809263,0.80868363,-1.3437985,-1.465537,-0.0995903,-0.54630774,1.2368698,0.78612185,-3.1040287,-2.381087,1.187684,0.7304489,-0.6287636,1.6169515,0.19560446,2.6402793,-0.2120536,-2.0728643,1.7888154,2.1408505,-0.30730987,0.8188784,1.0333766,-1.3612403,-1.3711042,-1.4603157,-1.7764438,1.4265623,-0.038286284,-1.4976974,1.3096209,-0.4316821,-0.41695076,2.3434691,-0.59418666,-1.2918136,-1.6187751,0.6289048,0.37833202,-0.79986745,-0.45903954,-1.1522857,0.12229058,-2.477923,-2.99907,1.6563382,-0.3601621,2.0333598,-2.4802928,1.2237453,-0.19773878,1.0440562,2.5603454,-1.3212366,-1.8863785,-0.39977005,2.950982,1.3566138,2.2863038,-1.0051361,-2.2547474,-1.5887898,0.8625614,0.45708516,1.9718317,-2.0048802,1.079747,-0.7678886,0.78302246,2.667763,-0.73009574,1.7684033,-0.893189,2.5909111,-1.5705322,-0.063384324,-1.3623323
KO52,-0.68498224,-0.72433156,2.2520823,0.42628318,-1.2128997,-1.1707486,0.08338689,-0.28579235,-0.8510495,-0.33428413,0.026468068,0.9994331,0.49071583,-0.2229923,-0.08989763,-0.9887556,-0.8225724,1.0749798,0.40863708,1.0902834,1.9721032,1.0255681,0.45506507,-1.1104531,-1.0456935,1.0026579,-0.7007523,-0.337363,-0.40433335,-1.280069,-0.34904867,2.0521483,1.3054318,-1.0585257,-1.4739358,-2.2239664,1.195697,-0.07588699,-0.49662283,0.72420853,-1.3834736,0.6784295,0.75428087,2.2294571,-2.667152,-0.85170007,0.10638052,1.0068225,-0.44020763,0.55912143,-0.78828704,1.2306836,-1.4424309,2.268263,2.2153988,0.8038463,-0.5425705,0.1255236,-2.217233,0.44887733,-0.45832747,2.4571693,1.3034428,0.8919045,-1.2821639,-2.0992656,0.80778056,0.41149336,1.4721347,0.44865906,1.2893202,0.5061264,-0.82936406,2.8614273,-0.8298436,2.6589446,-2.0624049,0.623198,1.9598253,1.7154871
TT,0.16637124,-0.64810777,0.88292855,-0.8658923,-0.28429893,-0.7218757,0.5310104,0.7802533,-0.22917199,0.4272935,-1.2522539,-0.09693259,0.052215375,-0.65768206,0.4585081,-0.52029586,0.6744516,-0.24113952,-1.1727735,0.6992497,-0.5820224,0.59723365,0.8007728,0.88843393,-0.647125,1.2989044,0.3644992,0.069090724,0.76649976,0.4200668,-0.84249175,0.5507488,0.6501528,-1.1475557,-0.21483058,-0.6540607,0.88523835,-0.07379511,-1.2519231,0.74063534,-0.9465975,1.4252952,-0.9816172,0.53432506,-0.19625008,-1.1503974,-0.034835964,-0.08565163,-1.2774588,-0.93790877,1.3410547,-0.32680205,0.67469907,0.51276916,0.6210966,-0.18803436,-0.8674157,0.7283565,-1.5610741,0.4446056,-1.196127,0.46425244,1.616919,1.1551349,-0.2904501,-0.7047758,-0.24337418,0.057858884,0.69481957,0.03482612,0.9319151,0.2789787,0.12835786,1.1725147,0.7782172,2.7765174,-0.2445093,0.93241835,-0.37183362,0.9754511
EFM-19,-1.1539966,1.2820809,-0.699992,0.39168978,-0.08700417,-2.2307112,0.029946104,-0.8630689,0.7922808,-1.5997559,-2.581199,-3.675078,1.8334404,-0.46667936,1.8458842,1.5236031,-2.9888294,1.1297827,-1.9248483,2.5233166,-0.034566507,0.9632267,-0.78986377,-0.85672,0.16902295,0.84345406,-0.19397616,-2.6429567,-0.33624727,0.5250299,-0.67599505,-1.5476727,-0.18427578,-0.58954376,0.073800236,-0.32632637,-0.33129734,0.5115932,-1.7087964,-1.8222886,-1.1118748,1.1666335,-0.59821534,-2.8812213,1.572947,0.603226,-1.2172284,1.2923367,0.77825004,0.9004219,0.7285706,1.3774068,1.0010986,-0.5995898,-0.18056566,1.0320541,1.3971502,-2.1994178,0.84816027,-1.4261279,0.73173696,-0.91380477,0.26145205,0.68317544,0.7149284,-1.3401874,-0.90170133,-0.094367206,1.8601797,2.2212603,-2.9489484,0.103349656,0.3485451,-1.3165327,-1.6153508,0.6358407,-0.33095783,0.52819926,2.3969996,0.35315394
C2BBe1,-0.252308,1.3625516,-4.227435,-0.5728941,1.6481526,-1.0425018,-0.8797557,1.2880316,-0.5816163,-1.2760235,-3.1840293,3.582477,0.6339842,1.3086525,0.6515009,2.6796834,-2.484777,0.6512609,-2.5235722,-0.49817228,1.9599093,-4.3190966,-5.6636996,-1.2691848,0.032868072,-3.3052816,-3.0856652,-2.4953256,0.80142444,3.8778353,0.86842954,-4.251116,0.73154926,-1.5590826,0.07725519,5.7335057,-5.263521,1.1070322,2.0001533,-4.457304,-4.3237925,-4.900748,1.0030961,-3.2645125,4.666816,2.7947702,-0.9950096,5.88089,-0.52568895,4.649599,-3.0581093,-1.4098749,0.7112552,-1.9304941,1.8926533,-2.4717376,0.40285617,-1.6744102,3.864762,-3.1357694,-0.46322632,-3.727677,-3.840041,4.1467323,1.3200469,0.80455714,0.45503303,1.963725,2.653412,1.6605006,-2.3760254,4.3117414,1.1463828,-1.6500326,-1.1759119,-6.2530212,0.33225477,-2.2144833,2.987176,-5.307015
PSN1,-0.4233966,0.39051226,-0.73712605,0.17958978,-0.3870628,0.9255111,0.47571212,-0.3948443,-0.050503224,0.7454312,-0.07809826,0.33437276,-0.18322183,-0.24655199,-0.09838644,-0.433622,-0.099812225,-0.19850571,0.21123211,-0.110340655,1.2361113,0.8752007,0.6384791,-0.03753674,-1.0800582,1.3442432,0.99713916,0.14638808,0.010572475,-0.6226546,-0.1353471,0.42404416,-0.31104133,0.3936578,0.5091352,-2.0744123,0.5908443,0.13053764,-1.7351222,0.9837784,1.2353535,0.24221268,-1.1636955,1.1536901,-0.9623785,-0.68882585,0.34469318,-0.13402309,-1.068832,-0.9860899,0.19291247,0.9509371,0.03923309,1.1587884,-0.39077538,-0.46160746,0.36998332,1.0563421,-0.39944798,-0.65045995,0.29843313,-0.7512653,1.0134141,-0.116012745,-0.05931478,-0.89807224,-0.43673173,-1.7493203,0.33237645,-0.51804304,0.43847197,-1.2217748,-1.753103,0.05204127,-0.61130637,1.5315297,-0.6088356,0.7634221,-0.49674383,1.0548362
TE-8,-0.24124552,-0.27814505,-0.91073024,0.020778812,-0.22056903,0.5130304,0.65389764,-0.4826593,0.38803917,0.91608036,-0.2914661,0.10051225,-0.09657847,0.13789049,-0.24902654,-0.5278416,-0.3519257,-0.78194064,0.33994925,0.25627407,1.3810307,0.21006036,0.40241277,0.47972718,-0.6184273,1.0860801,0.8691232,0.1691557,-0.1458608,-0.10710403,-0.120784245,0.81499755,-0.13822702,0.415963,-0.0060188845,-1.8604342,0.7407542,-0.058506787,-1.0161049,0.88049924,1.1071593,0.8841653,-0.6126791,0.7718004,-1.0911651,-0.7704013,0.57551634,-0.152387,-0.8942015,-0.5316775,-0.073213406,1.0992485,0.54229695,0.7773288,-0.6881946,-0.72694266,-0.21825495,0.64158845,-0.025530875,-0.26427752,0.18195534,-0.052782316,1.2265335,0.11383931,0.38609335,-0.9189079,-0.020236187,-1.1252342,0.38206944,-0.84431297,0.68996227,-1.0218859,-1.662272,-0.41959935,-0.54740906,1.215101,-0.86768097,0.9322173,-0.56651783,0.88692826
RS4;11,0.10809794,-1.1948104,-1.7174301,-1.1080608,0.5148465,0.98132056,0.1619215,0.01258637,0.3834134,-0.65139395,-0.96413934,0.6081404,0.44433883,-0.683373,0.12316914,0.48286748,-0.41942468,-0.5035965,0.02475363,0.10592592,1.2367305,-0.85761297,-0.17338811,-0.62893283,-1.5640049,0.9090941,0.34432,0.2974693,-0.15596394,0.5301634,0.1827415,1.3071679,0.23620436,1.1514133,-0.6469324,-1.550714,-0.5466098,-0.5771631,-1.5372803,-0.09572793,0.72933483,1.1841066,-0.113881424,-0.24520119,-0.5131075,-0.5826576,1.0462266,0.9352384,-1.0180227,-0.55679196,1.3537158,1.5016605,0.44197237,0.021120183,-0.97380894,-0.11093351,-0.29613218,0.7389709,-0.9661889,1.9683553,0.20487222,-0.27497816,0.17236671,-0.04287213,0.30916697,-0.035546944,-1.6886418,0.570539,-0.40168318,-1.4692236,1.9928633,-1.5739366,-2.4139361,-0.44808626,-1.7955909,1.1841166,-1.3797487,0.6691068,-1.1965252,1.8816154
A-704,-0.25729617,-0.33574566,-0.70429087,-0.06763641,-0.26160905,0.56755686,0.3374682,-0.4306385,0.36990482,0.7020886,-0.3171968,-0.12844163,-0.026914619,0.1032458,-0.19105193,-0.62098503,-0.4756852,-0.569699,0.36392003,0.27386716,1.3795848,0.09493648,0.38584507,-0.056927294,-0.7906209,1.113766,0.83263516,0.08336677,-0.38203257,-0.25788814,-0.4031108,0.8742106,-0.043353494,0.24749404,-0.07341667,-1.7973261,0.68235284,0.021005802,-0.7741238,0.7908749,1.0289965,0.31706333,-0.79432184,0.94164544,-1.2060748,-0.8377765,0.69851446,-0.12766078,-0.74686706,-0.42712373,-0.1598442,1.0720204,0.24885072,0.77622694,-0.8047928,-0.7138281,0.24246968,0.47589448,-0.5849576,-0.5343129,-0.05948837,0.02209606,0.6003757,0.032347232,0.40829718,-0.7290005,0.03243398,-0.9026451,0.40113616,-0.88899183,0.48952597,-1.0747514,-1.5290506,-0.36183938,-0.7196478,1.5386951,-0.87551594,0.43480694,-0.59806454,0.9048429
OVISE,-0.93506145,0.41004497,-0.11582172,0.651475,-0.69825953,-0.54735845,0.07469229,-1.4085716,-0.06607343,0.73833746,0.3425642,-1.9706714,0.44286308,0.43551615,-0.73400265,-0.6262888,0.13558841,-0.17118776,0.17273182,-0.18174325,0.0020933598,-0.07211927,0.3664803,1.3794734,0.97873,0.0317039,1.1281464,-0.39448014,0.052105624,-0.75172585,0.046283342,0.32500765,0.19740893,0.10987875,1.3934096,-0.34280917,1.003712,-0.60628045,-0.2289896,0.055790927,1.0858767,1.40264,-0.24348813,-1.0970274,-0.9303535,-0.02453556,-0.31669974,-1.2106009,0.8000958,-1.0264419,-0.632975,0.6180563,0.36932233,-0.16448294,-0.68797696,-0.28156233,0.5386963,0.050674647,0.9091881,-0.52222896,0.35797027,-1.1528774,0.8103816,-0.9707949,1.151212,0.04371807,0.91711974,-0.908768,1.5856531,0.8171878,-2.2249918,-0.6923861,0.050436854,-0.6902071,-1.4812351,0.3679163,-0.008358374,0.3533797,-1.3090364,-1.1264223
PE/CA-PJ34 (clone C12),0.27809155,-0.6545393,0.02642304,0.21580796,0.11644545,0.1480436,0.6867186,-0.08752391,0.101062715,0.04562939,-0.27778128,0.26348558,-0.3750705,-0.035111703,0.038600177,-0.35976887,-0.16321199,-0.9244518,0.15779941,0.05418164,1.1147699,-0.14103767,0.3336913,-0.9792681,-0.5608772,0.32358316,0.15225175,0.33977023,-0.2867738,0.096297696,-0.070058025,1.1147053,0.10404904,0.08904603,-0.11427188,-1.6013739,0.77923334,-0.034294557,-0.1533844,0.96574557,0.04673791,0.01583752,-0.10673544,0.8100622,-0.79625857,-0.83583844,1.0391344,0.014821472,-0.77201587,-0.25891164,0.25121295,0.650772,0.13403514,0.7263216,-0.21731369,-0.34894028,0.06352314,0.2946834,-0.8124093,-0.4634608,-0.073698014,0.9340506,1.4508203,0.3050297,-0.022592671,-0.46388134,0.24517153,-1.2576557,-0.1486634,-0.5215917,1.1824536,-0.40855315,-1.1476245,0.22973958,-0.17765781,1.5270952,-0.8328792,0.19897047,-0.29642493,0.9287213
HDLM-2,-0.21504769,-0.34386763,-0.6077181,0.008810775,-0.2954074,0.4969662,0.5404327,-0.46281698,0.39189398,0.64515793,-0.38537344,0.09881379,0.0251161,0.17768681,-0.30484962,-0.48738998,-0.40456674,-0.63853127,0.34238338,0.20300534,1.3984972,0.19743723,0.6620433,0.22617018,-0.17702338,1.1643958,0.9606592,0.2615174,-0.2173488,-0.05650714,0.079824716,0.87800413,-0.08829097,0.32807326,0.18212469,-1.8589163,0.5968163,-0.14832339,-0.7998785,0.8446092,1.0615118,0.59176695,-0.6840064,1.0609168,-1.2855991,-0.74783087,0.9573668,-0.2650266,-0.9237596,-0.4739841,-0.11766263,1.2925783,0.16640949,0.8867223,-0.7817737,-0.6980026,0.10947792,0.66678196,-0.26458222,-0.15728515,0.16525388,0.022184553,0.9517361,0.197023,0.6249793,-0.6992884,0.04271511,-1.1813424,0.42801303,-0.88662004,0.4126038,-0.98125887,-1.3301649,-0.456259,-0.5774516,1.4228412,-0.7973275,0.50761086,-1.2402723,0.84940284
CAL-148,-0.106849626,-1.4181138,-0.79293454,0.21622483,0.23168439,-1.6404933,0.052083477,0.18932182,0.6763449,-1.7516474,0.6627402,2.3785217,0.22641568,-1.6326214,-1.0564716,0.2993273,-1.1648283,2.872875,-1.5124552,-0.45137247,0.09140322,-0.8161565,-3.1000583,-2.6208081,-0.16113344,-1.6769584,-0.44302487,1.6861331,-0.30679342,2.385881,0.5985504,-0.029380232,1.4903502,-0.27073914,0.800387,2.4307103,-3.523257,-0.3352378,3.6600149,-0.98853093,-1.6169602,0.26524076,2.582713,-0.69937456,1.2601699,1.4700464,-0.045733325,1.2487562,0.4748319,1.1681348,-1.6854393,1.9343481,-2.363599,-1.2744749,0.8724906,1.373908,0.7785165,-1.3038671,1.2225764,-0.5036091,-0.42795596,0.59482116,-1.2188073,-0.6422862,1.6598,0.23394419,0.8409214,0.25788394,0.4002805,-1.1940839,-0.25180888,0.4931352,0.3156548,0.18111944,-1.302336,-1.2876679,-0.8161454,-0.7418227,0.7667012,-0.7944682
DMS 53,-0.1066882,-0.74234414,-1.433223,0.23113927,-0.67673564,-0.4915476,0.90881056,-0.4436481,1.0987954,1.6952258,0.3330486,0.15354717,-0.34712708,-0.14299826,-0.8746854,-0.5685319,0.9172113,0.7228019,-0.31531495,-1.038941,-1.530018,-1.3900166,-0.14741091,0.3717572,1.2574418,-0.018208668,1.5870507,1.6153879,0.7643623,0.6368753,-0.7827685,0.20726478,0.29399654,-0.018861406,0.5093422,1.1486113,-0.7070039,-0.7000615,1.0336379,-0.70380276,1.6388122,0.7486595,0.21703583,-0.61463624,1.1544443,-0.33648583,0.578039,-1.9705887,-0.92834955,0.044807754,-0.947018,0.6676628,-0.65902007,-1.0364876,-1.5668586,0.027891576,0.441328,1.2205688,1.1257554,-0.33303577,-0.27922747,-0.7289708,-1.1512742,0.15526994,1.5969571,-0.20989646,0.236211,-0.41464815,-0.62739974,-0.64317197,0.26620528,-0.33555746,0.331715,-0.86135215,-0.29367742,-0.8590489,0.4618889,0.74219155,-2.1079648,-0.656616
HCC2279,-0.17871016,-0.28422573,-0.68347627,0.10340078,-0.29001558,0.46358275,0.653475,-0.57206935,0.42050853,0.6897607,-0.37976724,-0.34561706,-0.014035279,0.009481111,-0.20737422,-0.98557246,-0.31374016,-0.5324974,0.3260082,-0.08028269,1.4241439,0.0058727413,0.65891415,0.8351825,-0.33649656,1.116169,0.942225,0.079319514,-0.3079104,0.10179284,-0.505881,0.9251616,-0.03975454,0.22351149,0.14926238,-1.8553063,0.6705077,0.024786688,-0.68386,0.81823957,1.1655327,0.83839107,-0.22063643,1.0591953,-1.2673476,-0.7647416,0.53558636,-0.29465735,-0.9286605,-0.4840166,0.07008706,1.0591347,0.29127824,0.84071136,-0.79631954,-0.614811,0.16385871,0.5182588,-0.29180533,-0.10682194,0.34369722,0.12948175,1.0938761,-0.10313921,0.34446934,-0.83929235,0.10180704,-1.1805595,0.49691465,-0.76016617,0.5594298,-0.96497226,-1.4694034,-0.45665243,-0.53358984,1.4971274,-0.74699265,0.78054863,-0.95610124,0.8959351
Hep-G2,-0.26599783,0.74223924,-1.6564393,0.680498,-0.0057068705,0.15416773,0.26902294,0.669165,-1.9819509,-1.0211393,-1.2200931,1.742931,1.7323241,-1.1935678,-0.79721636,1.319868,-0.45406008,-0.50177354,-0.2660524,0.8559045,2.107273,-1.0044296,-1.2993239,-1.2416786,-0.49990585,-1.850942,-1.6340965,-1.0511459,-0.591339,0.45419416,0.39118782,-0.70461625,0.77476645,-1.5464768,1.1298349,0.006490782,-0.42156076,0.74539053,-0.23527013,-0.7464907,-2.6041765,-0.83606964,0.5028214,-0.22445622,1.1789174,1.786941,0.63025975,3.1951745,-0.6057245,1.0599978,-0.5921875,1.106742,-0.59800714,0.4326656,0.7660581,-1.2238653,0.16944902,-0.8755924,-0.24713676,0.7625223,-0.6535289,0.023956135,0.4802347,0.63930964,-1.0497566,0.12805927,1.04414,-1.8335366,0.08008738,1.3293446,0.32472515,0.5052648,-1.5318903,0.7590786,0.9482734,-0.25892898,-1.8574853,-0.1517601,1.932951,-0.31185225
LN-18,1.7378107,0.10086015,-0.39501116,1.1315804,-0.8367132,-0.8307957,-0.8105804,0.7940128,-0.38015753,0.9034686,1.9303732,1.104438,-0.49609077,-0.66214055,-0.5508951,-0.28706563,0.5163703,0.09367338,0.8515402,-1.1703507,1.3019269,-1.3412899,-0.431028,-0.57979,1.0071503,-1.3381969,-1.0675012,0.8219969,-1.0463626,-0.12018065,0.24414232,0.2919852,-2.0767212,-0.8644347,2.0728323,-0.33710212,-0.1776363,1.0936401,1.5851159,-0.5859289,-0.6317292,-1.768731,0.97174615,0.67879367,0.8549841,1.8625563,-0.016962882,-0.42870662,-0.50126094,-0.33350807,-1.0009618,0.86370915,0.72717977,-0.1507788,-0.9700045,-0.5368225,0.05105415,-0.8384693,1.0990825,0.36153638,1.9497689,1.1026186,-0.7610265,-0.26553336,-0.7788106,1.0325439,0.20065707,-1.6111212,-2.548274,-0.49331662,1.2460363,0.6048235,0.9950754,0.8994461,0.78916454,-1.218724,0.79222214,-2.2949018,0.09779723,-1.0140848
MJ,0.31459326,-0.6047016,0.50859314,0.01589463,0.15625462,-0.4580587,0.3093558,0.5437207,-0.107409626,-0.46466067,-0.08018085,0.4347817,-0.4626518,-0.089360595,0.2220935,-0.6233808,0.2009953,-0.45439744,-0.17327414,0.18233767,0.6744431,-0.0354657,0.54045105,-0.28730723,-0.34557548,-0.1707615,-0.3648304,0.050301842,-0.24633363,0.4351302,0.12554753,0.74908286,0.304255,-0.2063698,-0.0060874,-1.1282655,0.7406397,0.0987367,-0.49896422,1.0847642,-0.7388197,-0.13017355,0.101561755,1.0275297,-0.5141256,-0.75228477,0.8202176,0.114636324,-0.8838564,-0.3283829,0.4611395,0.2838678,0.13316731,0.33082753,0.07478055,-0.024742529,-0.35790837,-0.039499104,-0.9920051,0.25887945,-0.39812857,1.1403573,1.3718767,0.1213827,0.019331217,-0.20628142,0.19078514,-0.6052564,-0.67831886,-0.49126306,1.5168138,-0.016565427,-0.58043784,0.66200346,0.30371568,1.7799442,-0.3550136,0.4912315,0.22817297,0.6669473
HCC38,0.7603043,-2.1680722,-1.0378166,-1.2372334,1.2839484,-1.1056287,0.46357626,-0.16740955,0.5255641,-1.4792216,1.1899334,1.1852567,-0.621035,-2.3816667,-1.7658551,-1.1101748,1.295671,3.0404263,-0.5145208,-2.075328,-0.034657925,-1.62606,-1.7983497,-2.7755504,-1.3063114,-0.017950036,-1.334664,0.8053709,-0.8577027,0.35603365,1.2273939,1.3176006,0.7127689,1.5729604,-0.35081506,2.5901759,-2.1297796,-1.7144785,0.6259275,-1.8803515,0.8479482,0.33417824,2.4386706,-2.7291577,0.6949411,0.19581938,-0.8137462,-0.33973762,0.48795244,-1.5547655,0.48048478,0.70357245,-2.5473182,-1.7610196,1.5067064,0.7030705,-1.4482427,0.64728266,0.12964857,4.1181726,-1.301681,0.5721683,-0.8778978,-2.3690948,1.3345172,1.4641047,-0.85767853,3.109634,1.0148374,-0.7761406,-0.14870587,-0.7206141,-1.8775696,-0.7881152,-1.6575801,-1.8254821,-2.2612586,-1.2651095,-2.0705862,2.2001948
RPMI-8226,-1.2919694,1.3855455,0.51506,-0.32248753,-0.069012344,1.5030075,-0.43182993,-2.705808,-0.2652504,1.3389693,1.3601639,-1.6091492,-1.1887937,3.5827148,-0.043960065,0.83889073,-2.2751963,1.4949567,0.34117737,-1.2145268,-2.3833232,-1.2540685,-1.4008089,-0.41612244,2.2769456,-0.8283736,-0.8130653,-0.046332777,-0.39507166,0.2940969,0.6166348,-2.3795562,-0.4893037,0.43108,-1.7406139,3.5730302,-0.91273034,0.026163628,3.8589623,-2.5341604,1.9152148,-3.1374054,1.0738444,-1.6271197,0.5111515,1.5311962,-1.134344,-0.38040194,2.363799,2.823661,-2.0087345,-2.2997718,0.20006244,-1.44273,0.62581587,-0.8123454,0.89114153,-1.5546494,3.093488,-0.9353362,-0.075093426,-2.5928764,-3.6743786,1.078631,-0.6985006,0.3180003,-0.1683967,1.2556812,1.5063968,2.038619,-2.8885026,1.7181503,2.7959504,-2.6396255,-2.8733463,-6.7338033,1.7459925,0.5781466,-0.5144732,-2.0214758
TUHR10TKB,0.29797822,-0.7489209,0.106362835,-0.041948415,0.14218552,-0.027517013,0.7640085,-0.0775125,0.122891165,0.32787162,-0.30506402,0.31453365,-0.29149392,0.03984258,0.05324718,-0.57354033,0.06392934,-0.7821139,0.25816107,0.27122867,1.0846108,0.027945682,0.4826456,-0.1613521,-0.12164433,0.559935,0.11829074,0.14190847,-0.3976099,0.14940679,0.052281395,1.0682092,0.21803623,-0.16042672,-0.27215973,-1.5437608,0.7399202,-0.12126073,-0.31685612,0.9582394,-0.021398246,0.26493168,-0.5806807,0.60190177,-1.0084941,-0.85622525,0.95429176,-0.028808381,-0.7588054,-0.14929596,0.16528565,0.68728477,0.14241819,0.5176959,-0.2468588,-0.23595473,0.06755628,-0.050985552,-1.2466285,0.20906521,0.07950607,0.9517917,1.0728152,0.26094994,0.14536084,-0.47061846,0.1630377,-0.9137593,-0.22485614,-0.6141938,1.2585509,-0.38784206,-1.162101,0.20602703,-0.23469411,1.5283842,-0.6926297,0.37476948,-0.3092889,0.62775034
