,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
SNU-175,-0.2536451,0.36765867,0.20888016,0.48154384,-0.8733702,0.057025723,1.0327058,-0.26376626,0.60069185,1.0223671,-0.66520613,0.49364927,0.21607372,-0.4045584,-0.25512168,-0.46022582,-0.24694626,-0.3493493,0.5584147,-0.023370752,1.8243467,0.6411387,1.565592,0.27077878,-0.94823015,2.0926065,1.385217,0.25097826,-0.4172715,0.0914798,-0.3306186,1.222574,0.1550926,0.34080538,0.022409253,-1.9259812,-0.112114385,0.6856922,-0.701627,0.95365155,1.5585822,0.8277587,-0.754578,1.0953963,-0.61366373,-0.83625406,0.6940939,-0.26693046,-1.0832472,-0.29309887,0.4420339,1.3529072,-0.5687231,0.70394206,-1.0652485,-0.3113102,0.3955847,1.0320703,0.30317456,-0.73621887,0.056135774,0.18003559,1.11105,0.64736176,0.15679552,-1.1677564,-0.41943336,-1.4578334,0.06071859,0.19607158,0.6765265,-0.82400954,-0.6107773,-0.5037018,-0.036592722,1.9142023,-0.59067893,1.4518437,-0.07783154,1.4732789
SU.86.86,0.38691434,0.09055621,-0.95012486,0.40382415,-0.68910193,-0.31072998,-1.3099737,-0.099930435,0.27547127,0.62232447,-0.23831113,-0.37339705,0.11195097,0.5306782,-0.58151984,0.042237774,-0.38862908,1.5357178,0.41640642,-0.7718458,0.12888685,-0.78580683,-1.4360232,-0.4537604,1.7342236,0.56043464,-0.34363317,-0.7556979,-0.2615159,-0.08679089,0.82241946,-1.2954476,-0.30982435,-0.5216223,0.11540514,1.2076635,-0.9574115,0.11475003,0.61453766,-2.5231526,0.6227242,-0.39630017,0.5624293,-0.805689,1.0547751,1.143115,-0.6949086,-0.69365126,0.5832548,1.1085755,-1.4830135,-0.20425382,0.07950695,-0.7630202,0.46463904,-0.72360307,-0.28878325,-0.87686235,2.04068,0.4514121,1.0592909,-1.3473223,-2.100467,0.39509296,1.0089157,0.6366331,0.20766479,1.1009401,1.0415603,1.6013834,-2.5923488,0.86190027,0.32770413,-0.62172717,-0.7352774,-2.719185,-0.56041086,-1.3798605,-0.6833917,-1.4956886
DU4475,0.48508272,-0.9355928,1.6486182,-2.56871,2.1266658,2.4633746,1.0170271,0.0873423,2.2755485,-1.3198009,-2.6976838,-2.085309,0.88602895,2.4522035,2.190392,0.5441873,1.6402603,-0.34060353,-0.33596566,1.2618738,-5.643138,1.7236837,2.129093,1.5335668,0.6266729,0.6638621,2.2026658,1.1506484,4.665746,0.2335795,0.3962566,-0.7224742,4.534497,1.0868922,-4.1550407,1.8808284,-0.14339964,-1.8528486,-0.9082859,0.45399338,0.5017268,0.8258985,-0.45541674,-3.27588,0.8771568,-2.292397,-0.65830433,-1.7064998,2.186747,0.76295805,2.333494,-5.8373923,-1.1018196,-0.5718084,3.010714,0.4672616,-0.24911569,0.8751304,-1.2099053,-0.91833735,-2.0088072,-1.1889448,-3.0734444,0.07230049,-0.1380893,-0.014158249,-2.0075216,6.568176,0.7403004,0.15828148,-1.6400774,-0.13582492,2.8742,-0.6485098,2.1844969,-0.74493104,1.1495552,3.2029378,-1.8476825,-0.57305163
BxPC-3,0.779148,-0.37610963,-0.76748264,1.1045456,-0.9549531,-2.0513036,-0.7275481,1.0346212,0.33180913,-0.05238509,0.32079977,0.15747307,-0.37375075,-0.8091168,-0.42525953,0.8319387,-0.91227436,0.85626036,-0.101997755,-0.567685,0.39611766,-0.96263766,-2.049126,-1.0693332,0.0701711,0.06126599,-1.2506522,-0.07330324,-1.6797088,1.2148302,0.9488759,-0.98787206,-2.1786652,-0.18697725,1.0209711,1.0048745,-0.15180682,1.1524774,0.055732943,-0.7212157,-0.10433527,-1.1248666,0.030838579,0.113199756,1.6292002,1.0369492,-0.31754595,0.5405666,-0.17121121,0.8846586,-0.41763607,1.1466771,0.95016384,-1.5048194,-0.499026,0.6896769,-0.5979308,-1.6563522,1.4461312,1.1129448,1.0578872,0.73240346,-0.119592935,0.48950806,0.32712418,0.22315428,-0.16520531,-1.2303768,-1.1856781,0.20263726,-0.044702224,0.66350245,0.17104325,-1.1605071,0.15133011,-1.1376456,0.22357878,-2.230235,0.667634,0.34568486
SW948,-0.24171422,0.4706613,-2.7581341,-0.66521466,-0.51568824,1.930491,0.24867317,-0.35200775,0.9631117,0.88453054,0.20086332,1.183769,1.6383047,0.17554143,0.011347398,1.2154002,-1.1539826,1.1794857,-0.6254909,0.25772205,-0.060374007,-0.5003389,-0.7518991,0.34872505,0.9269372,0.3774426,1.1052673,0.6276718,1.533019,0.08752306,-0.86371917,-1.2821897,-0.021155074,-0.20179522,0.008985708,0.54038745,-2.6301422,0.736627,1.5737294,-1.3562804,0.9162449,-0.8327156,0.38664246,-0.06510396,1.8552742,1.2554235,1.017849,-0.14892386,-0.85434103,1.4831836,-2.4032369,0.9554877,-0.55359066,-0.2740758,-0.7226314,-1.4836706,1.0556585,1.0667783,1.8641247,-1.9781641,0.59402233,-2.9868777,-3.0542316,2.1633778,1.107336,-0.27443445,-0.6649308,-0.26772064,-0.108343616,-0.69213665,-0.71437365,0.13617793,-0.0064602885,-0.295923,-0.6259554,-2.3427742,0.035381425,0.23644407,-0.74731773,-1.3014456
DAN-G,1.8570293,-1.1622863,0.22417936,-0.68379474,0.4012775,-1.631817,0.12577425,0.24090776,1.1859725,-0.6696148,2.4228942,1.5949147,-1.8215072,-2.096158,-0.5032817,-0.6208717,0.8425047,5.09772,-1.9523535,-1.9632413,-2.2244034,-1.4365275,-1.7833972,-1.5730095,-0.7194091,-1.3657515,-0.9555855,3.083507,0.21734954,1.9328904,0.026259897,-0.0014606118,0.43674994,-0.88646656,-0.49278748,3.6168368,-3.247804,0.03987836,3.4658754,-0.5523803,-0.9636796,-0.6126021,2.1259873,-0.34598324,1.7460837,1.5193537,-1.2324746,-0.6402964,0.78937274,-1.2053072,-0.60749096,0.07426088,-1.9652863,-1.421799,1.1574441,-0.2566523,-0.2519707,0.46675667,0.49538916,1.0147048,-1.5991876,0.3416597,-0.9564827,0.009824976,0.3177403,0.16503963,-0.25487715,1.6275076,-0.3310381,-2.1416929,0.22497217,0.7695599,1.0709113,-0.29217875,-0.18071103,-2.46246,-0.1127056,-1.542873,-1.2467248,0.8949531
LS411N,0.3169345,3.7086535,3.1707485,-2.782841,2.9069245,-0.24686415,1.8578236,-5.772356,-2.33982,3.585876,1.5101317,-3.5181382,-2.993122,4.394064,2.9963508,1.7662272,-3.1096249,4.5054793,-1.9233108,1.1837037,-3.3293724,-1.5395734,0.20083061,-2.6135945,0.2778415,-0.7313555,-3.6955593,-0.5870816,0.47060555,0.75769234,-0.42507493,-2.0135648,-1.0449028,-1.4158717,-4.1553707,4.95245,-3.2930515,-0.25741366,1.9323009,-4.7166104,-2.1228714,-0.6293272,1.9828436,-3.391609,1.0127616,2.4960587,-5.094861,3.1758792,4.2355623,2.1001687,1.4376528,-4.213335,0.4782157,-1.8916856,2.616664,-0.25590593,0.3216306,-4.1772027,1.9430792,-2.274134,0.7230892,-1.8696471,-4.2957473,3.4293683,-4.9906907,-0.07453247,-2.7220826,2.288353,1.5926845,2.7435198,-2.668416,5.7133665,6.0304794,-1.7051876,-4.613725,-6.2404222,4.591151,2.1948907,2.0461867,-0.80281013
A-673,-0.7396779,-0.46767762,0.06302361,-0.596304,-1.132393,0.14990717,0.15289032,-0.24061395,0.16219732,0.49881405,0.43718508,0.32980892,0.1086099,-0.282158,-0.24828008,-0.011901945,-1.0103682,-0.38692647,-0.23619828,-0.22607438,1.0558078,0.09045279,0.6960214,0.6555791,-0.9364756,1.639301,0.5017052,0.106267385,-0.09223836,-0.30694532,-0.5671238,0.6721819,-0.8134861,0.39841092,-0.0017909715,-1.6133283,0.38349044,0.32016128,-1.9460347,0.68103087,0.7399688,0.25383955,-0.8721692,1.4574713,-1.9596833,-0.5646052,0.61236256,-0.05413793,-1.2373555,-0.615456,-0.56124794,1.8534105,1.0169963,1.290543,-0.72654253,-0.49907002,-0.45878538,1.1127292,-0.7517117,0.35693812,0.38248804,-0.28163,1.0019208,0.5836297,-0.03196638,-0.9387852,-0.41126907,-0.22023495,0.53774863,-1.1182641,0.9645606,-0.81385595,-1.3977128,-0.10868718,-1.3081365,1.651669,-0.57173693,0.24638574,-0.15818042,1.2985861
NCI-H1105,-0.3948335,0.14577997,-0.7694119,-0.22098336,-0.29649496,0.31406322,0.08312011,-0.23604889,0.08925892,0.8766217,0.05563754,0.23960021,-0.06687343,-0.14749573,-0.19313154,-0.721997,-0.3143856,-0.30001706,0.04285901,0.12736009,1.2325344,0.65663105,0.48179585,0.79133785,-0.8524244,1.8079203,0.84824353,-0.03736783,0.05463701,-0.36177966,-0.14211406,0.36579445,-0.26377138,0.4679501,0.5029962,-1.8482537,0.6715713,0.016627794,-1.5186218,0.7755468,0.95912,0.30200976,-1.6476097,1.0232098,-1.1587054,-0.83318126,0.19868103,0.1092518,-1.1382868,-0.7682365,-0.1039131,0.90128523,0.39155248,1.091714,-0.5801255,-0.55941397,-0.5234514,1.0576453,-1.1200631,-0.20758714,0.40044236,-0.8958473,0.8041509,0.0041518956,0.2978958,-0.7508496,-0.0723172,-1.0022149,0.023003757,-1.0220257,0.97425306,-1.0514641,-1.3515728,-0.16345625,-0.83072877,1.5955906,-0.66732943,0.34267187,-0.51033664,0.9124148
HCC2218,-2.9352164,4.459959,-0.83586687,-0.26686144,3.8238733,-0.10989869,1.6122087,-2.3148437,-2.790164,-1.2863017,-3.109255,-3.7231174,0.03503287,3.0632439,3.1580212,0.8631893,1.2053452,-3.6873055,-2.1515996,-0.66708195,-2.3663657,-2.249845,1.1220443,0.8694284,-0.20663963,-2.9350126,-0.5466698,-4.304128,2.9389179,-1.1058439,-0.8367799,-0.49775368,1.2487688,1.0942943,-1.3178319,2.990734,1.081228,-4.6920414,-2.187742,-3.805087,-0.5600736,0.6415813,-0.8504915,-6.1764073,1.4412049,-2.0725334,-1.709624,1.717603,-0.4278126,0.6738413,3.317222,-4.939979,0.9449408,-1.8574264,-0.5552048,0.28220707,2.6810732,-2.376542,0.8384186,-2.9519932,-1.5412761,-3.28065,-0.25010115,-1.758409,-0.8648762,1.3919463,-1.0495661,-1.2872952,2.8449519,2.3828254,-0.38385993,3.769003,2.6280823,-2.1430433,-0.86692935,-2.233565,2.625792,4.8673973,0.4963293,-3.1167257
