target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,0.0045259977,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.0024705268,IntegratedGradients
Erlotinib,0,,all,NF1,0.0075928965,IntegratedGradients
Erlotinib,0,,all,APC,0.004690969,IntegratedGradients
Erlotinib,0,,all,KRAS,0.008112316,IntegratedGradients
Erlotinib,0,,all,NF2,0.0011782042,IntegratedGradients
Erlotinib,0,,all,TP53,0.0073476103,IntegratedGradients
Erlotinib,0,,all,PTEN,0.0041759512,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.0059455386,IntegratedGradients
Erlotinib,0,,all,BRAF,0.0079131415,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.009743825,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.0019175694,IntegratedGradients
Erlotinib,0,,all,CTNNB1,0.002651634,IntegratedGradients
Erlotinib,0,,all,CDH1,0.0026788656,IntegratedGradients
Erlotinib,0,,all,STK11,0.0026987998,IntegratedGradients
Erlotinib,0,,all,NOTCH1,0.0053097787,IntegratedGradients
Erlotinib,0,,all,NRAS,0.0047507314,IntegratedGradients
Erlotinib,0,,all,FBXW7,0.00337559,IntegratedGradients
