method,var,variable_type,metric,value
DirectPred,Erlotinib,numerical,mse,0.004855587612837553
DirectPred,Erlotinib,numerical,r2,0.17153135123363583
DirectPred,Erlotinib,numerical,pearson_corr,0.41416343541364903
