target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,0.00041790647,IntegratedGradients
Erlotinib,0,,all,APC,0.00013188868,IntegratedGradients
Erlotinib,0,,all,NF1,0.0001178175,IntegratedGradients
Erlotinib,0,,all,PTEN,0.00026679583,IntegratedGradients
Erlotinib,0,,all,TP53,0.00093757134,IntegratedGradients
Erlotinib,0,,all,KRAS,0.002005691,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.00023323888,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.00018334259,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.0013738945,IntegratedGradients
Erlotinib,0,,all,BRAF,0.00075851195,IntegratedGradients
Erlotinib,0,,all,NF2,0.00057012594,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.00010887792,IntegratedGradients
Erlotinib,0,,all,CDH1,0.00011082785,IntegratedGradients
Erlotinib,0,,all,NOTCH1,0.0012432762,IntegratedGradients
Erlotinib,0,,all,MAP2K4,9.4163945e-05,IntegratedGradients
Erlotinib,0,,all,NRAS,0.000528106,IntegratedGradients
Erlotinib,0,,all,STK11,0.00018459752,IntegratedGradients
Erlotinib,0,,all,SOX10,7.883047e-05,IntegratedGradients
Erlotinib,0,,all,CD53,0.00049866916,IntegratedGradients
Erlotinib,0,,all,MLANA,0.000105124804,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.00014278654,IntegratedGradients
Erlotinib,0,,all,YAP1,0.00041216644,IntegratedGradients
Erlotinib,0,,all,MZB1,0.00047226928,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0005346454,IntegratedGradients
Erlotinib,0,,all,ESRP1,0.00023823974,IntegratedGradients
Erlotinib,0,,all,MYB,0.00049952086,IntegratedGradients
Erlotinib,0,,all,CCN1,0.00013410594,IntegratedGradients
Erlotinib,0,,all,SPI1,0.00023757719,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.00016518046,IntegratedGradients
Erlotinib,0,,all,PHOX2A,6.059933e-05,IntegratedGradients
Erlotinib,0,,all,CD52,0.0001164932,IntegratedGradients
Erlotinib,0,,all,SPIB,0.00023121611,IntegratedGradients
Erlotinib,0,,all,GJB3,0.0005737259,IntegratedGradients
Erlotinib,0,,all,IRF6,0.00040916595,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00051244645,IntegratedGradients
Erlotinib,0,,all,S100A14,0.0003172182,IntegratedGradients
Erlotinib,0,,all,CHGA,0.00030745083,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00012495634,IntegratedGradients
Erlotinib,0,,all,AZU1,0.00011908156,IntegratedGradients
Erlotinib,0,,all,ASCL1,0.00018368124,IntegratedGradients
Erlotinib,0,,all,EPN3,0.00015346847,IntegratedGradients
Erlotinib,0,,all,AXL,0.0012590917,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.0008303821,IntegratedGradients
Erlotinib,0,,all,IFFO1,0.0006103873,IntegratedGradients
Erlotinib,0,,all,MAP7,0.00017881609,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.000493346,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.00019643559,IntegratedGradients
Erlotinib,0,,all,KLF5,0.0008227299,IntegratedGradients
