,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69
SNU-387,0.6393108,1.6069468,0.52865165,-0.966453,1.630701,2.376448,1.6830499,1.7064261,0.21613243,0.59868586,0.67707396,-0.81293607,-1.3642877,-1.9478009,-1.5100186,-1.9056985,-0.28925467,0.9422438,-3.1549163,1.0443538,-3.3750298,3.013927,-1.0796762,1.6721216,1.6673639,-0.8851027,0.4677806,1.008481,-2.3170083,-1.0305694,0.5510652,0.98772657,-1.4837279,-0.6433769,0.38344646,1.1343665,0.14469104,-1.1066674,0.73835963,0.8596902,1.224974,0.43132365,-0.22715282,2.06553,0.16398253,2.81745,-0.55886817,0.5060498,0.39266208,1.6063141,0.28921878,1.6183914,0.11280473,1.6585261,1.21557,-1.5980306,-0.14607581,1.2867154,0.77514917,1.5786643,0.34951138,0.2830085,0.7016091,-2.1464314,0.9130697,-0.7104843,-1.2288115,1.5457569,1.9533236,0.80465704
Hs 766T,-0.68335944,0.62508696,0.6867263,1.5015239,-0.9748154,1.9605174,2.478971,-3.3910098,0.47098222,-0.6247181,2.1325378,-3.241805,-0.43121988,-0.34036002,0.74434704,-1.2632741,0.7106759,0.6627382,0.41662073,-2.2129025,-0.04795582,-0.162403,0.009807911,-0.24677268,-1.1006758,-0.07133091,-2.1938174,1.4029752,0.8912222,0.034166023,-0.34025675,2.2605915,-0.3934219,-1.0905486,-0.61886394,-2.074325,2.7851694,0.9158128,0.62729865,-1.4622297,0.21531442,-0.31517303,0.79413414,-1.0181013,-0.2778706,-0.5498475,-1.9504628,0.14019094,-0.37697327,-0.60902095,0.4633221,-1.8899753,0.2378608,-0.61811054,-0.94230556,-0.39890346,0.15052164,-0.065516934,-0.059847325,1.8247952,-0.33943188,-0.547944,0.9101136,-0.17235133,0.6631024,-0.09185041,-0.07332801,0.092875995,-0.6568154,-0.83710134
HOS,0.15118459,-1.1909822,-0.98223925,-0.067322925,-0.40606755,-0.10747311,-1.4863734,1.8524275,-0.3667228,-0.6965297,0.03556981,0.0047346232,-0.26556268,-0.5293294,1.5484369,0.09283395,-0.17794032,-0.31783506,-2.7388012,0.9598067,-0.8701463,-0.7221879,1.4105248,0.37682667,-0.8169494,-0.81204796,-1.0816506,-0.75716555,0.5805047,-1.1157497,-0.35668617,0.52506,-0.399164,0.23092432,-0.08207877,0.09193129,-1.4582405,-0.5693337,-0.5359488,0.19166018,0.7316495,0.18338636,-1.9905667,1.616005,-0.74176085,0.89602965,0.11380614,1.1733488,-2.062589,0.14162287,-0.019004254,1.6329834,-1.350484,0.2008801,1.5173582,-0.600307,-0.6895798,-0.6542699,0.06345065,-0.32396153,1.0948455,-1.6962999,0.7041422,-1.5672536,-0.07874013,1.0566475,0.15061931,0.0023061815,0.98158896,-0.5333323
SKM-1,-1.4264706,1.6722047,0.028299727,-2.0473754,-0.18582332,0.7823148,2.9846172,2.7408483,-0.58463776,-0.6035994,0.8589317,-0.7262587,-1.6032139,-3.0828886,0.906235,0.089432575,2.107924,0.8416128,0.23658541,-3.4600062,0.48418394,0.12902942,-1.9231396,-2.1546948,3.4026139,-0.19524877,-0.5355542,-0.9177843,0.004479848,-0.056930404,3.4234037,2.9096942,-1.5268257,0.0029791608,0.59033966,-1.0614583,1.44836,-1.041932,0.29096118,-0.33581114,-0.4804433,-0.8505705,1.1595349,-1.1839191,-0.6210541,-0.68833995,-1.4316127,-0.91152745,0.13401654,0.48680675,1.0369654,0.099839225,1.0920149,-1.3255987,4.108308,1.3575962,0.56858724,-1.3863158,-0.28368282,1.3347193,1.3281175,1.6623706,-2.1152353,0.83714825,-1.5783793,1.5269531,1.2179124,0.61232996,0.58773565,0.7143271
COLO 201,-0.7095657,-1.7328856,1.7511954,-1.1001071,0.6682996,4.0082374,1.2158116,1.638227,-0.13257845,0.23320636,-1.7904925,0.04257041,-2.799895,-1.5264637,-0.3469504,1.5897844,-0.07342107,0.73154354,0.6199149,-1.2318411,0.81104165,0.06989297,2.348843,-0.8722206,-2.9594347,1.2044824,2.778899,-0.9690064,1.381816,0.6271649,0.36794102,-1.8531442,-0.36032277,-1.6163238,2.7668386,-3.582658,1.48359,1.3521556,-0.20145115,-0.090926304,-1.2721831,-3.4065754,2.1643243,-0.71590465,1.0785748,-0.75119174,1.4803405,-2.1810842,1.8747814,0.07919927,-2.0191846,-1.8973958,2.0783417,-1.7689145,-0.91933155,-1.1101124,0.91171485,0.76063204,-0.8739637,1.6529313,-0.25727317,0.69043046,-0.18341371,-0.92814857,-1.925658,0.5612179,-0.16648212,-1.0868424,0.35199177,1.0349213
COV644,0.9080788,-2.681789,-0.48364186,1.4030904,-1.5121844,-0.17112616,0.57734543,2.4688938,2.511229,2.4305344,-2.3161445,-0.14437172,3.832791,2.1629899,-2.5167484,-2.048469,-0.23076107,0.8223969,-1.3521129,0.022269819,-2.1437306,1.4991307,1.723888,-0.89396995,0.54653287,-0.80802053,1.6014642,1.5065333,-0.1160938,1.4599533,-1.2571268,-0.050804943,-0.5618882,-1.7027436,1.0187033,0.6569009,-0.0022568367,-0.1073345,0.21809892,-0.5276768,1.215936,1.3346791,-2.3112698,0.65584767,0.61196184,-0.41658607,-0.3001537,-0.1543006,-0.43736055,0.9413206,-1.3777889,-1.6813933,0.74698174,-0.22744957,-2.467791,-0.4203355,-1.535746,-0.3700298,1.8718303,-0.2846477,2.1530387,0.38122794,-0.6579909,-0.6889789,-1.5824906,-1.5251509,-0.337747,2.5242817,-1.7209082,2.674514
OV7,-0.19567584,0.70088637,0.5590112,1.703082,-0.5296367,2.199875,0.70623296,-1.007198,-0.019519817,0.15572286,-0.3540848,-1.7291204,-0.9052066,-1.8436412,-0.9557973,-1.1669647,-0.5272674,-0.9856851,0.318153,-0.9277792,-0.0758065,-0.05986971,-0.17806235,-1.0596066,0.69889975,0.28861368,-0.36443415,1.0888838,-0.18935476,-1.4908518,-0.68008626,0.5042255,0.3891198,-1.2354035,-0.28290322,-2.480248,1.1325358,0.6350197,0.8714825,-0.6102283,-0.20427282,0.21196365,0.41736338,1.4067837,-0.7526473,0.13021079,-2.0621586,0.06132289,-0.18432957,-0.03710354,1.0121498,2.0256786,-0.053254157,-0.48673224,-0.4372635,-0.56454825,0.6343765,1.467007,-2.2116778,0.08621126,-0.91085535,0.41666603,1.6435186,-0.33288538,0.21833998,-0.2549071,0.6929084,-2.047521,0.5606751,-2.4915226
SK-BR-3,-1.2176564,-0.2877735,-0.60316855,1.0537735,0.041345336,-0.728689,-0.957695,0.39661777,1.8609419,1.2068148,-0.6098918,0.8918596,-1.811259,-1.1380221,-1.2348204,-0.90060854,0.53863645,1.8200195,-0.197024,0.052131254,-0.48336408,1.2988285,-1.2904422,-1.262274,-0.72169906,-0.026211895,2.2356305,1.3679436,0.6114543,0.58437866,1.0062821,-2.0660665,-0.4825573,0.35633853,-0.4313231,1.4115669,0.19637474,-1.5712293,-0.40673614,0.7728562,0.30270842,-0.14070728,-0.65607035,-0.7966602,-0.3622964,0.13803518,-0.034052707,-0.5750803,0.9307723,-1.2062883,-1.9073172,0.6929967,0.8131694,-1.3095447,0.9663124,0.99657637,-0.398483,-0.25102794,-0.2987209,0.36600432,-0.16127466,1.2856666,-1.2564062,0.3101498,-1.0950345,-0.1723356,-0.73179644,0.55535793,-1.2881647,2.2287657
SNU-1214,2.0554047,-0.10791993,-0.22125506,1.785747,-1.8671495,-0.3833955,0.18988751,-3.3510742,-1.3183665,-0.2178637,0.35570353,2.3104975,-0.6900566,-0.963919,3.297055,-0.26569787,-1.3514355,1.2838397,0.6024319,-2.0605774,0.69021213,3.1157362,-0.72869956,0.0875369,0.10113537,-0.2211611,-0.7288536,-1.08836,-0.2565078,-0.6808195,-1.7184194,-0.4898046,1.7709751,-3.254279,0.44468427,-0.15798277,0.35590857,-0.18102916,-0.29091245,0.11935106,-0.5521488,-2.1892822,-0.36984834,-2.160383,1.827637,2.3838618,1.610222,0.029975787,1.7888613,-0.28762662,-0.22351755,-2.0098448,-4.5542173,1.0183897,-0.9980584,-1.2453086,-2.6850202,-2.087633,-0.10739223,0.4352654,-0.49832672,-0.89413935,-0.212964,0.68345785,1.8458103,-0.42756435,0.06658395,0.6063723,-1.1694747,0.47883332
NCI-H1395,-2.5873024,-0.010338273,-4.668855,0.29590628,0.96652144,-0.75359297,0.23496427,1.5315063,-0.61465824,-1.3614337,0.40438882,0.61830145,-1.6682926,0.77992296,-3.3275647,0.89047873,2.284665,0.46112657,-0.57177377,-1.3999472,1.225288,-2.233995,-0.48706657,1.2450136,-0.55442834,-1.3948028,1.4889656,1.2449094,3.7546353,-0.14835007,-1.6867676,-0.6683028,-0.046459585,1.8057811,0.49575067,-0.34122553,-1.2677599,1.6501306,-1.0165411,0.25020134,-2.8128953,2.662636,0.27055952,-1.1474463,-0.040062983,0.26490638,0.69578594,-2.1836522,2.9497957,1.4553989,-1.7039455,-2.2475555,-1.6608257,-4.599582,-2.2210126,1.8825339,-2.8500578,-1.193973,1.0450585,-1.3730373,-2.43322,2.0110328,0.8790049,0.073378205,1.3910142,-0.99542767,-0.32640478,-0.8004725,-3.5895193,0.72966576
Hs 688(A).T,1.0360507,1.1991329,-1.2797549,0.9928713,0.58241564,-0.07988996,-2.799453,-0.20302376,1.5044591,-0.6213311,-1.4821683,-1.3546511,-0.3562343,1.0779772,-0.943302,-0.17632666,0.40238574,0.7394726,-1.780681,1.2520267,-2.2686667,0.6154044,0.7089025,-1.6721405,-0.8367959,0.697817,-0.93820816,1.9424038,-0.3441231,-0.53144085,-1.740114,0.7684528,-1.1711215,-1.9497982,-0.6802428,-0.49698734,-0.24312432,-1.1152966,-0.7445975,-0.72903377,2.2395275,-0.24836183,-1.1379488,0.024323083,-0.47661573,1.8965557,-1.0083125,0.20094588,-0.31433582,0.80097777,-0.7591567,1.6662999,-0.5103056,-1.6967033,-0.34322384,-1.7628288,0.16310212,1.3065964,-1.2110555,-0.55134946,-2.2658863,-0.499182,-0.036265112,-0.67774713,-2.0993538,1.2166595,0.97406656,0.1508927,0.21658781,-0.6948863
KCI-MOH1,-1.2646185,-0.1412884,1.5421493,-1.8297094,-1.2082549,2.0043967,1.4240273,-1.6321526,0.80533934,0.008453876,1.447182,-1.3235564,-0.8917843,1.2637188,-2.4798617,-1.2528493,1.7045412,0.9606569,0.2257725,-2.976367,0.49704227,0.1687938,-0.57251275,0.3827835,0.95033205,-0.9953664,-1.7871424,2.5000918,0.5757368,0.5929466,-0.21009539,0.8993989,-0.16915506,0.5636456,0.14950389,-2.0399601,1.11779,0.26343304,-2.1739988,-0.45846462,-0.5934226,-0.09066307,0.47736678,0.17346886,-0.23011446,-1.6235081,-1.4300002,0.70719135,0.70395774,0.60858023,0.91039574,-0.69916385,1.4261291,-1.5763233,-2.154618,-0.3187892,-0.54891247,0.46684062,0.5579972,0.7226296,1.0553824,-0.91302514,1.3128892,0.9049814,-0.3874316,-1.0615531,-1.6294451,-1.8741698,0.38602167,0.36653063
ECC12,1.0832103,1.853073,0.26864102,-0.69796294,1.0662692,0.2842369,0.7769145,0.74647,-0.6168743,-1.2090352,-0.26296476,0.99686134,0.004798429,-0.9861219,0.22531682,1.2549964,1.3250117,0.08061859,-1.4776913,3.2391894,2.2273068,0.7764183,-1.5089517,0.49647716,-0.21998052,0.990981,0.09402791,-0.14505135,1.08319,-1.7735345,0.39990783,1.7325075,-0.09796056,0.965742,-1.131048,-1.4994662,-1.8701129,-0.8680789,1.1519959,1.7096967,-1.0420146,0.2054205,0.22648242,-0.17713603,-0.49719158,-2.0515974,-0.9915514,-0.47123447,-0.79979473,1.9561244,-1.1330678,0.47396564,-0.2005438,1.6709437,-0.11353903,0.45077777,0.14949647,1.0315773,-0.3815847,-1.0135388,-0.16058353,-1.6196194,-0.1001698,-2.097345,0.6770746,2.2269564,1.1763527,1.4154297,-0.18098134,-0.6885037
MJ,0.6243091,-0.023247465,0.08885899,1.2938284,0.6259858,-0.7940027,-0.10610318,0.13020843,-0.23339182,0.09549251,-2.1109972,-0.95443875,0.8547751,-1.0101655,0.018663865,-1.3497416,-0.24551202,-0.70312136,0.0016698018,0.8284798,-0.3286121,0.14481683,-2.425858,-0.39351487,0.6436455,-0.44518086,-0.023438651,-1.5845189,1.2358867,0.9443198,-0.027885675,1.8999872,-0.62558055,0.9345101,0.12031315,-1.2825433,1.0283461,1.664753,-0.4829438,-1.1453635,0.26329264,1.6865331,-1.5806841,0.45369366,-0.045808606,-1.759459,-2.0548081,1.063274,1.6281458,0.37116355,-1.6015902,0.69784653,0.25137472,2.9097753,0.25204363,-0.40276942,1.4839414,-0.13403922,-0.15037856,0.35838866,-0.66344935,0.62379795,1.219383,-1.5541264,-0.95723385,-1.7111968,0.7240612,-0.067860514,-1.9251952,0.19225854
SU-DHL-8,-0.17757574,-0.47497705,-1.2143602,-2.4570599,-1.0045736,-1.7687696,0.77810746,3.0076501,-0.5463087,-0.86483836,-1.0966682,0.773577,-1.0483652,-2.6382525,2.3443096,1.1322111,-0.27072287,1.356953,-0.20308582,-0.58078474,0.22406776,-0.46829274,-0.67296124,2.7914884,-1.1627864,-0.5713767,0.44476312,-0.63128257,1.0986975,-0.8237592,0.19075121,0.36353132,0.04458125,-0.05892096,0.78162825,-2.1362712,-0.8344524,1.5363811,-0.4214278,0.018516306,-1.9619579,0.29163837,-0.8428371,-1.6038773,-0.22396109,0.009738609,-1.3729446,-0.43232447,1.0845555,0.89589036,-1.5550396,0.39296693,-1.9321209,-1.3392866,-0.8762641,1.0644507,0.7198801,0.7044969,0.8524983,-0.63288224,-0.9433763,0.87963486,-0.8810191,-0.28996232,-2.0766048,1.2416188,-0.8548206,-1.0188308,-0.64260525,0.13678059
SK-MEL-1,-0.6251741,-1.4497805,-0.113878265,-0.66117793,0.83386177,-0.24344707,-1.4424732,-1.2440231,-1.069089,-1.7021066,-1.6309695,2.0683444,-2.2622583,-0.61846,0.17001848,0.959285,0.6646386,0.6302247,1.1208115,-2.3328547,2.3035214,-1.3541255,1.7993218,-0.75149816,-1.27175,1.3628438,1.4747444,-1.8227942,3.745369,0.31934923,-2.6927748,-3.1719897,1.5831234,0.11253499,0.8944426,-2.0371952,0.018584328,4.2354965,-0.2577705,-1.4813545,-1.9516714,0.8411795,0.8011744,-1.2262201,2.3356454,0.19329552,2.4193914,-3.4605362,1.6011661,1.1047038,-2.6439898,-1.504529,0.13874535,-4.3205976,-0.095277965,-3.8034914,3.2727733,1.1053556,-1.4730484,0.136496,-1.520967,-1.3986273,0.9519018,-1.2927182,-1.5775491,1.9903954,0.11076197,-2.9227383,1.1147918,-1.0100672
SW1088,1.0024984,0.8646905,-0.61034095,-0.66665053,1.8969058,-0.7205112,0.04593466,0.14866552,-0.87068397,-0.37168577,1.1979734,-0.009392036,-0.639368,-0.61904174,-0.3068385,-1.0342327,0.76718545,-0.39824367,-0.3818565,0.75319004,-1.2507578,-0.47234827,-0.20744674,-2.1131077,0.26289773,-0.16773066,-0.46376464,-0.47369415,0.1353791,0.36232498,-1.8516812,0.51124763,-1.8494304,-1.793753,-0.5048015,0.15890187,0.676149,-1.7679584,0.74357474,0.2714719,0.40459806,-0.75435406,0.48431188,0.3291932,-0.90674734,1.7170672,-1.243524,0.09811235,0.18670867,-0.5047158,-0.3045433,0.5108559,0.35559258,-0.43292543,1.3737816,-1.1280787,0.4117011,0.5142191,-1.2770177,0.25163236,-1.1447747,-1.5264572,-0.058769636,-1.2799841,0.31019798,0.8170573,1.1889842,0.32972983,-0.3734731,-1.0618685
WM88,-1.0207864,-2.469043,-3.5493999,-0.7859574,0.19072859,-1.3681314,1.6250248,-0.389633,-0.86315274,0.05452583,0.11943305,-1.9031149,1.5362214,2.027482,-1.9587508,-0.8115376,0.21848245,-1.9518571,-1.5311161,0.11711341,2.1201794,-2.504995,-0.12759855,-1.1071997,-3.8111994,0.4661108,0.34636268,-0.68425363,2.665547,0.5832005,1.0513824,0.94285506,-1.7861096,0.23282947,-0.30594182,-2.5124035,-0.6522517,3.0385187,2.5389946,0.74174595,-1.1362308,2.1969602,0.14511293,0.63323563,-0.7275556,1.518757,-0.264962,-1.3116438,-1.236657,1.1976798,-0.86041385,0.63414484,1.7141105,-2.8434577,0.4318452,-1.9725505,0.8771622,-1.026049,-0.8328331,1.511951,-2.5215018,0.81057835,0.85342383,-0.5268996,-0.77104914,-0.84624094,-0.9752232,-2.1940458,0.5605007,-1.4810652
HD-MY-Z,-0.29007462,2.8785124,0.95929784,0.6235534,2.4210427,-1.0345714,-0.42513484,-1.4453954,-2.1917005,-1.1734234,3.2422936,-0.39365715,0.18087548,-0.1503562,-1.6170218,-0.49593988,-0.708702,-0.47628507,0.43181616,-2.6133978,-1.3747004,0.46340042,-0.8708028,-2.6647172,2.3225682,-1.5424889,-3.0182285,-0.16983292,-1.9026779,0.2933861,-1.202494,0.3486105,0.26291016,-0.31610712,0.50178665,0.7347391,-1.423937,0.9087529,0.70199805,-1.4641472,0.7019609,2.8670883,-1.8080132,2.35251,-0.6813302,1.4772892,2.2719991,-0.6158267,-0.7318982,-0.54570633,0.44688058,1.2652265,3.2885375,-0.021029085,0.49823752,-2.0536983,0.97749925,1.6101042,-0.06392029,0.28211465,0.21612869,-1.1573963,2.8673682,0.500566,-1.7030656,0.64977854,0.03351011,-0.3960395,0.56336296,-0.10727803
HCC1937,-1.6061876,-0.55629146,-0.8468765,0.18058503,-0.14872037,-0.9002205,-0.17047535,-1.0593498,2.1020343,1.1654924,0.30484495,0.7184403,-0.6099409,0.82420784,-0.8004884,-1.436832,0.3144448,-0.5966311,0.7537775,-1.7652934,-1.2266709,1.3038131,0.425686,-1.5813178,1.3808308,-1.9341333,0.5716143,0.58872694,0.8864916,2.0183825,0.4833644,-0.9062155,-1.4579374,-0.21134394,0.99428207,0.6444805,0.835973,-0.9909534,-0.60335064,-0.68545526,0.3706973,-0.378011,-0.07211798,-0.6248429,0.02229093,0.4581954,0.9054025,0.65526444,1.4667796,-0.5955432,-0.042813923,-0.73077923,-0.6838555,-0.3089594,0.7981725,-0.35039282,-1.2253246,-0.86557156,0.3909226,1.1292851,0.07482811,-0.14370216,-0.7006499,1.0109429,0.05663759,0.23837538,-1.0201957,-0.13346824,0.35207817,1.0755572
OPM-2,1.8524214,1.1556004,1.8059825,-1.0241393,2.0465367,-1.8893232,-2.224173,0.02355992,-1.5878868,0.29797786,3.0017622,3.9318974,-1.2302884,-0.4422391,1.80273,-0.14026743,-1.396718,3.422595,0.8254197,-0.999664,-2.023945,0.10790438,-1.2757138,2.1424136,-1.6197917,-0.3036071,-1.7828447,1.0673873,-0.16865121,-0.34205383,-3.1722405,-3.8858051,1.251183,-1.3315984,-1.178832,2.6353087,-2.1811702,0.04880765,-0.6746133,0.16973901,0.43539673,-0.5957867,-3.2676554,0.090358175,1.8475257,-0.31197354,2.437355,1.6665093,0.6305444,-0.4094825,0.09300792,1.5148045,0.6402123,1.0464356,-0.19114429,-0.012923975,2.1717534,0.174695,1.8880541,-2.179489,0.73121834,-1.0222661,0.18040544,2.130212,-1.4353923,-1.2984537,-0.4488882,-1.2493109,-2.3879673,1.3055906
JHUEM-1,-0.77593184,-0.6655703,-2.5372899,-0.071407914,0.36932945,-0.21366188,-1.634078,0.5991535,1.9187531,0.25894004,-1.2600703,-0.71889204,2.2856145,2.5442092,-0.22086886,-0.1396882,0.33532888,-1.5243893,-0.5762155,1.6141658,0.36265665,0.42733228,1.8070774,0.06415956,-0.59110785,-1.9322412,0.72510076,-0.7153639,0.8802782,0.8337002,4.1737723,-0.37703973,-1.843284,2.728913,0.4515407,0.84336877,0.24479148,-0.15870416,1.4770443,1.4804912,0.9874007,-0.027840858,0.29474235,-0.10299396,-0.38432157,1.1778426,0.09895825,0.81040037,-1.3332951,-0.025333982,-0.37091458,-1.5847529,0.35047334,-0.41378605,0.9175512,-0.55704314,-1.706555,-2.321457,0.30896634,1.1043864,-0.88488233,2.378308,-1.7764046,0.7985509,-0.74934673,0.6438504,-0.22798304,0.9477576,1.8852947,0.7909321
NCI-H2342,-0.56143427,-2.0271385,-2.9672909,2.2968707,-2.2983506,-1.7934837,1.8600918,1.5742748,1.6101165,1.9735578,-1.2762032,-1.2337719,2.2422273,4.3130813,-2.712672,-0.9785864,0.5632011,0.25750655,-2.3682218,-0.36121663,-1.0411183,-0.875808,1.1235253,-0.33676344,-0.020460576,-0.3110193,0.5257611,0.007743165,-0.4339748,-0.35434276,1.271699,-0.8855586,1.2639582,-0.20693883,0.2294878,1.2631595,-2.0118523,1.3390338,-0.009490117,-0.19124095,-0.41004226,3.0125127,1.0170056,1.1297629,-0.5866011,-0.9748335,-0.65729624,0.40890744,-2.1980374,0.25322387,-2.6582284,1.1107016,2.0543256,-2.0674365,-2.7972772,0.24226044,-2.390955,-2.43357,1.0637013,-1.4108434,1.0026021,1.5418403,1.1675462,1.4093692,-1.2477759,-0.3246252,0.7159088,-0.11546638,-0.69547606,3.8738096
Hs 746.T,0.50086886,-0.35348225,1.6775439,-0.39804816,1.454251,0.51990545,1.8651005,2.3332744,-0.6206457,-0.33398098,-1.0982674,0.8989007,0.5284114,-0.62426776,0.5265353,-0.5129123,-0.0338439,-0.004686879,0.9110503,-0.01894696,-1.8119857,-0.5853876,0.7600818,-2.322606,-0.5981355,0.6939427,-0.20497382,-2.2027678,-1.4438993,-0.22877166,-2.3111985,-1.6997037,-0.08836782,-2.6907902,0.9788744,-0.12206607,2.4509678,0.29266527,0.32298732,0.772662,0.29964623,-1.3524666,1.3784302,2.2496057,-0.2709719,-0.5508447,1.1976336,-0.39964473,0.8974987,-0.70959526,1.142698,0.9224275,2.4282408,-2.2270362,-0.07881002,-2.42712,2.22779,0.73778725,-0.13201131,0.3449314,0.9684386,-0.542426,0.6524388,-0.20019864,-0.35702664,1.0453489,1.2402353,-0.07408304,-0.2568025,-0.8288314
REC-1,0.62200123,0.57259464,-0.25712562,-0.119432636,1.3585328,-2.0880716,-0.45207226,0.16482715,0.29322967,0.15326262,-0.27959207,0.5980592,0.2631737,0.015771803,1.1027774,-0.5005364,-0.48568746,0.7445802,0.15345266,0.36724412,-0.43708134,0.059238724,-2.4028082,1.4963857,0.63871765,-0.35344604,0.018404251,-1.2146447,0.19247028,0.48948494,1.1976448,1.3489856,-0.19526999,2.6779823,-1.2985551,0.23577736,-0.6833958,0.5006789,-0.05364702,-1.5641257,0.7918923,0.30644023,-0.7097917,-1.8814445,0.14777455,-1.2694112,-1.0356781,0.17631787,-0.5474448,-0.8045593,-2.0957246,-0.42048797,0.9177983,1.757219,0.91732866,1.7704117,1.5457584,0.5699416,0.114859626,0.88543934,0.22187945,1.7761879,-1.0762185,-1.0485467,-0.9390675,0.425331,-1.2140423,0.6906014,-0.8160174,0.85814285
NCI-H2030,-3.6805043,-0.31814,-2.548678,1.6324681,0.07435151,0.22867376,-2.4495296,2.09985,0.0786708,-0.9831738,2.1866617,0.30244127,-2.496046,0.9827008,-0.5139887,1.019145,-0.102566086,-2.1648507,0.29260063,-1.6979377,-0.090709925,-1.3878584,-0.21651073,-0.56949127,0.09152899,-0.5714238,-1.3190974,1.1826459,1.0029539,-1.1941385,0.04003139,-0.8913548,-0.69184375,4.519296,-1.1114031,0.94001865,-1.0834181,1.0532413,1.1949475,0.42163128,-0.5636331,2.4762163,-0.9852854,1.0481797,0.43827432,1.0915385,1.7164602,0.538054,-0.7717299,-0.89504457,1.1000832,-0.28930876,-0.94972223,-0.47787982,0.862974,1.271636,-2.1791813,0.23864903,2.0688753,-0.48809916,-0.73640245,0.29482064,2.5751464,1.865064,2.239817,-1.3408303,0.31058204,-0.814698,-2.3871398,-1.0309341
JHUEM-3,1.3862911,-2.0129213,0.8572374,-0.517479,-1.4699144,-0.2107763,0.44975322,-0.33331278,-1.1153517,-0.83385354,-1.3336376,0.51345485,0.9296987,-0.0038727894,-1.0658524,-0.39372504,0.49351174,-0.8175099,0.32946232,1.1697117,1.1464734,0.41258243,-0.7704157,-0.56167585,2.925161,-0.91173494,0.44353175,0.4800014,-0.7342347,-0.3981884,-0.16336896,-0.071515776,0.1725068,1.8508929,0.56264746,2.5259414,-1.4442533,-1.7069199,1.0571386,-0.027298287,0.051135935,0.016113766,0.24499118,1.2377783,-0.23196407,1.632852,-0.24579835,1.2150496,-0.407619,1.1544459,-0.014270209,-1.546435,-0.35224414,1.1918198,-1.5362064,0.4245318,-1.0356011,1.4285355,-1.2168832,0.22981781,-0.4956447,0.9048807,0.54121447,0.05410571,0.043373734,-0.41614056,-0.38837644,-0.42949718,2.4395978,-1.248312
8-MG-BA,2.436536,-2.0796087,-1.2883143,-3.1276705,1.1370353,-0.523482,0.44803217,3.69857,-1.5755765,-0.70550627,0.090764716,2.4148781,2.1401737,1.3245224,2.9339538,-0.7092991,0.4555556,0.7903283,-0.5550426,5.05182,-0.72209984,-2.9066668,0.4385134,1.9730331,-2.032729,-0.36460125,-0.99715763,-2.1153512,-0.9689932,0.77388406,-1.5095054,-2.9065096,-1.7400563,0.90191126,0.68834025,2.3413336,1.5009154,-1.4583017,0.68192214,3.4622478,0.1844191,-2.581379,0.2887353,2.329446,-0.028451178,0.87793326,-0.07484618,1.4639271,0.67806315,0.36369446,2.115178,0.07646567,-0.06868435,-0.64753973,-0.15007862,-1.1592292,1.4882599,-0.2692827,0.33446598,-1.2138207,0.96428823,-2.8008378,-0.8437963,-0.1928824,1.6840085,-2.330037,-1.7429789,-0.19031517,-0.80979353,-2.022369
PLC/PRF/5,-1.558061,-0.47970456,-2.3794587,0.1300075,1.3362473,-0.40236467,-1.7845551,1.8857089,-0.9944949,0.33978578,2.2070448,-0.2463793,-2.1207285,1.9345053,-1.1157959,1.7220671,1.8304696,-1.5622749,-2.7130177,0.08837886,0.30873796,0.033075772,-1.1960865,0.14232035,-0.653976,-0.9747274,-1.9539658,0.30518606,3.5526223,-1.7940228,-0.69055736,0.18081255,-0.58074015,2.9232829,-1.5369052,-0.12948723,-1.5034255,-0.15342793,0.3388973,0.5995064,-0.9959527,1.8216807,0.3111433,0.44995788,0.09107473,-0.27990815,0.8165226,-0.4847927,-1.6448249,1.8813077,-1.4106121,-1.5250615,-0.3006546,-0.7107382,0.27083918,2.34336,-1.1808779,-0.004676936,2.1441216,-0.7600357,0.62842816,-0.97946227,2.282898,-0.31618944,0.8285884,-0.3578813,-0.04229467,0.7181993,-2.3494,-0.19628178
NCI-H226,-0.5285564,-1.1918297,0.72343713,0.8172528,-1.8936106,2.734061,-1.3857582,0.79002446,2.280994,0.38055775,-1.345016,-0.420546,1.0173197,-0.11480034,-0.18869987,0.08415429,-1.0733666,0.73103803,1.5956683,-0.7134359,-2.547157,1.0125713,2.143846,-0.90048057,-1.3477411,1.5698646,0.7640589,0.9875164,-0.36911672,0.64209867,-0.12118776,-1.1393301,0.7451849,-2.5054026,-0.27255163,-2.2512789,2.2001896,1.6331518,0.67445874,-0.4933058,1.6639979,-0.36967364,0.23941891,-0.14508091,0.17205137,0.5430642,-1.0253125,0.07290052,-1.8462313,-1.618559,0.017625898,-0.38858902,1.5239292,-2.6705036,-0.25705814,-1.724364,1.4349163,0.7876976,0.62431204,1.7551805,1.355426,-0.8145129,-1.8666912,-0.39387244,-1.1616142,2.9143815,0.66692007,0.5062726,-1.6239215,0.9138989
