,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69
PrEC LH,2.9986622,-1.1304876,1.1079627,1.7245219,-0.42238468,0.52361673,0.1290737,-3.3136103,0.52441436,-1.4934001,-2.5187635,-1.3272526,0.9773841,-0.26338756,2.02878,1.7783846,-0.48571482,-2.7690232,0.3893349,2.4983547,3.0308988,0.9701447,-0.75593287,-0.20460023,0.74336714,0.25271776,-0.4005209,-0.093508475,-2.003757,-2.821508,-1.1076428,1.3937844,1.7054081,1.3465722,0.4909091,4.2454524,-0.84766936,0.028310098,0.6731741,-0.643618,1.3142986,1.0503615,0.6210606,-0.57272923,1.0585786,1.4081054,0.82188565,0.38527584,0.93438834,0.010185823,0.39162147,-1.255815,-2.2459075,1.881614,-2.1623125,0.4084674,-0.85163575,0.64888823,-0.38686812,0.4328561,-2.4750116,1.5849261,0.3653277,0.24560742,0.8484328,-0.2731932,0.6142239,1.3058306,0.56190014,-1.4200348
KOPN-8,-0.06229911,-0.21378471,1.040648,-0.19499974,-0.42654848,-0.43360347,1.2442483,-0.3576281,0.122823745,-0.46955693,0.027786817,-1.9166868,-1.9991982,-3.9434588,3.396357,0.061987013,0.35133508,0.39053115,-0.17561421,0.7658614,0.5897638,-1.178977,-2.1735935,1.6036795,0.25731578,-0.4802298,0.861577,-0.2121945,-0.09768232,-1.171909,1.5073873,0.54803085,0.36325476,0.73171836,-1.0445892,-0.57586944,-0.3372267,0.31894916,1.4936754,-2.908329,-0.91801214,-0.3427309,-0.24366692,-1.1803101,-0.29095423,-0.80774575,-3.6018782,2.7416568,-2.0894063,-0.42035317,-0.23285693,0.6298776,-2.2331738,2.660534,1.4699283,2.820523,1.1232882,1.8750411,-1.1836059,0.9921788,-0.47031397,0.90087336,-1.2985562,-0.6113974,-1.6678952,0.5222672,-0.9462729,-1.6997976,0.38574216,-1.9632928
Hs 229.T,1.4154737,0.29165685,-0.8475272,-0.4558954,1.1024847,-0.016441172,-1.5420424,1.5005041,0.14941485,-0.33771163,-1.0928838,-0.49202687,0.09040058,-0.51795524,-0.61433876,-0.14931847,0.050448384,-0.27714086,-1.8360211,0.5000492,-2.1482062,-0.39178202,1.4544437,-2.379625,-0.39122206,-0.0858506,-1.3647337,0.8672279,0.1440236,-0.32737592,-2.0534673,1.1449617,-1.8766828,-1.8488865,-0.35488698,-0.8405337,0.2907487,-0.8215212,-0.96428454,-0.8241537,1.155547,0.08869662,-1.0958893,1.0692,-1.344968,0.30553547,0.0026835948,-0.38219,-0.74587107,0.723386,-0.0159765,1.5636398,0.935522,-1.6008172,-0.5488701,-1.6502552,-0.060499437,1.103253,-1.0848804,0.15602627,-1.3793049,-0.72505206,0.51580244,-0.8942054,-2.2062254,1.5420641,1.8983426,0.04651792,0.3589569,-1.0572182
Panc 10.05,-0.87914366,-1.2849008,0.08646161,-0.5200546,-0.22715653,0.4684432,-1.7536365,0.7846918,-0.041752383,0.7910654,-0.3535519,0.036239907,-1.5623038,0.47620833,1.3231913,0.593353,-1.4773115,-0.22821629,0.27723667,-3.776839,-1.15246,-0.46902385,1.0175847,-0.97681946,-1.3131132,-1.4024194,0.41743934,1.6930456,-1.049243,-0.65414137,0.94707024,-0.42409623,-0.9283126,0.4701198,-0.26203874,0.19311629,-0.4857157,0.7700339,-1.1452237,1.2447207,-2.0029523,0.56037515,1.2237939,0.5322188,0.25811526,-1.5551395,0.6706882,-0.2898522,-0.03785511,-1.409105,1.8708346,0.852683,0.89023966,-0.9157116,0.33229294,0.282879,-2.8763423,-0.3933895,0.3243124,3.1829896,0.035124514,0.88167244,-0.2439427,-0.54706633,1.1665283,0.39279842,-0.35527673,-1.3529993,-0.715618,1.4025937
NCI-H727,-0.46854225,0.9488483,0.44823924,-0.99759394,1.1372602,1.9739106,3.4755116,1.2316515,0.47169045,0.47207332,0.62527406,-0.190092,-0.85771245,-2.182105,0.2813961,0.3938524,0.6114464,1.7544568,-3.2868564,2.9335241,1.0237529,-0.18138477,-0.799527,0.37899056,-0.22840405,-0.97606623,1.1130114,1.9014629,-0.6804626,-1.606561,0.4391334,1.9968916,-1.2061498,1.2350092,-1.4173119,-0.8806589,0.17540213,-2.3754833,1.5890204,1.022589,-0.21711996,0.11899182,-0.5852524,1.0121164,-0.32005516,-2.780212,0.25390983,-1.531919,-0.030747255,1.7881274,0.5487762,-0.36502087,-0.1407859,2.7871096,-1.4032534,1.5724632,-1.6519947,0.8807442,-1.1254083,-0.5618257,1.1694357,0.6413964,0.6685544,-2.2860622,2.700493,-1.235647,-2.1372192,1.8838148,-0.9096797,-0.9831407
U266B1,1.8392693,-1.3711087,-0.4965345,0.42819816,2.5624094,0.57553923,-3.8232121,-0.043895885,-1.749978,-0.29962975,0.3627117,1.9558362,-0.85481286,0.97272825,3.326039,-0.4434419,-0.87842786,0.97434205,0.9646475,1.6148254,0.5149045,-2.3246531,2.8427207,4.7244897,-4.60348,-0.6586671,-0.4458603,-0.53387666,1.6072912,-2.5431836,-1.6974281,-2.2335634,-2.2503638,0.5107459,-0.82984436,2.07414,-0.7391559,4.8288703,0.26137432,2.1718612,-2.6566148,-0.060970396,-0.93549436,0.36472735,1.3640054,-0.6621238,1.2579983,1.8652108,0.8850433,-0.03911077,-1.5231493,1.4038321,-0.33800507,-0.37939692,1.7166525,-2.2636693,-0.6621952,-0.22332567,-0.14679998,1.0604403,-1.2144724,-1.7479422,0.92946804,-1.7641486,1.0005819,-1.5051787,-0.3139834,-3.6775448,-1.7385833,-0.1640391
F5,0.1255477,1.1054,-0.25392628,1.8189523,-0.03108496,0.096186675,-1.2251732,-2.2149265,-1.53545,0.6474236,-0.4224641,-0.015925433,-2.056289,-0.94756377,-0.45132464,1.630317,-0.8093358,-0.72020626,-1.6205938,1.7405175,1.7382641,0.8961148,1.1585097,-0.28892398,-1.0084398,1.1268162,0.54566246,-0.6871156,-0.5914942,-0.356259,0.67711896,0.69884706,0.6729326,-0.12461453,-1.5228825,1.3189852,-1.0062082,-0.25378877,0.76656276,-0.3607028,1.0838751,-0.09999962,-1.0547309,0.7270756,-0.32500735,1.8548076,-0.6320932,-0.22664824,-1.451331,-0.8500376,-0.39977217,-0.085355595,-0.40488023,2.3875172,0.060272604,0.23951453,0.30850518,-0.33436346,0.20803097,-1.7205434,-1.5972621,0.79017097,0.027602602,-0.6511287,1.520476,0.2705679,2.6386373,1.003837,0.73392147,-1.3237851
HuH-6 Clone 5,-0.7611457,-0.46678373,-0.1550988,0.24238119,0.9667871,0.05626324,-1.883781,-0.7153219,-0.84569186,-1.8026564,1.0218415,1.7284822,-1.8891978,-0.6084277,0.29890504,1.2249608,0.34712628,-1.2038633,-0.8089529,0.44397244,2.1716459,0.121903636,0.58869874,1.7851409,0.86013484,-0.60294694,-1.2248818,0.9817044,4.6448064,-1.8711686,-1.9075432,-1.6440374,1.9134945,1.3081176,-1.0055883,-0.45086998,-1.4835885,-0.64601684,-1.7540982,-1.174711,0.37114412,-2.5593739,0.8053312,-1.2008444,0.92793053,-0.86425304,0.2984451,-1.0374544,-0.9054662,1.9504097,-0.807366,-1.1059791,-2.5239882,-1.6193861,0.5870241,-0.42907235,2.0323696,-0.82477367,-0.13374844,-1.3916924,0.56640244,-1.6748456,-0.49297917,0.25875044,-2.1733336,2.4599917,2.2591515,0.5235265,1.3283575,-0.042879224
OS-RC-2,2.9300961,-4.07982,0.21432036,-0.14815708,-0.79341394,1.472413,-1.1761153,2.3899205,-1.0361304,1.2792797,-0.7761121,0.5676949,2.114317,2.1197782,-0.5661573,-0.6122595,-1.8274235,0.08699057,1.4933914,4.1012397,-1.7426256,0.12711301,0.81896085,0.14937791,-2.6289818,2.8270965,-0.08144581,-0.84094214,0.106164575,-0.25204006,-1.5723534,-1.834192,-0.7070382,-1.3586926,-0.19859275,-1.3689171,0.90837365,-0.39927405,2.7351623,2.780154,1.1499895,-1.0838784,2.5036438,1.5606358,-0.3407821,0.5470126,0.44624025,1.5756059,-0.46464172,0.58406156,-0.45014593,-0.5330096,0.7968484,-0.35519752,-1.3883983,-0.8521859,0.611538,-0.72355413,0.0949177,-0.121079765,1.616089,-0.47458425,0.28319427,-0.17733032,1.0423142,-2.2114475,-0.7231083,0.88786834,-3.7010207,-1.518756
SLR25,0.43440613,-1.0599777,1.3350995,0.99438465,0.054075222,1.4940244,-1.7318542,0.18800806,0.106524006,0.63703316,-1.5174108,-1.5220104,-1.1224889,-1.2002145,-0.2574639,0.9937014,-1.3004718,-1.2364324,-0.035224877,1.3000368,-1.0527925,1.6946642,0.59828734,-0.9469394,0.19917469,-0.5959811,2.7342553,1.2345606,0.06982264,-1.9517086,-1.0113578,-0.17268507,-0.23723982,-0.6162531,-0.78349185,0.51253104,-0.68750495,-1.3985392,1.7544532,-0.4097243,1.7522596,0.5708994,0.85638404,-0.3664552,0.46250412,0.805143,-1.6365486,0.9438503,-0.6751292,0.81998247,-1.1699454,-1.2840899,-1.1378961,1.99009,-0.035468273,0.9769405,-0.81669027,-0.001580759,0.5313555,0.51073366,-1.0527018,0.6411843,-0.9378173,-1.8782831,0.78888583,3.4805026,1.3687788,1.4064633,-0.45633912,-1.5895891
