target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,0.0061406987,IntegratedGradients
Erlotinib,0,,all,NF1,0.0027889365,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.0027222617,IntegratedGradients
Erlotinib,0,,all,APC,0.001052662,IntegratedGradients
Erlotinib,0,,all,KRAS,0.009323942,IntegratedGradients
Erlotinib,0,,all,TP53,0.023894766,IntegratedGradients
Erlotinib,0,,all,NF2,0.0010405227,IntegratedGradients
Erlotinib,0,,all,PTEN,0.012189025,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.0021401867,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.010571783,IntegratedGradients
Erlotinib,0,,all,CDH1,0.00350075,IntegratedGradients
Erlotinib,0,,all,CTNNB1,0.0031089834,IntegratedGradients
Erlotinib,0,,all,BRAF,0.006832683,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.0010360226,IntegratedGradients
Erlotinib,0,,all,NRAS,0.0050737644,IntegratedGradients
Erlotinib,0,,all,NOTCH1,0.005210212,IntegratedGradients
