target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,MSH6,0.00021994903,IntegratedGradients
Erlotinib,0,,all,APC,0.0013725305,IntegratedGradients
Erlotinib,0,,all,TP53,0.0014487965,IntegratedGradients
Erlotinib,0,,all,PTEN,0.0006157959,IntegratedGradients
Erlotinib,0,,all,BRAF,0.00048486778,IntegratedGradients
Erlotinib,0,,all,NF1,0.0002585832,IntegratedGradients
Erlotinib,0,,all,NF2,0.0007034865,IntegratedGradients
Erlotinib,0,,all,KRAS,0.0021504415,IntegratedGradients
Erlotinib,0,,all,CDKN2A,0.00016401225,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.0005204644,IntegratedGradients
Erlotinib,0,,all,PIK3CA,0.0009787427,IntegratedGradients
Erlotinib,0,,all,STK11,0.00015831974,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.00022270597,IntegratedGradients
Erlotinib,0,,all,NOTCH1,0.0007790618,IntegratedGradients
Erlotinib,0,,all,CDH1,0.0002615994,IntegratedGradients
Erlotinib,0,,all,EGFR,0.0024108978,IntegratedGradients
Erlotinib,0,,all,MAP2K4,0.00038116015,IntegratedGradients
Erlotinib,0,,all,RB1,0.0010060898,IntegratedGradients
Erlotinib,0,,all,SOX10,0.00020204061,IntegratedGradients
Erlotinib,0,,all,CD53,0.00027175547,IntegratedGradients
Erlotinib,0,,all,MLANA,0.00012486112,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.0003541585,IntegratedGradients
Erlotinib,0,,all,YAP1,0.00030654122,IntegratedGradients
Erlotinib,0,,all,MZB1,0.00026469165,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0005745708,IntegratedGradients
Erlotinib,0,,all,ESRP1,0.00053737685,IntegratedGradients
Erlotinib,0,,all,MYB,0.0005144547,IntegratedGradients
Erlotinib,0,,all,CCN1,0.00038901487,IntegratedGradients
Erlotinib,0,,all,SPI1,0.0003601625,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.0006657084,IntegratedGradients
Erlotinib,0,,all,PHOX2A,0.00012063171,IntegratedGradients
Erlotinib,0,,all,CD52,0.00029867116,IntegratedGradients
Erlotinib,0,,all,SPIB,0.0001400068,IntegratedGradients
Erlotinib,0,,all,GJB3,0.00073815277,IntegratedGradients
Erlotinib,0,,all,IRF6,0.0006572149,IntegratedGradients
Erlotinib,0,,all,GNG12,0.0006614242,IntegratedGradients
Erlotinib,0,,all,S100A14,0.00038675152,IntegratedGradients
Erlotinib,0,,all,CHGA,0.00028609004,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00035529683,IntegratedGradients
Erlotinib,0,,all,AZU1,0.00012435156,IntegratedGradients
Erlotinib,0,,all,ASCL1,0.00015646456,IntegratedGradients
Erlotinib,0,,all,EPN3,0.00031430763,IntegratedGradients
Erlotinib,0,,all,AXL,0.0007602232,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.00060766283,IntegratedGradients
Erlotinib,0,,all,IFFO1,0.00027157593,IntegratedGradients
Erlotinib,0,,all,MAP7,0.0004905276,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.0003033636,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.00034699787,IntegratedGradients
Erlotinib,0,,all,KLF5,0.00047321522,IntegratedGradients
Erlotinib,0,,all,LAIR1,0.0002525281,IntegratedGradients
Erlotinib,0,,all,HOOK1,0.00036940275,IntegratedGradients
Erlotinib,0,,all,LCP2,0.00024683317,IntegratedGradients
Erlotinib,0,,all,MPZL2,0.0009510784,IntegratedGradients
Erlotinib,0,,all,MST1R,0.00048751401,IntegratedGradients
Erlotinib,0,,all,SDC4,0.00054835045,IntegratedGradients
Erlotinib,0,,all,RASGRP2,0.00036978422,IntegratedGradients
Erlotinib,0,,all,LLGL2,0.00028420688,IntegratedGradients
Erlotinib,0,,all,TPM1,0.0006448602,IntegratedGradients
Erlotinib,0,,all,WIPF1,0.0003023981,IntegratedGradients
Erlotinib,0,,all,ZEB1,0.0011177319,IntegratedGradients
Erlotinib,0,,all,VPREB1,0.00016668766,IntegratedGradients
Erlotinib,0,,all,LYZ,0.00038856277,IntegratedGradients
Erlotinib,0,,all,SFN,0.00040525425,IntegratedGradients
Erlotinib,0,,all,PKP3,0.00076768256,IntegratedGradients
Erlotinib,0,,all,DNTT,0.00020354034,IntegratedGradients
Erlotinib,0,,all,CAV1,0.00046235704,IntegratedGradients
Erlotinib,0,,all,ELF3,0.0003492244,IntegratedGradients
Erlotinib,0,,all,BLNK,0.00038000598,IntegratedGradients
Erlotinib,0,,all,AGR2,0.00030585614,IntegratedGradients
Erlotinib,0,,all,DSP,0.0004846248,IntegratedGradients
Erlotinib,0,,all,GPX2,0.00035879153,IntegratedGradients
Erlotinib,0,,all,LOXL2,0.00086986314,IntegratedGradients
Erlotinib,0,,all,FLI1,0.00040486243,IntegratedGradients
Erlotinib,0,,all,PLEK,0.00028843942,IntegratedGradients
Erlotinib,0,,all,PIM2,0.00032304556,IntegratedGradients
Erlotinib,0,,all,DDR1,0.00043834286,IntegratedGradients
Erlotinib,0,,all,S100A2,0.0021844315,IntegratedGradients
Erlotinib,0,,all,FOSL1,0.0004318179,IntegratedGradients
Erlotinib,0,,all,CYTIP,0.00066245714,IntegratedGradients
Erlotinib,0,,all,GPR87,0.00042104878,IntegratedGradients
Erlotinib,0,,all,S100P,0.0002772886,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.00027311506,IntegratedGradients
Erlotinib,0,,all,CALD1,0.0002866959,IntegratedGradients
Erlotinib,0,,all,CD3D,0.00017567014,IntegratedGradients
Erlotinib,0,,all,PDGFRB,0.00034717715,IntegratedGradients
Erlotinib,0,,all,LY86,0.0004612389,IntegratedGradients
Erlotinib,0,,all,RND3,0.00025225236,IntegratedGradients
Erlotinib,0,,all,ATP1B1,0.00039370093,IntegratedGradients
Erlotinib,0,,all,LMNA,0.00023281932,IntegratedGradients
Erlotinib,0,,all,GPRC5A,0.00032426647,IntegratedGradients
Erlotinib,0,,all,TEAD1,0.00057058455,IntegratedGradients
