target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.003045531,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.0013745452,IntegratedGradients
Erlotinib,0,,mutation,APC,0.0044996706,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.0073893513,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.0025700023,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.004790577,IntegratedGradients
Erlotinib,0,,mutation,NF2,0.0017041541,IntegratedGradients
Erlotinib,0,,mutation,CDKN2A,0.0012643083,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.004470159,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0029035336,IntegratedGradients
Erlotinib,0,,mutation,PIK3CA,0.0018601273,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.00043757109,IntegratedGradients
Erlotinib,0,,mutation,MAP2K4,0.001008902,IntegratedGradients
Erlotinib,0,,mutation,CDH1,0.0009392721,IntegratedGradients
Erlotinib,0,,mutation,STK11,0.0013655366,IntegratedGradients
Erlotinib,0,,mutation,NRAS,0.0025198022,IntegratedGradients
Erlotinib,0,,mutation,CTNNB1,0.0013825317,IntegratedGradients
Erlotinib,0,,mutation,NOTCH1,0.006015113,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.0028861656,IntegratedGradients
Erlotinib,0,,cnv,MIR296,0.0002931211,IntegratedGradients
Erlotinib,0,,cnv,LUZP6,0.00045019854,IntegratedGradients
Erlotinib,0,,cnv,SNORA22,0.000669444,IntegratedGradients
Erlotinib,0,,cnv,NUPL2,0.00065780355,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,0.00031080082,IntegratedGradients
Erlotinib,0,,cnv,RNASEH2C,0.00030000164,IntegratedGradients
Erlotinib,0,,cnv,SLC24A4,0.00073258864,IntegratedGradients
Erlotinib,0,,cnv,SNF8,0.00027737912,IntegratedGradients
Erlotinib,0,,cnv,RGN,0.00020989067,IntegratedGradients
Erlotinib,0,,cnv,DEFB116,0.0015706313,IntegratedGradients
Erlotinib,0,,cnv,HKR1,0.0063652666,IntegratedGradients
Erlotinib,0,,cnv,RNF19A,0.0027459033,IntegratedGradients
Erlotinib,0,,cnv,RBMY1A3P,0.0014744842,IntegratedGradients
Erlotinib,0,,cnv,MIR298,0.00035773034,IntegratedGradients
Erlotinib,0,,cnv,GNAS-AS1,0.0007471326,IntegratedGradients
Erlotinib,0,,cnv,NPEPL1,0.00017861881,IntegratedGradients
Erlotinib,0,,cnv,STX16,0.00030756742,IntegratedGradients
Erlotinib,0,,cnv,LOC100506384,0.0007383913,IntegratedGradients
Erlotinib,0,,cnv,APCDD1L-DT,0.00019800453,IntegratedGradients
Erlotinib,0,,cnv,RAB22A,0.00045911752,IntegratedGradients
Erlotinib,0,,cnv,APCDD1L,0.00016460849,IntegratedGradients
Erlotinib,0,,cnv,VAPB,0.00018800357,IntegratedGradients
Erlotinib,0,,cnv,BCAS4,0.0003219038,IntegratedGradients
Erlotinib,0,,cnv,PARD6B,0.00032932535,IntegratedGradients
Erlotinib,0,,cnv,LINC00494,0.00024449278,IntegratedGradients
Erlotinib,0,,cnv,ZNF217,0.0012865174,IntegratedGradients
Erlotinib,0,,cnv,SUMO1P1,0.0007367517,IntegratedGradients
Erlotinib,0,,cnv,DOK5,0.0003926098,IntegratedGradients
Erlotinib,0,,cnv,GNAS,0.0008790338,IntegratedGradients
Erlotinib,0,,cnv,SULF2,0.00015108364,IntegratedGradients
Erlotinib,0,,cnv,BCAS1,0.0003812945,IntegratedGradients
Erlotinib,0,,cnv,PPP4R1L,0.00052617973,IntegratedGradients
Erlotinib,0,,cnv,BMP7,0.000779071,IntegratedGradients
Erlotinib,0,,cnv,MIR4756,0.0009038495,IntegratedGradients
Erlotinib,0,,cnv,FAM209B,0.0006888393,IntegratedGradients
Erlotinib,0,,cnv,FAM209A,0.00036275812,IntegratedGradients
Erlotinib,0,,cnv,CSTF1,0.00069975725,IntegratedGradients
Erlotinib,0,,cnv,CASS4,0.0010247198,IntegratedGradients
Erlotinib,0,,cnv,AURKA,0.0010500837,IntegratedGradients
Erlotinib,0,,cnv,FAM210B,0.0007017174,IntegratedGradients
Erlotinib,0,,cnv,ADNP,0.00021494781,IntegratedGradients
Erlotinib,0,,cnv,GCNT7,0.00053133926,IntegratedGradients
Erlotinib,0,,cnv,RIPOR3,0.00030679296,IntegratedGradients
Erlotinib,0,,cnv,MIR645,0.00032471088,IntegratedGradients
Erlotinib,0,,cnv,RTF2,0.0004942838,IntegratedGradients
Erlotinib,0,,cnv,PREX1,0.0005890225,IntegratedGradients
Erlotinib,0,,cnv,NCOA3,0.0011675381,IntegratedGradients
Erlotinib,0,,cnv,LOC100131496,0.00050795317,IntegratedGradients
Erlotinib,0,,cnv,DPM1,0.0005441924,IntegratedGradients
Erlotinib,0,,cnv,CYP24A1,0.00048393954,IntegratedGradients
Erlotinib,0,,cnv,ATP9A,0.0007401976,IntegratedGradients
Erlotinib,0,,cnv,MOCS3,0.00022881612,IntegratedGradients
Erlotinib,0,,cnv,PFDN4,0.000407056,IntegratedGradients
Erlotinib,0,,cnv,PMEPA1,0.0013737506,IntegratedGradients
Erlotinib,0,,cnv,KCNG1,0.0006974087,IntegratedGradients
Erlotinib,0,,cnv,ZBP1,0.0010603458,IntegratedGradients
Erlotinib,0,,cnv,MIR4325,0.0016098634,IntegratedGradients
Erlotinib,0,,cnv,MTRNR2L3,0.0013168552,IntegratedGradients
Erlotinib,0,,cnv,RAE1,0.0014789203,IntegratedGradients
Erlotinib,0,,cnv,SPO11,0.0013852939,IntegratedGradients
Erlotinib,0,,cnv,PCK1,0.0015858328,IntegratedGradients
Erlotinib,0,,cnv,CBLN4,0.0013099872,IntegratedGradients
Erlotinib,0,,cnv,C20orf85,0.0009779006,IntegratedGradients
Erlotinib,0,,cnv,PTPN1,0.00038365662,IntegratedGradients
Erlotinib,0,,cnv,MC3R,0.001348877,IntegratedGradients
Erlotinib,0,,cnv,RBM38,0.0015882854,IntegratedGradients
Erlotinib,0,,cnv,MIR3194,0.0042082546,IntegratedGradients
Erlotinib,0,,cnv,CTCFL,0.0015150246,IntegratedGradients
Erlotinib,0,,cnv,SALL4,0.000686528,IntegratedGradients
Erlotinib,0,,cnv,GMEB2,0.0005092371,IntegratedGradients
Erlotinib,0,,cnv,TSHZ2,0.0017161276,IntegratedGradients
Erlotinib,0,,cnv,NFATC2,0.0005902404,IntegratedGradients
Erlotinib,0,,cnv,FNDC11,0.00036979615,IntegratedGradients
Erlotinib,0,,cnv,SRMS,0.00024369576,IntegratedGradients
Erlotinib,0,,cnv,KCNQ2,0.0011801866,IntegratedGradients
Erlotinib,0,,cnv,NELFCD,0.0004436132,IntegratedGradients
Erlotinib,0,,cnv,ZNF831,0.00022506948,IntegratedGradients
Erlotinib,0,,cnv,ABHD16B,0.00034921296,IntegratedGradients
Erlotinib,0,,cnv,TPD52L2,0.0005272074,IntegratedGradients
Erlotinib,0,,cnv,ARFGEF2,0.00028720888,IntegratedGradients
Erlotinib,0,,cnv,HELZ2,0.00054308155,IntegratedGradients
Erlotinib,0,,cnv,LINC01270,0.00039552271,IntegratedGradients
Erlotinib,0,,cnv,TUBB1,0.00016856525,IntegratedGradients
Erlotinib,0,,cnv,SLMO2-ATP5E,0.00020563816,IntegratedGradients
Erlotinib,0,,cnv,ATP5F1E,0.00035229154,IntegratedGradients
Erlotinib,0,,cnv,PRELID3B,0.00035846577,IntegratedGradients
Erlotinib,0,,cnv,RTEL1,0.0006129112,IntegratedGradients
Erlotinib,0,,cnv,RTEL1-TNFRSF6B,0.00040548012,IntegratedGradients
Erlotinib,0,,cnv,ARFRP1,0.0003420606,IntegratedGradients
Erlotinib,0,,cnv,LIME1,0.0004272739,IntegratedGradients
Erlotinib,0,,cnv,TNFRSF6B,0.0004136362,IntegratedGradients
Erlotinib,0,,cnv,ZGPAT,0.00061301386,IntegratedGradients
Erlotinib,0,,cnv,SLC2A4RG,0.0005475541,IntegratedGradients
Erlotinib,0,,cnv,ZBTB46,0.0003202101,IntegratedGradients
Erlotinib,0,,cnv,CDH26,0.0013016089,IntegratedGradients
Erlotinib,0,,cnv,PPP1R3D,0.0015268713,IntegratedGradients
