feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1CF,0.0,0.7507956694974248,True,0.005117907106312429,True
A2M,0.0,2.4705045816430578,True,0.04296281542517192,False
A2M-AS1,,,,0.0908730577692695,False
A4GALT,0.0,0.11285058754178492,False,,
A4GNT,0.0,0.027380002006847953,False,,
AAAS,0.0,0.2568226031216448,False,,
AACS,0.0,0.6493180914498895,True,0.06871911287947975,False
AACSP1,,,,0.11257002664980723,False
AADAC,0.0,0.5009152319981586,True,0.05452048306664336,False
AADACP1,,,,0.06823034984890772,False
AADAT,,,,0.06993758422980648,False
AAGAB,0.0,0.14581537996735777,False,,
AAK1,0.0,0.05012612279752732,False,,
AAMDC,0.0,0.3765882636005902,False,0.07845259590795699,False
AAMP,0.0,0.25182138692296413,False,,
AANAT,0.0,0.05457020650915999,False,,
AAR2,0.0,0.2450439815987984,False,,
AARS1,0.0,0.6422566951265695,True,0.08286854742252946,False
AARS2,,,,0.07440393296263254,False
AASDHPPT,0.0,0.45533915383442536,True,,
AASS,0.0,0.3774777603735969,False,0.05713673793803374,False
AATF,0.0,0.299535981033834,False,,
AATK,0.0,0.1796825020482131,False,,
ABAT,0.0,1.1286420660554057,True,0.06442545709206784,False
ABCA1,0.0,1.4962653159124981,True,0.06482181321827134,False
ABCA11P,0.0,0.24745351030917917,False,0.10455093661499568,False
ABCA12,0.0,0.3116672963878397,False,0.05356671275193447,False
ABCA13,,,,0.06316517743794878,False
ABCA17P,,,,0.10191672606926855,False
ABCA2,0.0,0.11745013343474875,False,,
ABCA3,0.0,1.0818125046584748,True,0.029057520803539513,False
ABCA4,0.0,0.277260503765033,False,,
ABCA5,0.0,0.7663931491758981,True,0.06227323194944575,False
ABCA6,0.0,0.08148724568939503,False,0.05235338517947903,False
ABCA7,0.0,0.2861632690045332,False,0.05512388974859275,False
ABCA8,0.0,0.8600155422709612,True,0.06474502221217746,False
ABCB1,0.0,1.6325294015311735,True,0.05601655061386472,False
ABCB10,,,,0.0681740492336065,False
ABCB11,0.0,0.01475845182081039,False,,
