method,var,variable_type,metric,value
DirectPred,Erlotinib,numerical,mse,0.004837254993617535
DirectPred,Erlotinib,numerical,r2,0.20616328735623005
DirectPred,Erlotinib,numerical,pearson_corr,0.4540520755995176
