feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.007760181820703333,True
AATK,,,,0.023710433791008796,True
ABCA3,,,,0.0041072170865032636,True
ABCC3,,,,0.020069903103613267,True
ABCC4,,,,0.01642543359289111,True
ABI1,,,,0.02140444019409869,True
ABL1,,,,0.016437662312516355,True
ABL2,,,,0.02408661430637998,True
ACACA,,,,0.016755980465774006,True
ACACB,,,,0.009996847377412814,True
ACSL6,,,,0.04954615990744296,False
ACVR2A,,,,0.020895549267771037,True
ADAM12,,,,0.021202825488793545,True
ADAM17,,,,0.027301796991723335,False
ADAM18,,,,0.027333472013542078,False
ADAM22,,,,0.035984645862250045,False
ADAM28,,,,0.012903794601977318,True
ADAM29,,,,0.030010926409458814,False
ADAM32,,,,0.03071633368700221,False
ADAMTS18,,,,0.008608555382960542,True
ADAMTS19,,,,0.011705196684126926,True
ADAMTS2,,,,0.013722937354861018,True
ADAMTS20,,,,0.0167103555514001,True
ADAMTSL3,,,,0.009044734391370383,True
ADARB2,,,,0.05177663737006175,False
ADCK1,,,,0.03696052624234876,False
AFF1,,,,0.03226240582261774,False
AFF3,,,,0.008907382435820546,True
AFF4,,,,0.022898886144520583,True
AGAP2,,,,0.017765963760374596,True
AIFM3,,,,0.053591243654218614,False
AIM1,,,,0.024639427834094303,True
AKAP12,,,,-0.0042265527734731715,True
AKAP4,,,,0.04058441683933568,False
AKAP6,,,,0.005151126325791916,True
AKAP9,,,,0.012210567789762915,True
AKT2,1.0,,False,,
ALK,0.0,0.0042312608436076305,False,0.026249294132137002,False
ALPK1,,,,0.030752367600200226,False
ALPK2,,,,0.01198136622972773,True
ALPK3,,,,0.03387888359275775,False
ALS2,,,,0.030485568476660462,False
AMHR2,,,,0.0031103157132961906,True
ANAPC5,,,,0.027737928259229085,False
ANKK1,,,,0.030937406974493216,False
APAF1,,,,0.043373678838655984,False
APC,0.0,0.04584266601488154,True,0.004705629230350071,True
AR,,,,0.021940638774653954,True
ARAF,,,,0.03404208792665372,False
ARFGEF1,,,,0.012208430479329123,True
ARHGAP29,,,,0.041159628265033554,False
ARHGEF10,,,,0.016909273053843252,True
ARHGEF12,,,,0.029952376672550605,False
ARHGEF7,,,,0.02980611405732158,False
ARID1A,,,,0.012750819267938052,True
ARNT,,,,0.029137492637396283,False
ASPH,,,,0.022147448005521923,True
ASTN1,,,,0.025610323939466967,False
ATM,,,,0.002881992403973327,True
ATP10A,,,,0.016555630645604953,True
ATP11A,,,,0.014959356439590487,True
ATP13A5,,,,0.015407279972405511,True
ATP8B1,,,,0.02883863061242619,False
ATR,,,,0.010760022476853018,True
ATRX,,,,0.011555056174047111,True
AXIN1,,,,0.053119092462694605,False
AXIN2,,,,0.022742799421219755,True
AXL,,,,0.030514203745016184,False
BAI1,,,,0.024719502124294513,True
BAI3,,,,0.014660374898446127,True
BAP1,,,,0.025050406706435175,True
BAT3,,,,0.026222677015386338,False
BAX,,,,0.03425242934055681,False
BCL11A,,,,0.01394439419524638,True
BCL11B,,,,0.029672598785110412,False
BCL6,,,,0.020401104579622742,True
BCL9,,,,0.0179605827023331,True
BCR,,,,0.023634489810056038,True
BIRC2,,,,0.011685536008361974,True
BIRC6,,,,0.021814983323821074,True
BLM,,,,0.005311672867868605,True
BLNK,,,,0.043045944965367795,False
BMP2K,,,,0.031043480568050848,False
BMP4,,,,0.05086012824128468,False
BMPR1A,,,,0.032508611053760204,False
BMPR2,,,,0.01654941113546171,True
BRAF,0.0,0.0801174815984229,True,0.010596269119025848,True
BRCA1,0.0,0.0028248474382039576,False,0.023788786923058105,True
BRCA2,0.0,0.008426459805025422,False,0.01074751186662652,True
BRD2,,,,0.022925991698908965,True
BRD3,,,,0.020913718630819974,True
BRD4,,,,0.0375208369483387,False
BRDT,,,,0.025182118647054334,True
BRIP1,,,,0.023353079336926635,True
BRSK1,,,,0.03771916125568411,False
BTK,,,,0.02867524784528714,False
BTRC,,,,0.03380275074456899,False
BUB1,,,,0.03372600908305282,False
BUB1B,,,,0.024416129215874334,True
C15orf2,,,,0.019726585727931976,True
C15orf55,,,,0.03710267064182666,False
C6orf97,,,,0.03603829202650401,False
CABC1,,,,0.014291095518695006,True
CACNA1F,,,,0.030011705611434878,False
CACNB2,,,,0.028337470391247864,False
CAD,,,,0.01800848892572338,True
CAMK4,,,,0.016623683668822855,True
CAMKV,,,,0.02752652051404481,False
CARD10,,,,0.01472223174704057,True
CARD11,,,,0.03731509213907494,False
CARS,,,,0.008634985375686638,True
CASC5,,,,0.006070005965247251,True
CASK,,,,0.035500747472273095,False
CASP8,,,,0.03968565674641223,False
CATSPERB,,,,0.016078267814080578,True
CBL,,,,0.03700354026087924,False
CCNA1,,,,0.039677531180956724,False
CCND1,1.0,,False,,
CCND2,1.0,,False,,
CCND3,1.0,,False,,
CCNT1,,,,0.024459089985437936,True
CDC42BPA,,,,0.02750179937780705,False
CDC42BPB,,,,0.025315652050108235,True
CDC42BPG,,,,0.02215882908481419,True
CDC5L,,,,0.031586362745416284,False
CDC7,,,,0.026546590875459165,False
CDH1,0.0,0.016708672081291495,True,0.02104154310074472,True
CDH11,,,,0.013027313475806275,True
CDH2,,,,0.0354657997265103,False
CDH3,,,,0.04993130058723778,False
CDK11B,,,,0.050367819157556365,False
CDK12,,,,0.02032031862349122,True
CDK13,,,,0.02617303924379871,False
CDK14,,,,0.023945448909029304,True
CDK18,,,,0.025345709708879303,True
CDK20,,,,0.07958856475266575,False
CDK4,1.0,,False,,
CDK6,1.0,,False,,
CDK8,,,,0.011957375259398282,True
CDKL2,,,,0.048264325999408796,False
CDKL3,,,,0.02179973409224683,True
CDKL5,,,,0.02544697189423461,True
CDKN2A,0.0,0.23893401076246837,True,0.010890118845822382,True
CDKN2C,0.0,0.013963962159064952,True,,
CDKN2a.p14.,0.0,0.22408853592765182,True,,
CDX2,,,,0.008999248352378546,True
CEP110,,,,0.013848104909549212,True
CHD1,,,,0.011102086493340916,True
CHD5,,,,0.026250441166969216,False
CHD8,,,,0.004825683337675741,True
CHD9,,,,0.007545917876767661,True
CHEK2,,,,0.025136757783709714,True
CHL1,,,,0.01240371535628159,True
CHUK,,,,0.01689956583938477,True
CIC,,,,0.017200827964948148,True
CIITA,,,,0.01585967431526821,True
CIT,,,,0.008390458359224034,True
CLTC,,,,0.013185799957916236,True
CLTCL1,,,,-0.038195127629167096,True
CNTN1,,,,0.023658751954117124,True
CNTN5,,,,0.005161709923583651,True
CNTN6,,,,0.029826909314859273,False
COL14A1,,,,0.008695313118168827,True
COL18A1,,,,0.031071448758923766,False
COL1A1,,,,0.024638458241309794,True
COL3A1,,,,0.02287427394224954,True
CPAMD8,,,,0.01224030823782712,True
CPNE5,,,,0.0349577159008565,False
CREB3L2,,,,0.018725521580289582,True
CREBBP,,,,0.012514494482572226,True
CRTC1,,,,0.034067980195215786,False
CSF1R,,,,0.02654337842929586,False
CSF3R,,,,0.01390022762653675,True
CSMD3,,,,0.005837853368598612,True
CSNK1A1L,,,,0.04899554412361212,False
CSNK1G3,,,,0.022161831861234802,True
CSPG4,,,,0.022504729668757065,True
CSPP1,,,,0.020395296374556372,True
CTBP2,,,,0.014507652308188282,True
CTNNA2,,,,0.016371857716557976,True
CTNNB1,0.0,0.018075016728706463,True,0.023824703911867653,True
CUBN,,,,0.01237702467239895,True
CYB5R4,,,,0.026319846210513295,False
CYFIP1,,,,0.021198787582290886,True
CYLD,0.0,0.0014144271570014138,False,0.02254302669738756,True
CYP1A2,,,,0.019633254908803903,True
CYP24A1,,,,0.03615843267776414,False
CYP27B1,,,,0.04625697932023579,False
CYP2B6,,,,0.01712322961880138,True
CYP3A4,,,,0.04517194725321219,False
DAB1,,,,0.04028747178457801,False
DACH1,,,,0.022072319444255067,True
DAPK1,,,,0.014246702596377078,True
DAXX,,,,0.020666610160513188,True
DBF4,,,,0.021389716988642015,True
DCLK1,,,,0.033965685765950174,False
DCLK2,,,,0.019383349049436747,True
DCLK3,,,,0.015771893128681935,True
DDR1,,,,0.03708808574930723,False
DDR2,,,,0.03290179000058356,False
DDX10,,,,0.039330196827991756,False
DDX6,,,,0.03453108529706971,False
DGKB,,,,0.01824981647488255,True
DICER1,,,,0.01593618416354959,True
DIP2C,,,,0.037729662098997314,False
DLC1,,,,0.019207785024084535,True
DNAH8,,,,0.006791225412307077,True
DNMT1,,,,0.018999528260959183,True
DNMT3B,,,,0.030127077262295004,False
DOCK3,,,,0.01087310146833643,True
DPYD,,,,0.016367879176121473,True
DRD2,,,,0.01821177244371413,True
DST,,,,0.004508553905301608,True
DSTYK,,,,0.028995962343231214,False
DVL1,,,,0.02681270646787328,False
DYRK1A,,,,0.02820333704946578,False
DYRK4,,,,0.01707290301736873,True
ECM1,,,,0.004388622570316608,True
EDNRB,,,,0.009786862396517722,True
EGF,,,,0.011223063148258761,True
EGFR,0.0,0.013963962159064952,True,0.027346416329161273,False
EHBP1,,,,0.00947280383481824,True
EIF2AK3,,,,0.016190907157745925,True
EIF2AK4,,,,0.024982838198424565,True
EIF3A,,,,0.007151477933213537,True
EIF4A1,,,,0.025551914553407603,True
EIF4B,,,,0.04938445218164269,False
EIF4G1,,,,0.014362399188373112,True
EML4,,,,0.03377341836322599,False
EP300,1.0,,False,0.01653278622835987,True
EPHA1,,,,0.031911662902486024,False
EPHA10,,,,0.012485811463707589,True
EPHA2,,,,0.03534028748359504,False
