feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.009825095135914263,True
AATK,,,,0.025133175470286085,True
ABCA3,,,,0.009145998832566084,True
ABCC3,,,,0.013901379753321057,True
ABCC4,,,,0.015574240506186898,True
ABI1,,,,0.02645902944665723,True
ABL1,,,,0.016924402548154444,True
ABL2,,,,0.03261661742819453,False
ACACA,,,,0.014643887724973175,True
ACACB,,,,0.01332788088233843,True
ACSL6,,,,0.045216828729726405,False
ACVR2A,,,,0.026652306295957495,True
ADAM12,,,,0.024092799841042102,True
ADAM17,,,,0.029441483438719163,False
ADAM18,,,,0.030481590675177916,False
ADAM22,,,,0.037934465655662684,False
ADAM28,,,,0.017740373132860685,True
ADAM29,,,,0.030168622974003842,False
ADAM32,,,,0.02784496196531644,True
ADAMTS18,,,,0.007348099370673842,True
ADAMTS19,,,,0.011441514837522251,True
ADAMTS2,,,,0.02068930004141422,True
ADAMTS20,,,,0.018704498679296848,True
ADAMTSL3,,,,0.010017053487861872,True
ADARB2,,,,0.05901343786886373,False
ADCK1,,,,0.042928476364458214,False
AFF1,,,,0.038187407287873266,False
AFF3,,,,0.006919459588189911,True
AFF4,,,,0.028191402834842824,False
AGAP2,,,,0.019733015115167205,True
AIFM3,,,,0.0462995255142666,False
AIM1,,,,0.03001801751138884,False
AKAP12,,,,-0.0014403841897926801,True
AKAP4,,,,0.0415188846951887,False
AKAP6,,,,0.009755533698959555,True
AKAP9,,,,0.011658546265438172,True
AKT2,1.0,,False,,
ALK,0.0,0.0042312608436076305,False,0.025382952782954254,True
ALPK1,,,,0.03511477516425325,False
ALPK2,,,,0.014033925080972042,True
ALPK3,,,,0.0364498180047388,False
ALS2,,,,0.03232330385168989,False
AMHR2,,,,0.005219900179293892,True
ANAPC5,,,,0.03534084636111281,False
ANKK1,,,,0.044918403780925355,False
APAF1,,,,0.05411412843658798,False
APC,0.0,0.04584266601488154,True,0.005975688742114355,True
AR,,,,0.02209499742465847,True
ARAF,,,,0.03844268144532568,False
ARFGEF1,,,,0.014139143416636466,True
ARHGAP29,,,,0.04193939163283665,False
ARHGEF10,,,,0.020558816841927383,True
ARHGEF12,,,,0.019739047935283298,True
ARHGEF7,,,,0.04304620607316711,False
ARID1A,,,,0.015434998567570893,True
ARNT,,,,0.03264487169153887,False
ASPH,,,,0.023511501521802782,True
ASTN1,,,,0.028772392283522494,False
ATM,,,,0.007685158154489721,True
ATP10A,,,,0.018386150706302454,True
ATP11A,,,,0.020474770308141547,True
ATP13A5,,,,0.01807838046392485,True
ATP8B1,,,,0.0292840716657688,False
ATR,,,,0.011953825720148028,True
ATRX,,,,0.013463496798743932,True
AXIN1,,,,0.046239158664627196,False
AXIN2,,,,0.02640161027149402,True
AXL,,,,0.03456850367468745,False
BAI1,,,,0.03198827514740233,False
BAI3,,,,0.01151451923653944,True
BAP1,,,,0.022922884629675337,True
BAT3,,,,0.027219768317523756,True
BAX,,,,0.03616141889240489,False
BCL11A,,,,0.014359837683169226,True
BCL11B,,,,0.029759993998110808,False
BCL6,,,,0.02608588779902893,True
BCL9,,,,0.014858584821957186,True
BCR,,,,0.026919121126787692,True
BIRC2,,,,0.01069631985145798,True
BIRC6,,,,0.02412652251623204,True
BLM,,,,0.0065907779095206905,True
BLNK,,,,0.04481689813388823,False
BMP2K,,,,0.0315385445695353,False
BMP4,,,,0.044367661137201087,False
BMPR1A,,,,0.03781071235568843,False
BMPR2,,,,0.015761761997674387,True
BRAF,0.0,0.0801174815984229,True,0.009616433180566025,True
BRCA1,0.0,0.0028248474382039576,False,0.03131665614843305,False
BRCA2,0.0,0.008426459805025422,False,0.011816540174276321,True
BRD2,,,,0.01714845021692934,True
BRD3,,,,0.025103612237837622,True
BRD4,,,,0.05883380737598827,False
BRDT,,,,0.020445649185919422,True
BRIP1,,,,0.02299851325169643,True
BRSK1,,,,0.04037338760929567,False
BTK,,,,0.04235186472905758,False
BTRC,,,,0.03605485936578929,False
BUB1,,,,0.042429248685883686,False
BUB1B,,,,0.018884784306259454,True
C15orf2,,,,0.02409087970784533,True
C15orf55,,,,0.03825499494193894,False
C6orf97,,,,0.04262496550996355,False
CABC1,,,,0.01846357453488443,True
CACNA1F,,,,0.03175856548129135,False
CACNB2,,,,0.031464157040343436,False
CAD,,,,0.02170242569427599,True
CAMK4,,,,0.01871438549337729,True
CAMKV,,,,0.016717318562248226,True
CARD10,,,,0.014073047187153178,True
CARD11,,,,0.03484251759771067,False
CARS,,,,0.008775601773023674,True
CASC5,,,,0.01277692663990003,True
CASK,,,,0.04116125800363515,False
CASP8,,,,0.035920809945338,False
CATSPERB,,,,0.018280885387975652,True
CBL,,,,0.04509483179715265,False
CCNA1,,,,0.054854124046997084,False
CCND1,1.0,,False,,
CCND2,1.0,,False,,
CCND3,1.0,,False,,
CCNT1,,,,0.03197898822347774,False
CDC42BPA,,,,0.026203678845938945,True
CDC42BPB,,,,0.029429985219496003,False
CDC42BPG,,,,0.021132649256459874,True
CDC5L,,,,0.028252314154386154,False
CDC7,,,,0.02919069059274384,False
CDH1,0.0,0.016708672081291495,True,0.0223093893537263,True
CDH11,,,,0.016154758522552114,True
CDH2,,,,0.03595770343137771,False
CDH3,,,,0.04909279043498337,False
CDK11B,,,,0.045249330976668334,False
CDK12,,,,0.016802951209407987,True
CDK13,,,,0.03549572597396174,False
CDK14,,,,0.027148653912668724,True
CDK18,,,,0.024140386536882497,True
CDK20,,,,0.08034703885951662,False
CDK4,1.0,,False,,
CDK6,1.0,,False,,
CDK8,,,,0.012705382359121596,True
CDKL2,,,,0.04939858213877071,False
CDKL3,,,,0.01479146843422972,True
CDKL5,,,,0.03166092786766638,False
CDKN2A,0.0,0.23893401076246837,True,0.011244273254838243,True
CDKN2C,0.0,0.013963962159064952,True,,
CDKN2a.p14.,0.0,0.22408853592765182,True,,
CDX2,,,,0.009422427556633398,True
CEP110,,,,0.014350904462677548,True
CHD1,,,,0.010423080100823878,True
CHD5,,,,0.0303094854377897,False
CHD8,,,,0.009990345094019026,True
CHD9,,,,0.008346607791964736,True
CHEK2,,,,0.025083930478320898,True
CHL1,,,,0.012133017647812147,True
CHUK,,,,0.01989387816263807,True
CIC,,,,0.013357293267408843,True
CIITA,,,,0.01927695354170007,True
CIT,,,,0.011151846856672198,True
CLTC,,,,0.013856430632106228,True
CLTCL1,,,,-0.03590201325688024,True
CNTN1,,,,0.017156246515717725,True
CNTN5,,,,0.012073657318229302,True
CNTN6,,,,0.023624346176003938,True
COL14A1,,,,0.017374613010301892,True
COL18A1,,,,0.041570080146083134,False
COL1A1,,,,0.025120024963868955,True
COL3A1,,,,0.020164492036003966,True
CPAMD8,,,,0.016720375001343518,True
CPNE5,,,,0.028985935836393334,False
CREB3L2,,,,0.017466592941469277,True
CREBBP,,,,0.02064888543569321,True
CRTC1,,,,0.04663162655379656,False
CSF1R,,,,0.017032903546935475,True
CSF3R,,,,0.01497915768262136,True
CSMD3,,,,0.009190939098661048,True
CSNK1A1L,,,,0.049764734635873636,False
CSNK1G3,,,,0.022367411285004378,True
CSPG4,,,,0.022775243070172837,True
CSPP1,,,,0.03126679820054406,False
CTBP2,,,,0.015015694975515971,True
CTNNA2,,,,0.017962834265216457,True
CTNNB1,0.0,0.018075016728706463,True,0.02715061382027312,True
CUBN,,,,0.015674411357575444,True
CYB5R4,,,,0.02848689527451244,False
CYFIP1,,,,0.026976177700199985,True
CYLD,0.0,0.0014144271570014138,False,0.01591878272723514,True
CYP1A2,,,,0.021813292817341633,True
CYP24A1,,,,0.04124406981652767,False
CYP27B1,,,,0.033123936312700906,False
CYP2B6,,,,0.018550004635664866,True
CYP3A4,,,,0.0472126689794888,False
DAB1,,,,0.04184956381070408,False
DACH1,,,,0.025072724125609413,True
DAPK1,,,,0.013581399502132035,True
DAXX,,,,0.02429867053348598,True
DBF4,,,,0.030410134069449295,False
DCLK1,,,,0.03016981235634904,False
DCLK2,,,,0.022533533958331235,True
DCLK3,,,,0.024716699826056062,True
DDR1,,,,0.053281628433640614,False
DDR2,,,,0.028910479682851934,False
DDX10,,,,0.04061176058123079,False
DDX6,,,,0.032504360484807156,False
DGKB,,,,0.021007420890425784,True
DICER1,,,,0.015614675707430721,True
DIP2C,,,,0.039809329805973966,False
DLC1,,,,0.023082879369414507,True
DNAH8,,,,0.01057759153141227,True
DNMT1,,,,0.01904859666799502,True
DNMT3B,,,,0.03453596764197884,False
DOCK3,,,,0.014576806921480376,True
DPYD,,,,0.021654423438486545,True
DRD2,,,,0.01972837148851874,True
DST,,,,0.005593170467960398,True
DSTYK,,,,0.02610133865944186,True
DVL1,,,,0.03465489383719978,False
DYRK1A,,,,0.03332339580401751,False
DYRK4,,,,0.021595593495474078,True
ECM1,,,,0.006467941057330265,True
EDNRB,,,,0.010759718514651326,True
EGF,,,,0.01214996784509149,True
EGFR,0.0,0.013963962159064952,True,0.03443376364581877,False
EHBP1,,,,0.012798153409804792,True
EIF2AK3,,,,0.021907319016237752,True
EIF2AK4,,,,0.019230354069388902,True
EIF3A,,,,0.01950124402547742,True
EIF4A1,,,,0.02921515242023719,False
EIF4B,,,,0.04690426069100796,False
EIF4G1,,,,0.01528776880021145,True
EML4,,,,0.03843442847187142,False
EP300,1.0,,False,0.01839363788705837,True
EPHA1,,,,0.03286756956233712,False
EPHA10,,,,0.015942750493063925,True
EPHA2,,,,0.041653746623013924,False
EPHA3,,,,0.03989361936890087,False
EPHA4,,,,0.035684908699346686,False
EPHA5,,,,0.012613887092480323,True
EPHA6,,,,0.020185399028016585,True
EPHA7,,,,0.02156731232602638,True
EPHA8,,,,0.03335677345009162,False
EPHB1,,,,0.024535804307589067,True
EPHB2,,,,0.029776961833832015,False
EPHB3,,,,0.0448703856129987,False
EPHB4,,,,0.022391903098006188,True
EPHB6,,,,0.017080438773700135,True
EPS15,,,,0.005643068874158705,True
ERBB2,0.0,0.0014144271570014143,False,0.031887089085054235,False
ERBB3,,,,0.01047464693822276,True
ERBB4,,,,0.024168089510713905,True
ERC1,,,,0.017858356422062908,True
ERCC5,,,,0.016607100236067325,True
ERCC6,,,,0.02444343041833559,True
ERG,,,,0.03453500298461267,False
ERN1,,,,0.04575608244561793,False
ERN2,,,,0.036671202982347294,False
ESR1,,,,0.035744369689672664,False
ETV1,,,,0.04533253603536929,False
EXT1,,,,0.02814099799619046,False
EXT2,,,,0.04569826403535687,False
EZH2,0.0,0.007032067027018364,False,,
F8,,,,0.029170562918177288,False
FAM123B,0.0,0.007032067027018364,False,0.03243419059435253,False
FANCA,,,,0.04394063345836771,False
FANCD2,,,,0.02789611702893334,False
FANCG,,,,0.01183160400157417,True
FANCI,,,,0.032857460236187824,False
FANCM,,,,0.027793613830725247,True
FASN,,,,0.033671397120550006,False
FBN1,,,,0.012356663859218905,True
FBN2,,,,0.016124779438996865,True
FBXW7,0.0,0.036783119833634505,True,0.026726910993799764,True
FER,,,,0.029202126917823954,False
FGFR1,,,,0.029671237483895895,False
FGFR2,1.0,,False,0.02591176269084682,True
FGFR3,0.0,0.0028248474382039576,False,0.04945298110433532,False
FGFR4,,,,0.0047441041644110836,True
FLCN,0.0,0.0042312608436076305,False,,
FLI1,,,,0.043603644529860874,False
FLNA,,,,0.01991208639710046,True
FLNB,,,,0.032071576844428094,False
FLNC,,,,0.020461970258060253,True
FLT1,,,,0.022094025678264777,True
FLT3,0.0,0.005633667373212434,False,0.02700603837280408,True
FLT4,,,,0.02474734817477842,True
FMN2,,,,0.010259584471309976,True
FMO4,,,,0.012164528149462808,True
FN1,,,,0.002757413252593661,True
FNBP1,,,,0.03131360466962664,False
FOXP1,,,,0.04546839164305356,False
FSCB,,,,0.018997539812092817,True
FZD1,,,,0.021744943082370603,True
GAB1,,,,0.034532027651978534,False
GAK,,,,0.026175071986791552,True
GATA2,,,,0.010580159421599688,True
GHR,,,,0.029229878435179484,False
GLG1,,,,0.007393686396453406,True
GLI1,,,,0.02733934586884868,True
GLI2,,,,0.016240977187707697,True
GLI3,,,,0.01757130733525532,True
GLTSCR1,,,,0.025932426199819777,True
GNAS,0.0,0.0014144271570014138,False,0.01492533540630644,True
GOLGA5,,,,0.03336538490436727,False
GPHN,,,,0.057006517381947265,False
GPR112,,,,0.0010920730359119848,True
GPR141,,,,0.03431251032093522,False
GRAMD1B,,,,0.0166779657209544,True
GRIA3,,,,0.03376869137595674,False
GRIK1,,,,0.04180362641952916,False
GRIN2A,,,,0.031596319926657616,False
GRIN2B,,,,0.01619761990247543,True
GRK4,,,,0.03047279700441803,False
GRK7,,,,0.027278265912295787,True
GTSE1,,,,0.011252784013460096,True
GUCY1A2,,,,0.04604361970552584,False
GUCY2C,,,,0.03901602965654145,False
GUCY2F,,,,0.03178393399609744,False
HAPLN1,,,,0.026188511673716594,True
HDAC2,,,,0.017858799569974618,True
HDAC4,,,,0.03366014492138439,False
HDAC6,,,,0.04024992765782267,False
HDLBP,,,,0.016731849957534555,True
HECW1,,,,0.018689673002713163,True
HEPH,,,,0.023856039939359336,True
HERC2,,,,0.00023427326477432232,True
HGF,,,,0.022539248661121447,True
HIF1A,,,,0.014914718709253533,True
HIP1,,,,0.03161752260567388,False
HIPK1,,,,0.021338367169922334,True
HIPK2,,,,0.03480051177166448,False
HIPK3,,,,0.03412797529458873,False
HMMR,,,,0.04633724935369354,False
HNF1A,,,,0.034818642525118626,False
HRAS,0.0,0.011203224733642932,True,,
HSP90AA1,,,,0.029335850559988778,False
HSP90AB1,,,,0.046061698982619755,False
